"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0120254","olefinic compound metabolic process","11/55","169/18860",0.0650887573964497,22.3195266272189,15.0559667576029,1.83336697127347e-12,3.98573979554851e-09,2.33899028335099e-09,"PTGS2/EPHX1/CYP19A1/CYP3A4/PTGS1/CYP2C9/CYP11B1/EPHX2/CEL/CYP2C19/CYP2A6",11
"GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","10/55","147/18860",0.0680272108843537,23.3271490414348,14.6968491365138,1.31661603350127e-11,1.43116162841588e-08,8.39862438212388e-09,"SELE/HTR2A/ADRA2A/F2R/DRD3/CHRM3/GRM5/ADRA1A/CHRM2/ADRA1D",10
"GO:0006940","regulation of smooth muscle contraction","7/55","63/18860",0.111111111111111,38.1010101010101,15.9520221457505,5.89038522449916e-10,4.08572771264479e-07,2.39766716105432e-07,"ADRA2A/F2R/CHRM3/ADRA2C/TACR2/ADRA1A/CHRM2",7
"GO:0043410","positive regulation of MAPK cascade","13/55","474/18860",0.0274261603375527,9.40467970847718,10.0223765776368,7.51743829373466e-10,4.08572771264479e-07,2.39766716105432e-07,"EGFR/ICAM1/ELANE/HTR2A/ADRA2A/F2R/JAK2/P2RX7/GRM5/FLT3/ADRA2C/ADRA1A/ADRA1D",13
"GO:0006939","smooth muscle contraction","8/55","110/18860",0.0727272727272727,24.9388429752066,13.6176719780112,1.00327925050046e-09,4.362258181176e-07,2.55994621390854e-07,"HTR2A/ADRA2A/F2R/CHRM3/ADRA2C/TACR2/ADRA1A/CHRM2",8
"GO:0009410","response to xenobiotic stimulus","12/55","443/18860",0.0270880361173815,9.28873383952391,9.5473890328069,4.27659301047621e-09,1.54955220079588e-06,9.09338724332837e-07,"EPHX1/SLC6A4/CYP3A4/CYP2C9/SLC6A3/HTR2A/CYP2C19/DRD3/CYP2A6/P2RX7/ADRA1A/CA9",12
"GO:0042310","vasoconstriction","7/55","87/18860",0.0804597701149425,27.5903866248694,13.4437814710007,5.89664486952454e-09,1.83132942090662e-06,1.07469677922763e-06,"SLC6A4/HTR2A/ADRA2A/F2R/ADRA2C/ADRA1A/ADRA1D",7
"GO:0019369","arachidonate metabolic process","6/55","53/18860",0.113207547169811,38.819897084048,14.910854121012,9.59566055532793e-09,2.60762075591036e-06,1.53025534119177e-06,"PTGS2/EPHX1/PTGS1/CYP2C9/CYP2C19/CYP2A6",6
"GO:0001676","long-chain fatty acid metabolic process","7/55","110/18860",0.0636363636363636,21.8214876033058,11.8443564114484,3.05047761065853e-08,7.36859813952405e-06,4.32418580598613e-06,"PTGS2/EPHX1/CYP3A4/PTGS1/CYP2C9/CYP2C19/CYP2A6",7
"GO:0019229","regulation of vasoconstriction","6/55","67/18860",0.0895522388059701,30.708276797829,13.174095649055,4.04299881267946e-08,8.78947941876515e-06,5.15801532733422e-06,"HTR2A/ADRA2A/F2R/ADRA2C/ADRA1A/ADRA1D",6
