"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045121","membrane raft","11/56","291/19944",0.0378006872852234,13.4624447717231,11.3639422128895,4.3942282514895e-10,3.63792067141888e-08,2.46175083028346e-08,"SLC6A4/EGFR/ICAM1/SLC6A3/SELE/HTR2A/F2R/ABCG2/JAK2/CNR1/ADRA1A",11
"GO:0098857","membrane microdomain","11/56","293/19944",0.037542662116041,13.3705509507557,11.3194213747631,4.72457230054401e-10,3.63792067141888e-08,2.46175083028346e-08,"SLC6A4/EGFR/ICAM1/SLC6A3/SELE/HTR2A/F2R/ABCG2/JAK2/CNR1/ADRA1A",11
"GO:0005901","caveola","6/56","81/19944",0.0740740740740741,26.3809523809524,12.1456763714175,1.02666772095388e-07,5.27022763422993e-06,3.56631945173454e-06,"SLC6A3/SELE/HTR2A/F2R/JAK2/ADRA1A",6
"GO:0044853","plasma membrane raft","6/56","115/19944",0.0521739130434783,18.5813664596273,10.033324131564,8.27324642995155e-07,3.18519987553135e-05,2.15539841201369e-05,"SLC6A3/SELE/HTR2A/F2R/JAK2/ADRA1A",6
"GO:0045211","postsynaptic membrane","8/56","320/19944",0.025,8.90357142857143,7.56307324955688,2.92667229280006e-06,9.01415066182419e-05,6.09980119973065e-05,"SLC6A4/SLC6A3/HTR2A/ADRA2A/F2R/CHRM3/GRM5/CHRM2",8
"GO:0097060","synaptic membrane","9/56","449/19944",0.0200445434298441,7.13872096722876,6.98124929160754,4.06579571624337e-06,0.00010435542338358,7.06164519137007e-05,"SLC6A4/SLC6A3/HTR2A/ADRA2A/F2R/CHRM3/CNR1/GRM5/CHRM2",9
"GO:0042734","presynaptic membrane","5/56","179/19944",0.0279329608938547,9.94812450119713,6.38122160210763,0.000145222574963087,0.0031758397612034,0.00214906450006245,"SLC6A4/SLC6A3/HTR2A/ADRA2A/CNR1",5
"GO:0031904","endosome lumen","3/56","38/19944",0.0789473684210526,28.1165413533835,8.87825871791617,0.000164978688893683,0.0031758397612034,0.00214906450006245,"JAK2/CTSH/CTSL",3
"GO:0098691","dopaminergic synapse","2/56","15/19944",0.133333333333333,47.4857142857143,9.55687899097777,0.000794232357226227,0.0135901981125377,0.00919637466261947,"SLC6A3/ADRA2A",2
"GO:0005771","multivesicular body","3/56","68/19944",0.0441176470588235,15.7121848739496,6.44853168992643,0.00092340640441181,0.0142204586279419,0.00962286674071255,"EGFR/CTSH/CTSL",3
"GO:0009925","basal plasma membrane","5/56","300/19944",0.0166666666666667,5.93571428571429,4.57077011111278,0.00151969963641394,0.0212757949097952,0.0143971544502374,"EGFR/MET/ADRA2A/CHRM3/CA9",5
"GO:0071682","endocytic vesicle lumen","2/56","23/19944",0.0869565217391304,30.9689440993789,7.63086015079657,0.00188634332694835,0.0235544964853018,0.0159391329599786,"MPO/CTSL",2
"GO:0045178","basal part of cell","5/56","319/19944",0.0156739811912226,5.58217644424541,4.37780103604003,0.00198836658642158,0.0235544964853018,0.0159391329599786,"EGFR/MET/ADRA2A/CHRM3/CA9",5
"GO:0031983","vesicle lumen","5/56","333/19944",0.015015015015015,5.34749034749035,4.24526275816102,0.00239590201632682,0.026354922179595,0.0178341578658913,"EGFR/ELANE/MPO/MAPK14/CTSH",5
"GO:0030139","endocytic vesicle","5/56","361/19944",0.0138504155124654,4.93272655322517,4.00130302071136,0.00338903192863497,0.0347940611339857,0.0235448533989377,"EGFR/ELANE/MPO/CTSL/CHRM2",5
"GO:0009897","external side of plasma membrane","5/56","393/19944",0.0127226463104326,4.53107960741549,3.75156951849311,0.00485416482209754,0.0467213364126888,0.0316159419333984,"ICAM1/SELE/VCAM1/ABCG2/P2RX7",5
"GO:0043198","dendritic shaft","2/56","42/19944",0.0476190476190476,16.9591836734694,5.49389885685621,0.00620410331357224,0.0490303669913589,0.0331784438287391,"HTR2A/GRM5",2
"GO:0031968","organelle outer membrane","4/56","262/19944",0.0152671755725191,5.43729552889858,3.83643715684026,0.00626049619663709,0.0490303669913589,0.0331784438287391,"PTGS2/HMOX1/CNR1/MAOB",4
"GO:0019867","outer membrane","4/56","264/19944",0.0151515151515152,5.3961038961039,3.81549656334281,0.00642844636159903,0.0490303669913589,0.0331784438287391,"PTGS2/HMOX1/CNR1/MAOB",4
"GO:0005925","focal adhesion","5/56","423/19944",0.0118203309692671,4.209726443769,3.54063269724615,0.00659375600563906,0.0490303669913589,0.0331784438287391,"SLC6A4/EGFR/ICAM1/JAK2/JAK1",5
"GO:0016323","basolateral plasma membrane","4/56","267/19944",0.0149812734082397,5.3354735152488,3.78448185989885,0.00668595913518531,0.0490303669913589,0.0331784438287391,"EGFR/ADRA2A/CHRM3/CA9",4
