"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0020037","heme binding","12/56","142/18662",0.0845070422535211,28.1619718309859,17.8246059288499,9.85180758329274e-15,2.61072900957258e-12,1.64888147973005e-12,"PTGS2/CYP19A1/CYP3A4/PTGS1/CYP2C9/HMOX1/MPO/CYP11B1/JAK2/CYP2C19/CYP2A6/IDO1",12
"GO:0046906","tetrapyrrole binding","12/56","152/18662",0.0789473684210526,26.3092105263158,17.1882691077938,2.25258212575948e-14,2.98467131663131e-12,1.88505556839872e-12,"PTGS2/CYP19A1/CYP3A4/PTGS1/CYP2C9/HMOX1/MPO/CYP11B1/JAK2/CYP2C19/CYP2A6/IDO1",12
"GO:0008227","G protein-coupled amine receptor activity","7/56","41/18662",0.170731707317073,56.8963414634146,19.6566168876879,3.08600814355276e-11,2.72597386013827e-09,1.72166770113996e-09,"HTR2A/ADRA2A/CHRM3/ADRA2C/ADRA1A/CHRM2/ADRA1D",7
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","9/56","183/18662",0.0491803278688525,16.3893442622951,11.4773437413957,3.50741648310568e-09,2.32366342005751e-07,1.46757689687843e-07,"PTGS2/CYP19A1/CYP3A4/PTGS1/CYP2C9/HMOX1/CYP11B1/CYP2C19/CYP2A6",9
"GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","6/56","46/18662",0.130434782608696,43.4673913043478,15.8207211614876,4.73188537023648e-09,2.50789924622533e-07,1.58393636603705e-07,"CYP19A1/CYP3A4/CYP2C9/HMOX1/CYP2C19/CYP2A6",6
"GO:0004935","adrenergic receptor activity","4/56","10/18662",0.4,133.3,22.9578969642814,1.50636745356203e-08,5.88929314637079e-07,3.71955356612892e-07,"ADRA2A/ADRA2C/ADRA1A/ADRA1D",4
"GO:0008395","steroid hydroxylase activity","5/56","27/18662",0.185185185185185,61.712962962963,17.3194291425655,1.55566234055077e-08,5.88929314637079e-07,3.71955356612892e-07,"CYP19A1/CYP3A4/CYP2C9/CYP11B1/CYP2C19",5
"GO:0004497","monooxygenase activity","7/56","109/18662",0.0642201834862385,21.401376146789,11.7192711168763,3.49730104337318e-08,1.15848097061737e-06,7.31672191968863e-07,"CYP19A1/CYP3A4/CYP2C9/HMOX1/CYP11B1/CYP2C19/CYP2A6",7
"GO:1901338","catecholamine binding","3/56","12/18662",0.25,83.3125,15.6477521617268,5.52370039306406e-06,0.000162642289351331,0.000102721445906104,"SLC6A3/ADRA2A/ADRA2C",3
"GO:0005506","iron ion binding","6/56","154/18662",0.038961038961039,12.9837662337662,8.19235767808698,6.61565489174579e-06,0.000175314854631263,0.000110725171346061,"CYP19A1/CYP3A4/CYP2C9/CYP11B1/CYP2C19/CYP2A6",6
