"STRING_id","Degree","Betweenness","Closeness","Eigenvector","SYMBOL"
"9606.ENSP00000337915",8,0.178402086296823,0.407894736842105,0.983340039800612,"CYP3A4"
"9606.ENSP00000260682",7,0.0892010431484116,0.402597402597403,1,"CYP2C9"
"9606.ENSP00000275493",7,0.228710289236605,0.378048780487805,0.317795823156995,"EGFR"
"9606.ENSP00000356438",6,0.257705073494547,0.430555555555556,0.624945379528346,"PTGS2"
"9606.ENSP00000360372",6,0.145388809862494,0.424657534246575,0.887016569178587,"CYP2C19"
"9606.ENSP00000301141",5,0.0182550972024656,0.33695652173913,0.718860818977401,"CYP2A6"
"9606.ENSP00000343204",5,0.00746799431009957,0.295238095238095,0.167712768628743,"JAK1"
"9606.ENSP00000480004",5,0.00972024656235182,0.333333333333333,0.803210375432494,"EPHX1"
"9606.ENSP00000229795",4,0.0314011379800853,0.292452830188679,0.142480676716532,"MAPK14"
"9606.ENSP00000264832",4,0.0974395448079659,0.329787234042553,0.175947106650226,"ICAM1"
"9606.ENSP00000354612",4,0.0590327169274538,0.373493975903614,0.540930085878218,"PTGS1"
"9606.ENSP00000367309",4,0.190611664295875,0.35632183908046,0.415666185544105,"MAOB"
"9606.ENSP00000394560",4,0.0540659080132764,0.289719626168224,0.118195126520373,"MAPK9"
"9606.ENSP00000225275",3,0.0448079658605974,0.295238095238095,0.151835435227881,"MPO"
"9606.ENSP00000317272",3,0,0.281818181818182,0.123712963353713,"MET"
"9606.ENSP00000270349",3,0.122332859174964,0.279279279279279,0.0921734662607567,"SLC6A3"
"9606.ENSP00000380271",3,0.00367472735893788,0.234848484848485,0.0602950019996946,"RAPGEF4"
"9606.ENSP00000355995",3,0.0206258890469417,0.300970873786408,0.376731322798866,"HSD11B1"
"9606.ENSP00000371067",3,0,0.281818181818182,0.123712963353713,"JAK2"
"9606.ENSP00000379683",3,0.0206258890469417,0.300970873786408,0.376731322798866,"CYP19A1"
"9606.ENSP00000216117",2,0.0180891417733523,0.322916666666667,0.155839120878077,"HMOX1"
"9606.ENSP00000237612",2,0.0861782835467046,0.364705882352941,0.264218118965654,"ABCG2"
"9606.ENSP00000294728",2,0,0.252032520325203,0.0448332703591316,"VCAM1"
"9606.ENSP00000292427",2,0.000474158368895211,0.236641221374046,0.153003609075991,"CYP11B1"
"9606.ENSP00000306138",2,0.00142247510668563,1,5.0227735858457e-17,"GRM5"
"9606.ENSP00000352157",2,0,0.23134328358209,0.0362455046810486,"MAPK10"
"9606.ENSP00000430269",2,0,0.292452830188679,0.36617302394012,"EPHX2"
"9606.ENSP00000331736",2,0,0.252032520325203,0.0448332703591317,"SELE"
"9606.ENSP00000437737",2,0.042674253200569,0.223021582733813,0.0195224489103957,"HTR2A"
"9606.ENSP00000255380",1,0,0.666666666666667,1.6633184878705e-17,"CHRM3"
"9606.ENSP00000368766",1,0,1,3.16774923760707e-18,NA
"9606.ENSP00000321326",1,0,1,0,"F2R"
"9606.ENSP00000261707",1,0,0.183431952662722,0.00396437057463223,"SLC6A4"
"9606.ENSP00000358513",1,0,0.666666666666667,1.85462412723578e-17,"CNR1"
"9606.ENSP00000369960",1,0,1,0,"ADRA1A"
"9606.ENSP00000373169",1,0,0.219858156028369,0.0187174149658765,"DRD3"
"9606.ENSP00000399745",1,0,1,2.13017628770229e-18,"CHRM2"
"9606.ENSP00000430950",1,0,0.264957264957265,0.0844082011639015,"IDO1"
"9606.ENSP00000466090",1,0,0.22962962962963,0.0308328086484765,"ELANE"
