"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","12/55","199/9370",0.0603015075376884,10.2731841023298,10.1597637239853,1.19169441459125e-09,2.41913966162023e-07,1.10388535246347e-07,"SLC6A4/SLC6A3/HTR2A/ADRA2A/DRD3/CHRM3/GRM5/ADRA2C/TACR2/ADRA1A/CHRM2/ADRA1D",12
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","8/55","101/9370",0.0792079207920792,13.4941494149415,9.70035159240542,1.10405428952538e-07,7.50977957904858e-06,3.42681152686687e-06,"ICAM1/SELE/VCAM1/JAK2/MAPK10/MAPK14/MAPK9/PIM1",8
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","7/55","70/9370",0.1,17.0363636363636,10.347846457293,1.45953337299371e-07,7.50977957904858e-06,3.42681152686687e-06,"PTGS2/EPHX1/CYP3A4/HSD11B1/CYP2C9/CYP2C19/CYP2A6",7
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","13/55","370/9370",0.0351351351351351,5.98574938574939,7.51876630249496,1.47975952296524e-07,7.50977957904858e-06,3.42681152686687e-06,"HTR2A/ADRA2A/F2R/DRD3/CHRM3/CNR1/P2RX7/GRM5/ADRA2C/TACR2/ADRA1A/CHRM2/ADRA1D",13
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","11/55","254/9370",0.0433070866141732,7.37795275590551,7.91831058904294,1.94829669560842e-07,7.91008458417019e-06,3.60947598344297e-06,"EGFR/HTR2A/MET/F2R/CHRM3/P2RX7/GRM5/TACR2/ADRA1A/CHRM2/ADRA1D",11
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","10/55","216/9370",0.0462962962962963,7.88720538720539,7.8686638145687,4.06654919568361e-07,1.37584914453962e-05,6.27818121438874e-06,"ICAM1/CYP2C9/SELE/VCAM1/JAK2/MAPK10/CYP2A6/MAPK14/GSK3B/MAPK9",10
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","8/55","142/9370",0.0563380281690141,9.59795134443022,7.93271582936673,1.52428108597049e-06,4.42041514931442e-05,2.0170937679008e-05,"ICAM1/HMOX1/SELE/VCAM1/MAPK10/MAPK14/CTSL/MAPK9",8
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","7/55","115/9370",0.0608695652173913,10.3699604743083,7.76846122067524,4.35586045228736e-06,0.000110529958976792,5.0436278921222e-05,"PTGS2/SLC6A4/PTGS1/CYP2C9/HTR2A/CYP2C19/MAOB",7
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","7/55","119/9370",0.0588235294117647,10.0213903743315,7.61007874915834,5.46965741601445e-06,0.00012337116171677,5.62958891940669e-05,"PTGS2/ICAM1/SELE/VCAM1/MAPK10/MAPK14/MAPK9",7
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","7/55","133/9370",0.0526315789473684,8.96650717703349,7.10992197900761,1.14039067946917e-05,0.000231499307932241,0.000105636189256091,"SLC6A3/MAPK10/DRD3/MAPK14/GSK3B/MAPK9/MAOB",7
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","8/55","196/9370",0.0408163265306122,6.95361781076067,6.47241199833931,1.66591729863155e-05,0.000307437465111094,0.000140287772516341,"PTGS2/ICAM1/JAK2/MAPK10/JAK1/MAPK14/GSK3B/MAPK9",8
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","5/55","63/9370",0.0793650793650794,13.5209235209235,7.66193238699485,3.14094540288869e-05,0.00053134326398867,0.000242458943380881,"PTGS2/PTGS1/CYP2C9/EPHX2/CYP2C19",5
