"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008237","metallopeptidase activity","6/26","185/18662",0.0324324324324324,23.2790020790021,11.3747968317878,1.70837639241828e-07,3.26299890951892e-05,1.63644475484278e-05,"ACE/ECE1/MMP13/MMP12/MME/CPB2",6
"GO:0004222","metalloendopeptidase activity","5/26","109/18662",0.0458715596330275,32.9251940719831,12.4858324348585,3.69690377133924e-07,3.53054310162897e-05,1.77062233258879e-05,"ACE/ECE1/MMP13/MMP12/MME",5
"GO:0004181","metallocarboxypeptidase activity","3/26","34/18662",0.0882352941176471,63.3325791855204,13.5878023470335,1.39592717321709e-05,0.000776611900199101,0.00038948295904171,"ACE/MME/CPB2",3
"GO:0004175","endopeptidase activity","6/26","406/18662",0.0147783251231527,10.6074270557029,7.31046628536078,1.62641235643791e-05,0.000776611900199101,0.00038948295904171,"ACE/ECE1/MMP13/MMP12/MME/LONP1",6
"GO:0004180","carboxypeptidase activity","3/26","49/18662",0.0612244897959184,43.9450549450549,11.2429633152019,4.23871513307495e-05,0.00161918918083463,0.000812048583389095,"ACE/MME/CPB2",3
"GO:0008235","metalloexopeptidase activity","3/26","71/18662",0.0422535211267606,30.3282773564464,9.24787888149569,0.000128847849654736,0.00394578879331679,0.00197887451194174,"ACE/MME/CPB2",3
"GO:0008236","serine-type peptidase activity","4/26","196/18662",0.0204081632653061,14.6483516483516,7.17463155232404,0.000147187447440696,0.00394578879331679,0.00197887451194174,"ACE/MMP13/MMP12/LONP1",4
"GO:0017171","serine hydrolase activity","4/26","202/18662",0.0198019801980198,14.2132520944402,7.05256888641182,0.000165268640557772,0.00394578879331679,0.00197887451194174,"ACE/MMP13/MMP12/LONP1",4
"GO:0051213","dioxygenase activity","3/26","93/18662",0.032258064516129,23.1538461538462,7.99970792997198,0.000286655617391318,0.00608346921352686,0.00305095452428186,"PTGS2/PTGS1/KDM3A",3
"GO:0008238","exopeptidase activity","3/26","106/18662",0.0283018867924528,20.3142235123367,7.44844788023536,0.000421080236216955,0.00804263251174385,0.00403350542060452,"ACE/MME/CPB2",3
"GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","2/26","23/18662",0.0869565217391304,62.4147157190635,11.0078585243903,0.000463791303314322,0.00804620819412408,0.0040352986809881,"PTGS2/PTGS1",2
"GO:0016701","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","2/26","24/18662",0.0833333333333333,59.8141025641026,10.768748176737,0.000505520933662246,0.00804620819412408,0.0040352986809881,"PTGS2/PTGS1",2
"GO:0019205","nucleobase-containing compound kinase activity","2/26","41/18662",0.0487804878048781,35.0131332082552,8.14357026203634,0.00148021057197539,0.0217477091728692,0.0109068147408713,"ADK/AK1",2
"GO:0004712","protein serine/threonine/tyrosine kinase activity","2/26","43/18662",0.0465116279069767,33.3846153846154,7.94095207315758,0.0016272500932257,0.0222003405575792,0.0111338164273337,"MAP2K1/DYRK1A",2
"GO:0004252","serine-type endopeptidase activity","3/26","178/18662",0.0168539325842697,12.0972342264477,5.55654138662545,0.00188756845879761,0.0240350383753562,0.0120539459474093,"MMP13/MMP12/LONP1",3
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","3/26","183/18662",0.0163934426229508,11.7667087011349,5.46697458349131,0.00204266336956901,0.0243842939742301,0.0122291030678145,"PTGS2/PTGS1/KDM3A",3
"GO:0004601","peroxidase activity","2/26","50/18662",0.04,28.7107692307692,7.3284957684337,0.0021943334211762,0.0246539813790973,0.0123643555001259,"PTGS2/PTGS1",2
"GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","2/26","52/18662",0.0384615384615385,27.6065088757396,7.17619378659782,0.00237119581130435,0.0251610222199517,0.0126186443759471,"PTGS2/PTGS1",2
"GO:0004674","protein serine/threonine kinase activity","4/26","433/18662",0.0092378752886836,6.63066263990052,4.4279204780485,0.00285040988326944,0.0286541204054981,0.0143704875001396,"MAP2K1/DYRK1A/GRK2/PIM1",4
"GO:0005518","collagen binding","2/26","72/18662",0.0277777777777778,19.9380341880342,6.01366496767143,0.0044932860463473,0.0422842613176615,0.0212062153756252,"MMP13/MMP12",2
"GO:0033218","amide binding","3/26","245/18662",0.0122448979591837,8.78901098901099,4.58388479587961,0.00464905490927168,0.0422842613176615,0.0212062153756252,"ECE1/TYMS/GRIN1",3
"GO:0016209","antioxidant activity","2/26","77/18662",0.025974025974026,18.6433566433566,5.79459480145599,0.0051218161607066,0.0444666766679528,0.0223007306518804,"PTGS2/PTGS1",2
"GO:0043539","protein serine/threonine kinase activator activity","2/26","79/18662",0.0253164556962025,18.1713729308666,5.71266072588828,0.0053839389072725,0.0447101013603933,0.022422811925025,"MAP2K1/PIM1",2
