"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032868","response to insulin","12/62","280/18860",0.0428571428571429,13.036866359447,11.6538373372171,1.01141935129361e-10,2.51742276536981e-07,1.34039680345122e-07,"PPARG/IGF1R/INSR/AKT1/PIK3CA/NPPA/AKT3/PPARA/PARP1/MAPK14/GSK3B/LONP1",12
"GO:0043434","response to peptide hormone","14/62","461/18860",0.0303687635574837,9.23798194667973,10.2842716881405,2.22475875887022e-10,2.76871227541399e-07,1.47419540916716e-07,"PPARG/IGF1R/INSR/AKT1/PIK3CA/NPPA/AKT3/PPARA/SRC/ROCK1/PARP1/MAPK14/GSK3B/LONP1",14
"GO:0009895","negative regulation of catabolic process","13/62","394/18860",0.032994923857868,10.0368429670869,10.4106484970866,3.90002435993284e-10,3.23572021062428e-07,1.72285286637033e-07,"EGFR/AKT1/PIK3CA/BCL2/NQO1/PPARA/ALK/PIK3CG/ROCK1/MAPK14/GSK3B/ADRA1A/DHX34",13
"GO:0071375","cellular response to peptide hormone stimulus","12/62","345/18860",0.0347826086956522,10.5806451612903,10.3143484047514,1.10337909266152e-09,5.53054456979647e-07,2.94472758595663e-07,"PPARG/IGF1R/INSR/AKT1/PIK3CA/NPPA/AKT3/SRC/ROCK1/PARP1/GSK3B/LONP1",12
"GO:1904645","response to amyloid-beta","7/62","61/18860",0.114754098360656,34.9074563722898,15.2332337955807,1.11099730208848e-09,5.53054456979647e-07,2.94472758595663e-07,"MMP2/IGF1R/MMP3/MMP13/PARP1/GSK3B/ITGA4",7
"GO:1903522","regulation of blood circulation","11/62","279/18860",0.039426523297491,11.9932940224303,10.624163752375,1.58893604836528e-09,6.56038242587301e-07,3.49306272828831e-07,"MMP2/NPPA/ECE1/KCNH2/PDE4B/PIK3CG/SRC/ITGA4/ADRA1A/HRH1/ADRA1D",11
"GO:0003018","vascular process in circulatory system","11/62","283/18860",0.03886925795053,11.8237774991451,10.5361910170967,1.8450251900808e-09,6.56038242587301e-07,3.49306272828831e-07,"MMP2/INSR/NPPA/ECE1/SRC/ROCK1/SLC5A1/ITGA4/ADRA1A/HRH1/ADRA1D",11
"GO:0035296","regulation of tube diameter","9/62","162/18860",0.0555555555555556,16.8996415770609,11.6720359393989,2.79849459274205e-09,7.35380794192385e-07,3.91552058483945e-07,"MMP2/NPPA/ECE1/SRC/ROCK1/ITGA4/ADRA1A/HRH1/ADRA1D",9
"GO:0097746","blood vessel diameter maintenance","9/62","162/18860",0.0555555555555556,16.8996415770609,11.6720359393989,2.79849459274205e-09,7.35380794192385e-07,3.91552058483945e-07,"MMP2/NPPA/ECE1/SRC/ROCK1/ITGA4/ADRA1A/HRH1/ADRA1D",9
"GO:0035150","regulation of tube size","9/62","163/18860",0.0552147239263804,16.7959627943796,11.6319705159116,2.95452307831412e-09,7.35380794192385e-07,3.91552058483945e-07,"MMP2/NPPA/ECE1/SRC/ROCK1/ITGA4/ADRA1A/HRH1/ADRA1D",9
"GO:0050900","leukocyte migration","12/62","397/18860",0.0302267002518892,9.19476720565532,9.47720100231781,5.36355734934579e-09,1.21362674932015e-06,6.46193177303957e-07,"MMP2/AKT1/PDE4B/CCR1/IRAK4/MMP14/PIK3CD/PIK3CG/SRC/ROCK1/ITGA4/C3AR1",12
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","11/62","354/18860",0.0310734463276836,9.45234189903408,9.21980552521713,1.88542115780633e-08,3.91067771814996e-06,2.08223266462997e-06,"IGF1R/INSR/EGFR/AKT1/PIK3CA/MMP3/PPARA/PIK3CD/PIK3CG/SRC/GSK3B",11
"GO:0032869","cellular response to insulin stimulus","9/62","219/18860",0.0410958904109589,12.5011047282369,9.83164898399419,3.87467089165691e-08,7.41850449948773e-06,3.94996813975389e-06,"PPARG/IGF1R/INSR/AKT1/PIK3CA/AKT3/PARP1/GSK3B/LONP1",9
"GO:0007204","positive regulation of cytosolic calcium ion concentration","8/62","166/18860",0.0481927710843374,14.6599300427517,10.1519799741013,6.86609245039511e-08,1.22069315064524e-05,6.49955668800559e-06,"BCL2/CCR1/PIK3CG/CCR3/CCKBR/ADRA1A/C3AR1/ADRA1D",8
"GO:0019229","regulation of vasoconstriction","6/62","67/18860",0.0895522388059701,27.2412132883967,12.3572720530453,8.40850055305571e-08,1.23890185640933e-05,6.59650858395612e-06,"MMP2/ECE1/ITGA4/ADRA1A/HRH1/ADRA1D",6
"GO:0010562","positive regulation of phosphorus metabolic process","10/62","320/18860",0.03125,9.50604838709677,8.81347801516686,8.46176438688573e-08,1.23890185640933e-05,6.59650858395612e-06,"INSR/EGFR/AKT1/PPARA/FGF1/PIK3CG/SRC/ROCK1/PIM1/DHX34",10
"GO:0045937","positive regulation of phosphate metabolic process","10/62","320/18860",0.03125,9.50604838709677,8.81347801516686,8.46176438688573e-08,1.23890185640933e-05,6.59650858395612e-06,"INSR/EGFR/AKT1/PPARA/FGF1/PIK3CG/SRC/ROCK1/PIM1/DHX34",10
"GO:0006979","response to oxidative stress","11/62","418/18860",0.0263157894736842,8.00509337860781,8.31758816988117,1.0233522313551e-07,1.41506872435713e-05,7.53450560980155e-06,"MMP2/DHFR/AKT1/NPPA/MMP3/BCL2/NQO1/MMP14/SRC/PARP1/LONP1",11
"GO:0062197","cellular response to chemical stress","10/62","335/18860",0.0298507462686567,9.08040442946558,8.569899828781,1.29629554465195e-07,1.69814716349406e-05,9.04175119510697e-06,"MMP2/DHFR/AKT1/PIK3CA/NPPA/MMP3/NQO1/SRC/PARP1/LONP1",10
"GO:0070141","response to UV-A","4/62","15/18860",0.266666666666667,81.1182795698925,17.8270107286455,1.40624897617005e-07,1.75007685084363e-05,9.3182497947268e-06,"MMP2/EGFR/AKT1/MMP3",4
"GO:0035265","organ growth","8/62","187/18860",0.0427807486631016,13.0136277384854,9.48172330345532,1.72083288835392e-07,2.03959669481567e-05,1.08597925134716e-05,"AKT1/NPPA/BCL2/MMP13/PPARA/MAPK14/PIM1/ADRA1A",8
"GO:0034599","cellular response to oxidative stress","9/62","264/18860",0.0340909090909091,10.3702346041056,8.80525649899179,1.91152742540065e-07,2.1626326190101e-05,1.15148948735857e-05,"MMP2/DHFR/AKT1/NPPA/MMP3/NQO1/SRC/PARP1/LONP1",9
"GO:0046777","protein autophosphorylation","7/62","134/18860",0.0522388059701493,15.8907077515648,9.93446724477201,2.77332397389248e-07,3.00121885696451e-05,1.59799308152432e-05,"IGF1R/INSR/AKT1/ALK/SRC/GSK3B/PIM1",7
"GO:0008217","regulation of blood pressure","8/62","203/18860",0.0394088669950739,11.9879230891467,9.03945144771477,3.22457956151413e-07,3.21072817935832e-05,1.70954590844437e-05,"PPARG/NPPA/ECE1/PPARA/LNPEP/SGK1/ADRA1A/ANPEP",8
"GO:0008286","insulin receptor signaling pathway","7/62","137/18860",0.0510948905109489,15.5427360489757,9.81110760720176,3.22491781775645e-07,3.21072817935832e-05,1.70954590844437e-05,"IGF1R/INSR/AKT1/PIK3CA/AKT3/GSK3B/LONP1",7
"GO:0000302","response to reactive oxygen species","8/62","205/18860",0.0390243902439024,11.8709677419355,8.98766472665852,3.47467616033724e-07,3.31879099545594e-05,1.76708374247913e-05,"MMP2/DHFR/AKT1/NPPA/MMP3/BCL2/NQO1/SRC",8
"GO:0043410","positive regulation of MAPK cascade","11/62","474/18860",0.0232067510548523,7.05934394991153,7.67309368221653,3.60013486851388e-07,3.31879099545594e-05,1.76708374247913e-05,"IGF1R/INSR/EGFR/CCR1/XIAP/FGF1/PIK3CG/SRC/ROCK1/ADRA1A/ADRA1D",11
"GO:0042310","vasoconstriction","6/62","87/18860",0.0689655172413793,20.9788654060067,10.7266215834334,4.04346025634637e-07,3.59434734930218e-05,1.91380318148123e-05,"MMP2/ECE1/ITGA4/ADRA1A/HRH1/ADRA1D",6
"GO:0043542","endothelial cell migration","9/62","302/18860",0.0298013245033113,9.06537064729759,8.11449634583282,5.923275085782e-07,4.8261188404607e-05,2.56965749091372e-05,"PPARG/AKT1/PIK3CA/AKT3/EPHB4/FGF1/PIK3CD/PIK3CG/LGALS8",9
"GO:0016049","cell growth","11/62","499/18860",0.0220440881763527,6.70566940332278,7.41836271731445,5.98518070873092e-07,4.8261188404607e-05,2.56965749091372e-05,"EGFR/AKT1/NPPA/BCL2/PPARA/MMP14/SGK1/GSK3B/ITGA4/ADRA1A/CLSTN1",11
"GO:0032008","positive regulation of TOR signaling","6/62","93/18860",0.0645161290322581,19.6253902185224,10.340672410509,6.01083503633113e-07,4.8261188404607e-05,2.56965749091372e-05,"AKT1/PIK3CA/AKT3/F10/SRC/PIM1",6
"GO:0034614","cellular response to reactive oxygen species","7/62","153/18860",0.0457516339869281,13.9173518869914,9.21332699473403,6.81899222341691e-07,5.30389738877647e-05,2.82404973989536e-05,"MMP2/DHFR/AKT1/NPPA/MMP3/NQO1/SRC",7
"GO:0051900","regulation of mitochondrial depolarization","4/62","22/18860",0.181818181818182,55.307917888563,14.6371474971051,7.40730176370247e-07,5.53925739115999e-05,2.94936671056667e-05,"ALB/BCL2/SRC/PARP1",4
"GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","9/62","311/18860",0.0289389067524116,8.80302873145939,7.96860871960425,7.56668345919806e-07,5.53925739115999e-05,2.94936671056667e-05,"IGF1R/INSR/EGFR/PIK3CA/MMP3/PPARA/PIK3CG/SRC/GSK3B",9
"GO:0009411","response to UV","7/62","159/18860",0.0440251572327044,13.3921687969162,9.01182645775566,8.83708865374405e-07,6.28443247404827e-05,3.34613371881617e-05,"MMP2/EGFR/AKT1/MMP3/BCL2/PARP1/MAPK14",7
"GO:0051402","neuron apoptotic process","9/62","318/18860",0.0283018867924528,8.60925136944614,7.8591676858586,9.10504998778215e-07,6.29513039433049e-05,3.35182980544378e-05,"MMP2/NR3C1/AKT1/PIK3CA/BCL2/XIAP/ROCK1/PARP1/GSK3B",9
"GO:0071674","mononuclear cell migration","8/62","235/18860",0.0340425531914894,10.3555250514756,8.28806806129663,9.76927899339452e-07,6.56349438860026e-05,3.4947196867259e-05,"MMP2/AKT1/CCR1/MMP14/PIK3CD/PIK3CG/ITGA4/C3AR1",8
"GO:0032006","regulation of TOR signaling","7/62","162/18860",0.0432098765432099,13.1441656710474,8.91511531750404,1.00206021200004e-06,6.56349438860026e-05,3.4947196867259e-05,"AKT1/PIK3CA/AKT3/F10/SRC/GSK3B/PIM1",7
"GO:0097529","myeloid leukocyte migration","8/62","237/18860",0.0337552742616034,10.2681366544168,8.24595826483276,1.04119287707149e-06,6.6449463359768e-05,3.53808861601353e-05,"MMP2/PDE4B/CCR1/IRAK4/MMP14/PIK3CD/PIK3CG/C3AR1",8
"GO:0003300","cardiac muscle hypertrophy","6/62","105/18860",0.0571428571428571,17.3824884792627,9.66752578042371,1.23087602156496e-06,7.65912604418797e-05,4.07808660829022e-05,"PPARG/NPPA/PPARA/ROCK1/PARP1/ADRA1A",6
"GO:0014897","striated muscle hypertrophy","6/62","108/18860",0.0555555555555556,16.8996415770609,9.51644555212468,1.45240514668031e-06,8.81716197582264e-05,4.69468056398076e-05,"PPARG/NPPA/PPARA/ROCK1/PARP1/ADRA1A",6
"GO:0014896","muscle hypertrophy","6/62","110/18860",0.0545454545454545,16.5923753665689,9.41905516032792,1.61742517592568e-06,9.58516967352145e-05,5.10360475310884e-05,"PPARG/NPPA/PPARA/ROCK1/PARP1/ADRA1A",6
"GO:0030522","intracellular receptor signaling pathway","10/62","447/18860",0.0223713646532438,6.80522479613192,7.13361848456442,1.80655947918314e-06,0.000104570384736903,5.56782958210912e-05,"PPARG/NR3C1/AKT1/PPARA/IRAK4/XIAP/SRC/PARP1/MAPK14/PIM1",10
"GO:0051882","mitochondrial depolarization","4/62","28/18860",0.142857142857143,43.4562211981567,12.9113449013408,2.04294831914657e-06,0.000114581671158191,6.10087855990199e-05,"ALB/BCL2/SRC/PARP1",4
