"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042562","hormone binding","7/62","95/18662",0.0736842105263158,22.178947368421,11.9481903845379,2.77088117988423e-08,9.06078145822142e-06,6.00843708480158e-06,"NR3C1/IGF1R/INSR/EGFR/ECE1/CCKBR/MLNR",7
"GO:0043560","insulin receptor substrate binding","4/62","13/18662",0.307692307692308,92.6153846153846,19.0773979874583,7.71982818333362e-08,1.26219190797505e-05,8.36991897771961e-06,"IGF1R/INSR/PIK3CA/LONP1",4
"GO:0004674","protein serine/threonine kinase activity","11/62","433/18662",0.0254041570438799,7.64665127020785,8.07927234461569,1.62038341656288e-07,1.76621792405354e-05,1.17122450460334e-05,"EGFR/AKT1/PIK3CA/AKT3/IRAK4/PIK3CG/ROCK1/SGK1/MAPK14/GSK3B/PIM1",11
"GO:0106310","protein serine kinase activity","10/62","362/18662",0.0276243093922652,8.31491712707182,8.11418639194766,2.92279270857844e-07,2.38938303926288e-05,1.58446131043989e-05,"AKT1/PIK3CA/AKT3/IRAK4/PIK3CG/ROCK1/SGK1/MAPK14/GSK3B/PIM1",10
"GO:0004714","transmembrane receptor protein tyrosine kinase activity","5/62","61/18662",0.0819672131147541,24.672131147541,10.6915570682651,1.77051240665769e-06,0.000115791511395413,7.6784327530839e-05,"IGF1R/INSR/EGFR/EPHB4/ALK",5
"GO:0008237","metallopeptidase activity","7/62","185/18662",0.0378378378378378,11.3891891891892,8.19895719016549,2.60681088202777e-06,0.000142071193070513,9.42110599469685e-05,"MMP2/MMP3/ECE1/MMP13/LNPEP/MMP14/ANPEP",7
"GO:0016303","1-phosphatidylinositol-3-kinase activity","3/62","10/18662",0.3,90.3,16.3078078096727,4.12129495269744e-06,0.000192523349933152,0.000127667181993334,"PIK3CA/PIK3CD/PIK3CG",3
"GO:0019199","transmembrane receptor protein kinase activity","5/62","79/18662",0.0632911392405063,19.0506329113924,9.28228493136126,6.40706669085844e-06,0.000256325702981161,0.000169976162285914,"IGF1R/INSR/EGFR/EPHB4/ALK",5
"GO:0004713","protein tyrosine kinase activity","6/62","141/18662",0.0425531914893617,12.8085106382979,8.1260463417932,7.25835595983287e-06,0.000256325702981161,0.000169976162285914,"IGF1R/INSR/EGFR/EPHB4/ALK/SRC",6
"GO:0019207","kinase regulator activity","8/62","308/18662",0.025974025974026,7.81818181818182,6.9660309850464,7.83870651318535e-06,0.000256325702981161,0.000169976162285914,"INSR/EGFR/AKT1/PIK3CA/ALK/SRC/CCKBR/PIM1",8
