"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","14/54","99/9370",0.141414141414141,24.5379723157501,17.9247090049936,1.91965114036244e-16,4.03126739476112e-14,1.51551405818087e-14,"MMP2/IGF1R/EGFR/AKT1/PIK3CA/AKT3/CYP2D6/ABCB11/BCL2/PIK3CD/SRC/MAPK14/CYP2D7/LOC107987479",14
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","9/54","80/9370",0.1125,19.5208333333333,12.6656189959897,5.92760155970335e-10,6.22398163768852e-08,2.33984272093553e-08,"IGF1R/EGFR/AKT1/PIK3CA/AKT3/BCL2/PIK3CD/SRC/GSK3B",9
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","12/54","203/9370",0.0591133004926108,10.2572523262178,10.151851685232,1.1931755498861e-09,8.35222884920267e-08,3.13993565759499e-08,"IGF1R/EGFR/AKT1/PIK3CA/AKT3/BCL2/XIAP/PIK3CD/SRC/ROCK1/GSK3B/ITGA4",12
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","10/54","138/9370",0.072463768115942,12.5738056897477,10.4278936076891,4.76929779895044e-09,2.50388134444898e-07,9.41308776108639e-08,"AKT1/PIK3CA/AKT3/IRAK4/PIK3CD/SRC/ROCK1/MAPK14/GSK3B/ITGA4",10
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","9/54","106/9370",0.0849056603773585,14.7327044025157,10.8252638595824,7.49535590910482e-09,3.14804948182402e-07,1.18347724880602e-07,"IGF1R/EGFR/AKT1/PIK3CA/AKT3/MMP3/BCL2/PIK3CD/GSK3B",9
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","9/54","110/9370",0.0818181818181818,14.1969696969697,10.599706209593,1.04151589575414e-08,3.64530563513948e-07,1.37041565230808e-07,"IGF1R/INSR/EGFR/AKT1/PIK3CA/NPPA/AKT3/BCL2/PIK3CD",9
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","11/54","216/9370",0.0509259259259259,8.83659122085048,8.87109794530411,3.03831289917745e-08,9.11493869753234e-07,3.42666868328283e-07,"PPARG/AKT1/PIK3CA/AKT3/MMP3/BCL2/IRAK4/PIK3CD/SRC/MAPK14/GSK3B",11
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","9/54","130/9370",0.0692307692307692,12.0128205128205,9.62638021602008,4.52598070018684e-08,1.15946557748967e-06,4.35889314845742e-07,"MMP2/EGFR/AKT1/PIK3CA/AKT3/MMP13/PIK3CD/SRC/MAPK14",9
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","11/54","227/9370",0.0484581497797357,8.40838635992821,8.60242612313496,5.07004133306808e-08,1.15946557748967e-06,4.35889314845742e-07,"EGFR/AKT1/PIK3CA/AKT3/CCR1/PIK3CD/SRC/ROCK1/MAPK14/CCR3/GSK3B",11
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","9/54","133/9370",0.0676691729323308,11.7418546365915,9.49879202932599,5.52126465471273e-08,1.15946557748967e-06,4.35889314845742e-07,"IGF1R/INSR/EGFR/AKT1/PIK3CA/AKT3/PIK3CD/SGK1/MAPK14",9
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","13/54","362/9370",0.0359116022099447,6.23132801309597,7.72824368785735,9.07291382959397e-08,1.57383672056884e-06,5.91667940063474e-07,"IGF1R/INSR/EGFR/AKT1/PIK3CA/AKT3/BCL2/FGF1/PIK3CD/PIK3CG/SGK1/GSK3B/ITGA4",13
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","8/54","101/9370",0.0792079207920792,13.7440410707737,9.80347775413176,9.51861836297532e-08,1.57383672056884e-06,5.91667940063474e-07,"MMP2/AKT1/PIK3CA/AKT3/BCL2/PIK3CD/MAPK14/PIM1",8
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","9/54","142/9370",0.0633802816901408,10.9976525821596,9.13938935960773,9.74279874637854e-08,1.57383672056884e-06,5.91667940063474e-07,"MMP2/AKT1/PIK3CA/AKT3/BCL2/NQO1/PIK3CD/SRC/MAPK14",9
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","10/54","193/9370",0.0518134715025907,8.99059681443101,8.53957517254959,1.18577429418887e-07,1.7786614412833e-06,6.68669714768159e-07,"AKT1/PIK3CA/AKT3/CCR1/PIK3CD/PIK3CG/SRC/ROCK1/CCR3/GSK3B",10
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","10/54","196/9370",0.0510204081632653,8.85298563869992,8.45886766078735,1.37072543441784e-07,1.85746233134737e-06,6.98294109529088e-07,"AKT1/PIK3CA/AKT3/CCR1/PIK3CD/PIK3CG/SRC/MAPK14/CCR3/GSK3B",10
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","7/54","71/9370",0.0985915492957746,17.1074595722483,10.3721039333229,1.41520939531228e-07,1.85746233134737e-06,6.98294109529088e-07,"AKT1/PIK3CA/AKT3/PIK3CD/SRC/MAPK14/GSK3B",7
