"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9009391","Extra-nuclear estrogen signaling","9/54","77/11230",0.116883116883117,24.3073593073593,14.2648367903168,8.59480171357297e-11,4.42281464556046e-08,3.06568035160979e-08,"MMP2/IGF1R/EGFR/AKT1/PIK3CA/AKT3/MMP3/BCL2/SRC",9
"R-HSA-1257604","PIP3 activates AKT signaling","13/54","262/11230",0.049618320610687,10.3187729714447,10.6088883884766,2.13085006408708e-10,4.42281464556046e-08,3.06568035160979e-08,"PPARG/INSR/EGFR/AKT1/PIK3CA/AKT3/IRAK4/FGF1/PIK3CD/PIK3CG/SRC/SGK1/GSK3B",13
"R-HSA-199418","Negative regulation of the PI3K/AKT network","10/54","121/11230",0.0826446280991736,17.1870217324763,12.4436095583446,2.3237204792787e-10,4.42281464556046e-08,3.06568035160979e-08,"INSR/EGFR/AKT1/PIK3CA/AKT3/IRAK4/FGF1/PIK3CD/PIK3CG/SRC",10
"R-HSA-9006925","Intracellular signaling by second messengers","13/54","304/11230",0.0427631578947368,8.8931530214425,9.69797232351519,1.32828891888526e-09,1.89613243170871e-07,1.31430693026541e-07,"PPARG/INSR/EGFR/AKT1/PIK3CA/AKT3/IRAK4/FGF1/PIK3CD/PIK3CG/SRC/SGK1/GSK3B",13
"R-HSA-2219528","PI3K/AKT Signaling in Cancer","9/54","112/11230",0.0803571428571429,16.7113095238095,11.6153495892204,2.57815535515645e-09,2.87342498717675e-07,1.9917186748612e-07,"EGFR/AKT1/PIK3CA/AKT3/FGF1/PIK3CD/PIK3CG/SRC/GSK3B",9
"R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","9/54","114/11230",0.0789473684210526,16.4181286549708,11.5009587600582,3.01936075710341e-09,2.87342498717675e-07,1.9917186748612e-07,"INSR/EGFR/AKT1/PIK3CA/IRAK4/FGF1/PIK3CD/PIK3CG/SRC",9
"R-HSA-389356","Co-stimulation by CD28","6/54","48/11230",0.125,25.9953703703704,12.062704118885,9.76390487231675e-08,7.96455668870409e-06,5.52064395788135e-06,"AKT1/PIK3CA/AKT3/PIK3CD/PIK3CG/SRC",6
"R-HSA-389357","CD28 dependent PI3K/Akt signaling","5/54","27/11230",0.185185185185185,38.5116598079561,13.5645446519207,1.58462606300222e-07,1.13102685246783e-05,7.83972894327413e-06,"AKT1/PIK3CA/AKT3/PIK3CD/PIK3CG",5
"R-HSA-8939211","ESR-mediated signaling","9/54","222/11230",0.0405405405405405,8.43093093093093,7.77301893592941,9.62841115269359e-07,6.10869196465338e-05,4.23424864726642e-05,"MMP2/IGF1R/EGFR/AKT1/PIK3CA/AKT3/MMP3/BCL2/SRC",9
"R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer","6/54","86/11230",0.0697674418604651,14.5090439276486,8.74132992314675,3.25360448525224e-06,0.000185780816107903,0.000128774240679457,"EGFR/PIK3CA/FGF1/PIK3CD/PIK3CG/SRC",6
"R-HSA-1227986","Signaling by ERBB2","5/54","50/11230",0.1,20.7962962962963,9.75151897243749,3.82478402935835e-06,0.000198541061887601,0.000137619023448683,"EGFR/AKT1/PIK3CA/AKT3/SRC",5
"R-HSA-9634638","Estrogen-dependent nuclear events downstream of ESR-membrane signaling","4/54","24/11230",0.166666666666667,34.6604938271605,11.4742687899211,4.72436996614372e-06,0.000224801270889005,0.000155821325199126,"EGFR/AKT1/AKT3/BCL2",4
"R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","11/54","452/11230",0.0243362831858407,5.06104555883317,6.12579153959151,7.94021502187079e-06,0.000326297797410004,0.000226173788968866,"EGFR/AKT1/PIK3CA/AKT3/ALK/FGF1/PIK3CD/PIK3CG/SRC/GSK3B/PIM1",11
"R-HSA-416476","G alpha (q) signalling events","8/54","216/11230",0.037037037037037,7.70233196159122,6.91360396594887,8.00029625873914e-06,0.000326297797410004,0.000226173788968866,"EGFR/PIK3CA/MMP3/CCKBR/MLNR/ADRA1A/HRH1/ADRA1D",8
"R-HSA-9006931","Signaling by Nuclear Receptors","9/54","296/11230",0.0304054054054054,6.3231981981982,6.45138828954066,1.02002753203109e-05,0.000388290480526501,0.000269144106697326,"MMP2/IGF1R/EGFR/AKT1/PIK3CA/AKT3/MMP3/BCL2/SRC",9
"R-HSA-8878166","Transcriptional regulation by RUNX2","6/54","106/11230",0.0566037735849057,11.7714884696017,7.7450172201884,1.09694940499886e-05,0.000391473818908969,0.000271350642289192,"NR3C1/AKT1/AKT3/MMP13/SRC/GSK3B",6
"R-HSA-9927354","Co-stimulation by ICOS","3/54","11/11230",0.272727272727273,56.7171717171717,12.8508707540346,1.68765235846655e-05,0.000558916637183749,0.000387413873317522,"PIK3CA/PIK3CD/PIK3CG",3
"R-HSA-1592389","Activation of Matrix Metalloproteinases","4/54","33/11230",0.121212121212121,25.2076318742985,9.68016280509016,1.76190883875788e-05,0.000558916637183749,0.000387413873317522,"MMP2/MMP3/MMP13/MMP14",4
"R-HSA-9027276","Erythropoietin activates Phosphoinositide-3-kinase (PI3K)","3/54","12/11230",0.25,51.9907407407407,12.2842444604146,2.24254644494195e-05,0.000673944221085186,0.000467145409029458,"PIK3CA/PIK3CD/PIK3CG",3
"R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","9/54","337/11230",0.0267062314540059,5.55390702274975,5.89996699634541,2.86428706775472e-05,0.000817753957843971,0.000566827335513565,"ECE1/CCR1/CCR3/CCKBR/MLNR/ADRA1A/HRH1/C3AR1/ADRA1D",9
"R-HSA-111447","Activation of BAD and translocation to mitochondria","3/54","14/11230",0.214285714285714,44.5634920634921,11.3368376534337,3.68519348408727e-05,0.000956475217915377,0.000662982177041537,"AKT1/AKT3/BCL2",3
"R-HSA-198323","AKT phosphorylates targets in the cytosol","3/54","14/11230",0.214285714285714,44.5634920634921,11.3368376534337,3.68519348408727e-05,0.000956475217915377,0.000662982177041537,"AKT1/AKT3/GSK3B",3
"R-HSA-9711123","Cellular response to chemical stress","7/54","197/11230",0.0355329949238579,7.38954690731341,6.28898546537818,4.04947887593612e-05,0.00100532714702588,0.00069684396217482,"ALB/AKT1/AKT3/BCL2/NQO1/PPARA/GSK3B",7
"R-HSA-449147","Signaling by Interleukins","10/54","454/11230",0.0220264317180617,4.58068200358949,5.41363676499069,5.10404325667858e-05,0.00121433695815145,0.000841719414259274,"MMP2/AKT1/PIK3CA/MMP3/BCL2/CCR1/IRAK4/PIK3CD/MAPK14/PIM1",10
"R-HSA-180292","GAB1 signalosome","3/54","17/11230",0.176470588235294,36.6993464052288,10.238775931625,6.81443439801265e-05,0.00155641681650609,0.001078832561538,"EGFR/PIK3CA/SRC",3
"R-HSA-881907","Gastrin-CREB signalling pathway via PKC and MAPK","3/54","18/11230",0.166666666666667,34.6604938271605,9.93434905623869,8.14952317519076e-05,0.00178976066655151,0.00124057518780232,"EGFR/MMP3/CCKBR",3
"R-HSA-4420097","VEGFA-VEGFR2 Pathway","5/54","98/11230",0.0510204081632653,10.6103552532124,6.64186593585363,0.000102957935167885,0.00217736966595786,0.00150924692487816,"AKT1/PIK3CA/AKT3/SRC/MAPK14",5
"R-HSA-389513","Co-inhibition by CTLA4","3/54","21/11230",0.142857142857143,29.7089947089947,9.15310453433509,0.000131479645264262,0.00268124562306762,0.0018585092714046,"AKT1/AKT3/SRC",3
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","5/54","106/11230",0.0471698113207547,9.80957372466806,6.33434277840308,0.000149239630381365,0.00293847686026757,0.00203680947453333,"MMP2/AKT1/MMP3/BCL2/PIM1",5
"R-HSA-194138","Signaling by VEGF","5/54","107/11230",0.0467289719626168,9.71789546555902,6.29820513521951,0.000155987722123782,0.00296896631108932,0.00205794328135236,"AKT1/PIK3CA/AKT3/SRC/MAPK14",5
"R-HSA-9755511","KEAP1-NFE2L2 pathway","5/54","113/11230",0.0442477876106195,9.20190101606031,6.09093783321641,0.000201519337317627,0.00365925424097228,0.00253641735571127,"AKT1/AKT3/BCL2/NQO1/GSK3B",5
"R-HSA-114452","Activation of BH3-only proteins","3/54","25/11230",0.12,24.9555555555556,8.33478775953262,0.000224297545418616,0.00365925424097228,0.00253641735571127,"AKT1/AKT3/BCL2",3
"R-HSA-392451","G beta:gamma signalling through PI3Kgamma","3/54","25/11230",0.12,24.9555555555556,8.33478775953262,0.000224297545418616,0.00365925424097228,0.00253641735571127,"AKT1/AKT3/PIK3CG",3
"R-HSA-5674400","Constitutive Signaling by AKT1 E17K in Cancer","3/54","25/11230",0.12,24.9555555555556,8.33478775953262,0.000224297545418616,0.00365925424097228,0.00253641735571127,"AKT1/AKT3/GSK3B",3
"R-HSA-9006335","Signaling by Erythropoietin","3/54","25/11230",0.12,24.9555555555556,8.33478775953262,0.000224297545418616,0.00365925424097228,0.00253641735571127,"PIK3CA/PIK3CD/PIK3CG",3
"R-HSA-1442490","Collagen degradation","4/54","64/11230",0.0625,12.9976851851852,6.69056603574408,0.000245012300070513,0.00388616731500731,0.0026937024803074,"MMP2/MMP3/MMP13/MMP14",4
"R-HSA-388841","Regulation of T cell activation by CD28 family","7/54","265/11230",0.0264150943396226,5.49336128581412,5.14534123829548,0.00025834300829502,0.00398686101990423,0.00276349846711031,"AKT1/PIK3CA/AKT3/PIK3CD/PIK3CG/SRC/GSK3B",7
"R-HSA-8863795","Downregulation of ERBB2 signaling","3/54","29/11230",0.103448275862069,21.5134099616858,7.68834182897177,0.000351527151765145,0.00521722406871535,0.00361632638922845,"EGFR/AKT1/AKT3",3
"R-HSA-500792","GPCR ligand binding","9/54","470/11230",0.0191489361702128,3.9822695035461,4.59106990016871,0.000361813599090006,0.00521722406871535,0.00361632638922845,"ECE1/CCR1/CCR3/CCKBR/MLNR/ADRA1A/HRH1/C3AR1/ADRA1D",9
"R-HSA-9856530","High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells","4/54","71/11230",0.0563380281690141,11.716223265519,6.29625796285326,0.000365479794656067,0.00521722406871535,0.00361632638922845,"AKT1/PIK3CA/MMP14/PIK3CD",4
"R-HSA-201556","Signaling by ALK","3/54","30/11230",0.1,20.7962962962963,7.54674691142928,0.000389260540440914,0.00529208972837528,0.00366821962921763,"PIK3CA/ALK/SRC",3
"R-HSA-4090294","SUMOylation of intracellular receptors","3/54","30/11230",0.1,20.7962962962963,7.54674691142928,0.000389260540440914,0.00529208972837528,0.00366821962921763,"PPARG/NR3C1/PPARA",3
"R-HSA-375276","Peptide ligand-binding receptors","6/54","203/11230",0.0295566502463054,6.14668856048166,5.14365041897926,0.000406342024142095,0.00539584408802642,0.00374013711327852,"ECE1/CCR1/CCR3/CCKBR/MLNR/C3AR1",6
"R-HSA-9680350","Signaling by CSF1 (M-CSF) in myeloid cells","3/54","31/11230",0.0967741935483871,20.1254480286738,7.41185759388725,0.00042950507650719,0.00557380451558195,0.00386349064035176,"PIK3CA/PIK3CD/SRC",3
"R-HSA-397795","G-protein beta:gamma signalling","3/54","32/11230",0.09375,19.4965277777778,7.28314893225052,0.00047232918558735,0.00599333255489726,0.00415428710598465,"AKT1/AKT3/PIK3CG",3
"R-HSA-6804757","Regulation of TP53 Degradation","3/54","35/11230",0.0857142857142857,17.8253968253968,6.92965340361612,0.000616946798890199,0.0076581874383979,0.005308283670085,"AKT1/AKT3/SGK1",3
"R-HSA-6806003","Regulation of TP53 Expression and Degradation","3/54","36/11230",0.0833333333333333,17.3302469135802,6.8214323221429,0.000670751650309442,0.00814891898567428,0.00564843494997425,"AKT1/AKT3/SGK1",3
"R-HSA-109606","Intrinsic Pathway for Apoptosis","3/54","37/11230",0.0810810810810811,16.8618618618619,6.71747405603471,0.00072746193769325,0.00865376596714262,0.00599837036343557,"AKT1/AKT3/BCL2",3
"R-HSA-9607240","FLT3 Signaling","3/54","38/11230",0.0789473684210526,16.4181286549708,6.61749828037196,0.000787139651609152,0.00917258655242501,0.00635799160053794,"AKT1/PIK3CA/AKT3",3
"R-HSA-5654741","Signaling by FGFR3","3/54","40/11230",0.075,15.5972222222222,6.42849627033144,0.000915640144363951,0.0104566104486363,0.00724801461643886,"PIK3CA/FGF1/SRC",3
"R-HSA-5654743","Signaling by FGFR4","3/54","41/11230",0.0731707317073171,15.2168021680217,6.33902458036048,0.000984581756850397,0.0105359090527223,0.00730298055825159,"PIK3CA/FGF1/SRC",3
"R-HSA-8853659","RET signaling","3/54","41/11230",0.0731707317073171,15.2168021680217,6.33902458036048,0.000984581756850397,0.0105359090527223,0.00730298055825159,"PIK3CA/PIK3CD/SRC",3
"R-HSA-6804759","Regulation of TP53 Activity through Association with Co-factors","2/54","10/11230",0.2,41.5925925925926,8.92636386112493,0.000996390698506135,0.0105359090527223,0.00730298055825159,"AKT1/AKT3",2
"R-HSA-9757110","Prednisone ADME","2/54","10/11230",0.2,41.5925925925926,8.92636386112493,0.000996390698506135,0.0105359090527223,0.00730298055825159,"ALB/HSD11B1",2
