"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0101002","ficolin-1-rich granule","6/47","186/19944",0.032258064516129,13.6884008236102,8.44971857477108,4.74327072785966e-06,0.000616625194621756,0.000444369573452116,"MMP9/MAPK1/GLB1/GSTP1/GAA/HSPA8",6
"GO:1904813","ficolin-1-rich granule lumen","5/47","125/19944",0.04,16.9736170212766,8.70698465359955,1.10874181205219e-05,0.000720682177833926,0.000519358006698133,"MMP9/MAPK1/GLB1/GSTP1/HSPA8",5
"GO:0005925","focal adhesion","7/47","423/19944",0.016548463356974,7.02218198279765,6.08447907393566,5.55443386954943e-05,0.00139409217715658,0.00100464942321405,"MAPK1/EGFR/MAP2K1/ADAM17/HSPA5/HSPA8/DPP4",7
"GO:0045121","membrane raft","6/47","291/19944",0.0206185567010309,8.74928712436938,6.47208472002933,5.95199187511003e-05,0.00139409217715658,0.00100464942321405,"NOS3/MAPK1/EGFR/NOS1/ADAM17/DPP4",6
"GO:0098857","membrane microdomain","6/47","293/19944",0.0204778156996587,8.6895650279573,6.44456532034723,6.18202192047176e-05,0.00139409217715658,0.00100464942321405,"NOS3/MAPK1/EGFR/NOS1/ADAM17/DPP4",6
"GO:0030055","cell-substrate junction","7/47","433/19944",0.0161662817551963,6.86000687926883,5.99173618474856,6.43427158687652e-05,0.00139409217715658,0.00100464942321405,"MAPK1/EGFR/MAP2K1/ADAM17/HSPA5/HSPA8/DPP4",7
"GO:0031983","vesicle lumen","6/47","333/19944",0.018018018018018,7.64577343300748,5.94385425429771,0.000124912266026638,0.00219215101079371,0.00157976874462057,"MAPK1/EGFR/GLB1/GSTP1/ADA/HSPA8",6
"GO:0031012","extracellular matrix","7/47","496/19944",0.0141129032258065,5.98867536032944,5.46813190077418,0.000149891669231022,0.00219215101079371,0.00157976874462057,"MMP9/F2/MMP1/MMP3/MMP13/MMP7/MMP12",7
"GO:0030312","external encapsulating structure","7/47","497/19944",0.0140845070422535,5.97662571171711,5.46056070983587,0.000151764300747257,0.00219215101079371,0.00157976874462057,"MMP9/F2/MMP1/MMP3/MMP13/MMP7/MMP12",7
"GO:0005775","vacuolar lumen","4/47","179/19944",0.0223463687150838,9.48246760965173,5.54052207716856,0.000828118251506916,0.0107655372695899,0.00775816046148584,"MAPK1/GLB1/GAA/HSPA8",4
"GO:0005901","caveola","3/47","81/19944",0.037037037037037,15.7163120567376,6.45014459037218,0.000920020630749758,0.010872971090679,0.00783558240542856,"NOS3/MAPK1/NOS1",3
"GO:0060205","cytoplasmic vesicle lumen","5/47","332/19944",0.0150602409638554,6.39066905921559,4.81394521937879,0.00107256142361257,0.0116194154224695,0.00837350585101043,"MAPK1/GLB1/GSTP1/ADA/HSPA8",5
"GO:0031253","cell projection membrane","5/47","361/19944",0.0138504155124654,5.87729121235339,4.54509588567768,0.00155342372171328,0.0152467813450326,0.0109875590259749,"EGFR/ADAM17/DPP4/SLC5A1/CA9",5
"GO:0043202","lysosomal lumen","3/47","99/19944",0.0303030303030303,12.8588007736944,5.7488793235122,0.00164196106792659,0.0152467813450326,0.0109875590259749,"GLB1/GAA/HSPA8",3
"GO:0042470","melanosome","3/47","112/19944",0.0267857142857143,11.3662613981763,5.34685348883279,0.0023355153860707,0.0189760625118244,0.0136750571947561,"AHCY/HSPA5/HSPA8",3
"GO:0048770","pigment granule","3/47","112/19944",0.0267857142857143,11.3662613981763,5.34685348883279,0.0023355153860707,0.0189760625118244,0.0136750571947561,"AHCY/HSPA5/HSPA8",3
"GO:0044853","plasma membrane raft","3/47","115/19944",0.0260869565217391,11.0697502312673,5.26341466192067,0.00251761769803636,0.0192523706320428,0.0138741780263304,"NOS3/MAPK1/NOS1",3
"GO:0005766","primary lysosome","3/47","155/19944",0.0193548387096774,8.2130404941661,4.38149851455103,0.00581248801472115,0.0397696548375658,0.0286599132027802,"MAPK1/GLB1/GAA",3
"GO:0042582","azurophil granule","3/47","155/19944",0.0193548387096774,8.2130404941661,4.38149851455103,0.00581248801472115,0.0397696548375658,0.0286599132027802,"MAPK1/GLB1/GAA",3
"GO:0005788","endoplasmic reticulum lumen","4/47","319/19944",0.0125391849529781,5.32088307877009,3.78105850291332,0.00667144294132538,0.043364379118615,0.0312504432514715,"F2/MAPK1/ADAM17/HSPA5",4
"GO:0034774","secretory granule lumen","4/47","327/19944",0.0122324159021407,5.19070856919774,3.71360248762367,0.00726976566040245,0.0450033112310628,0.032431536028863,"MAPK1/GLB1/GSTP1/HSPA8",4
