"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","9/41","130/9370",0.0692307692307692,15.8217636022514,11.2812331290534,3.47105268132917e-09,7.28921063079125e-07,3.65373966455702e-07,"MMP9/MMP1/NOS3/MAPK1/EGFR/MAP2K1/NOS2/NOS1/MMP13",9
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","10/41","216/9370",0.0462962962962963,10.5803974706414,9.44334704184192,2.06661971997428e-08,2.16995070597299e-06,1.08769458946015e-06,"MMP9/MMP1/NOS3/MAPK1/CASP3/MMP3/IRAK4/HSPA5/HSPA8/GSK3B",10
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","7/41","94/9370",0.074468085106383,17.0186818889465,10.3474023129931,1.38904555197333e-07,9.72331886381329e-06,4.87384404201167e-06,"MMP9/MMP1/MAPK1/CASP3/MMP3/MMP13/GSK3B",7
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","7/41","106/9370",0.0660377358490566,15.0920386562356,9.67271711149731,3.18271371328646e-07,1.67092469947539e-05,8.37556240338543e-06,"MMP9/MAPK1/EGFR/MAP2K1/GSTP1/MMP3/GSK3B",7
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","7/41","110/9370",0.0636363636363636,14.5432372505543,9.47183964624686,4.1031121984725e-07,1.72330712335845e-05,8.63813094415264e-06,"NOS3/MAPK1/EGFR/MAP2K1/NOS2/GAPDH/PFKFB3",7
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","5/41","41/9370",0.121951219512195,27.8703152885187,11.430576787436,8.32163280265781e-07,2.91257148093023e-05,1.45993557941365e-05,"MMP9/MMP1/MAPK1/EGFR/MAP2K1",5
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","6/41","119/9370",0.0504201680672269,11.5228530436565,7.65832242675022,1.15639069891459e-05,0.000346917209674377,0.000173893338182645,"MMP9/MAPK1/MAP2K1/CASP3/MMP3/ADAM17",6
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","6/41","139/9370",0.0431654676258993,9.86488857694332,6.98035173956188,2.80588958673702e-05,0.000736546016518468,0.000369195998254871,"MMP9/NOS3/MAPK1/EGFR/MAP2K1/HSPA8",6
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","5/41","87/9370",0.0574712643678161,13.1342865152789,7.53790565852676,3.54014420653745e-05,0.000826033648192073,0.000414051953980989,"MAPK1/EGFR/MAP2K1/CASP3/GSK3B",5
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","7/41","238/9370",0.0294117647058824,6.72166427546628,5.92719069465335,6.71742280251191e-05,0.0014106587885275,0.000707097137106517,"F2/MMP1/MAPK1/EGFR/MMP3/IRAK4/ADAM17",7
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","5/41","112/9370",0.0446428571428571,10.2025261324042,6.49498995581961,0.000118628546148174,0.002093559801201,0.00104940340912331,"MAPK1/NOS2/CASP3/IRAK4/HSPA8",5
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","4/41","59/9370",0.0677966101694915,15.4940057875155,7.40350329811536,0.000120677963790885,0.002093559801201,0.00104940340912331,"MAPK1/EGFR/MAP2K1/GSK3B",4
