"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1442490","Collagen degradation","7/43","64/11230",0.109375,28.5646802325581,13.7101461269871,3.82264657218615e-09,1.72401360405595e-06,1.37212892748998e-06,"MMP9/MMP1/MMP3/MMP13/ADAM17/MMP7/MMP12",7
"R-HSA-1592389","Activation of Matrix Metalloproteinases","5/43","33/11230",0.151515151515152,39.5701198026779,13.7564086427467,1.41947133204693e-07,3.20090785376583e-05,2.54757749593686e-05,"MMP9/MMP1/MMP3/MMP13/MMP7",5
"R-HSA-9009391","Extra-nuclear estrogen signaling","6/43","77/11230",0.0779220779220779,20.3503473270915,10.562974367151,4.24939557771315e-07,6.38825801849544e-05,5.08436453333398e-05,"MMP9/NOS3/MAPK1/EGFR/MMP3/MMP7",6
"R-HSA-1474228","Degradation of the extracellular matrix","7/43","138/11230",0.0507246376811594,13.24738793394,8.97482598467224,8.0925355134418e-07,9.12433379140563e-05,7.26198581600962e-05,"MMP9/MMP1/MMP3/MMP13/ADAM17/MMP7/MMP12",7
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","6/43","106/11230",0.0566037735849057,14.7827994734533,8.83909557472058,2.81626141889329e-06,0.000254026779984175,0.000202177925019497,"MMP9/MMP1/NOS2/MMP3/HSPA8/PIM1",6
"R-HSA-881907","Gastrin-CREB signalling pathway via PKC and MAPK","3/43","18/11230",0.166666666666667,43.5271317829457,11.1946043936075,4.09969040668874e-05,0.00284002907436146,0.00226035690128897,"MAPK1/EGFR/MMP3",3
"R-HSA-449147","Signaling by Interleukins","9/43","454/11230",0.0198237885462555,5.17723593894068,5.63295251938794,4.40802738814417e-05,0.00284002907436146,0.00226035690128897,"MMP9/MMP1/MAPK1/MAP2K1/NOS2/MMP3/IRAK4/HSPA8/PIM1",9
"R-HSA-9748784","Drug ADME","5/43","109/11230",0.0458715596330275,11.9799445274163,7.14149973230038,5.63777953043998e-05,0.00317829821028554,0.00252958265773689,"GSTP1/ADA/HSD11B1/ADK/AKR1C1",5
"R-HSA-445144","Signal transduction by L1","3/43","21/11230",0.142857142857143,37.3089700996678,10.3249532241539,6.62876277884043e-05,0.00318821696960887,0.00253747692061296,"MAPK1/EGFR/MAP2K1",3
"R-HSA-392154","Nitric oxide stimulates guanylate cyclase","3/43","22/11230",0.136363636363636,35.6131078224101,10.0747858648801,7.65494000185035e-05,0.00318821696960887,0.00253747692061296,"NOS3/NOS2/NOS1",3
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","4/43","60/11230",0.0666666666666667,17.4108527131783,7.90183826014518,7.77613895026553e-05,0.00318821696960887,0.00253747692061296,"MMP9/MMP3/MMP13/MMP7",4
