"from","to","interaction","term_type"
"MMP9","KEGG | Proteoglycans in cancer","target-pathway","KEGG"
"VEGFA","KEGG | Proteoglycans in cancer","target-pathway","KEGG"
"MMP2","KEGG | Proteoglycans in cancer","target-pathway","KEGG"
"MTOR","KEGG | Proteoglycans in cancer","target-pathway","KEGG"
"EGFR","KEGG | Proteoglycans in cancer","target-pathway","KEGG"
"HIF1A","KEGG | Proteoglycans in cancer","target-pathway","KEGG"
"ESR1","KEGG | Proteoglycans in cancer","target-pathway","KEGG"
"PIK3CA","KEGG | Proteoglycans in cancer","target-pathway","KEGG"
"KDR","KEGG | Proteoglycans in cancer","target-pathway","KEGG"
"MET","KEGG | Proteoglycans in cancer","target-pathway","KEGG"
"SRC","KEGG | Proteoglycans in cancer","target-pathway","KEGG"
"MAPK14","KEGG | Proteoglycans in cancer","target-pathway","KEGG"
"MMP9","KEGG | Endocrine resistance","target-pathway","KEGG"
"MMP2","KEGG | Endocrine resistance","target-pathway","KEGG"
"MTOR","KEGG | Endocrine resistance","target-pathway","KEGG"
"EGFR","KEGG | Endocrine resistance","target-pathway","KEGG"
"ESR1","KEGG | Endocrine resistance","target-pathway","KEGG"
"PIK3CA","KEGG | Endocrine resistance","target-pathway","KEGG"
"ESR2","KEGG | Endocrine resistance","target-pathway","KEGG"
"SRC","KEGG | Endocrine resistance","target-pathway","KEGG"
"MAPK14","KEGG | Endocrine resistance","target-pathway","KEGG"
"FLT1","KEGG | Rap1 signaling pathway","target-pathway","KEGG"
"PGF","KEGG | Rap1 signaling pathway","target-pathway","KEGG"
"VEGFA","KEGG | Rap1 signaling pathway","target-pathway","KEGG"
"EGFR","KEGG | Rap1 signaling pathway","target-pathway","KEGG"
"PIK3CA","KEGG | Rap1 signaling pathway","target-pathway","KEGG"
"KDR","KEGG | Rap1 signaling pathway","target-pathway","KEGG"
"MET","KEGG | Rap1 signaling pathway","target-pathway","KEGG"
"GRIN1","KEGG | Rap1 signaling pathway","target-pathway","KEGG"
"SRC","KEGG | Rap1 signaling pathway","target-pathway","KEGG"
"MAPK14","KEGG | Rap1 signaling pathway","target-pathway","KEGG"
"VEGFA","KEGG | Chemical carcinogenesis - receptor activation","target-pathway","KEGG"
"MTOR","KEGG | Chemical carcinogenesis - receptor activation","target-pathway","KEGG"
"EGFR","KEGG | Chemical carcinogenesis - receptor activation","target-pathway","KEGG"
"ESR1","KEGG | Chemical carcinogenesis - receptor activation","target-pathway","KEGG"
"PIK3CA","KEGG | Chemical carcinogenesis - receptor activation","target-pathway","KEGG"
"ESR2","KEGG | Chemical carcinogenesis - receptor activation","target-pathway","KEGG"
"SRC","KEGG | Chemical carcinogenesis - receptor activation","target-pathway","KEGG"
"HSP90AA1","KEGG | Chemical carcinogenesis - receptor activation","target-pathway","KEGG"
"MMP9","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"VEGFA","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"MMP1","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"MMP2","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"EGFR","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"PIK3CA","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"SRC","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"MAPK14","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"VEGFA","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"MTOR","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"EGFR","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"PIK3CA","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"KDR","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"MET","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"SRC","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"FLT1","KEGG | Ras signaling pathway","target-pathway","KEGG"
"PGF","KEGG | Ras signaling pathway","target-pathway","KEGG"
"VEGFA","KEGG | Ras signaling pathway","target-pathway","KEGG"
"EGFR","KEGG | Ras signaling pathway","target-pathway","KEGG"
"PIK3CA","KEGG | Ras signaling pathway","target-pathway","KEGG"
"KDR","KEGG | Ras signaling pathway","target-pathway","KEGG"
"ABL1","KEGG | Ras signaling pathway","target-pathway","KEGG"
"MET","KEGG | Ras signaling pathway","target-pathway","KEGG"
"GRIN1","KEGG | Ras signaling pathway","target-pathway","KEGG"
"FLT1","KEGG | PI3K-Akt signaling pathway","target-pathway","KEGG"
"PGF","KEGG | PI3K-Akt signaling pathway","target-pathway","KEGG"
"VEGFA","KEGG | PI3K-Akt signaling pathway","target-pathway","KEGG"
"MTOR","KEGG | PI3K-Akt signaling pathway","target-pathway","KEGG"
"EGFR","KEGG | PI3K-Akt signaling pathway","target-pathway","KEGG"
"PIK3CA","KEGG | PI3K-Akt signaling pathway","target-pathway","KEGG"
"KDR","KEGG | PI3K-Akt signaling pathway","target-pathway","KEGG"
"MET","KEGG | PI3K-Akt signaling pathway","target-pathway","KEGG"
"PIK3CG","KEGG | PI3K-Akt signaling pathway","target-pathway","KEGG"
