"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001666","response to hypoxia","13/61","317/18860",0.0410094637223975,12.6793194394167,11.9457670837015,2.12905489040939e-11,2.481432469785e-08,1.23387166941002e-08,"PGF/VEGFA/PPARG/MMP2/MTOR/HIF1A/TERT/BCL2/NOS1/ABCB1/PPARA/MMP14/CA9",13
"GO:0050900","leukocyte migration","14/61","397/18860",0.035264483627204,10.9030846099847,11.3598208384825,2.44785928927953e-11,2.481432469785e-08,1.23387166941002e-08,"FLT1/PGF/VEGFA/MMP2/SERPINE1/CYP19A1/ABL1/APP/MMP14/PIK3CG/SRC/PLA2G7/CNR2/FUT4",14
"GO:0036293","response to decreased oxygen levels","13/61","330/18860",0.0393939393939394,12.1798310978639,11.6710888823964,3.51477686938385e-11,2.481432469785e-08,1.23387166941002e-08,"PGF/VEGFA/PPARG/MMP2/MTOR/HIF1A/TERT/BCL2/NOS1/ABCB1/PPARA/MMP14/CA9",13
"GO:0060326","cell chemotaxis","13/61","330/18860",0.0393939393939394,12.1798310978639,11.6710888823964,3.51477686938385e-11,2.481432469785e-08,1.23387166941002e-08,"FLT1/PGF/VEGFA/MMP2/SERPINE1/FGFR1/CYP19A1/KDR/APP/MET/PIK3CG/PLA2G7/CNR2",13
"GO:0070482","response to oxygen levels","13/61","357/18860",0.0364145658263305,11.2586674013868,11.147073305462,9.32733902342784e-11,4.06930605331319e-08,2.02342861007894e-08,"PGF/VEGFA/PPARG/MMP2/MTOR/HIF1A/TERT/BCL2/NOS1/ABCB1/PPARA/MMP14/CA9",13
"GO:1902893","regulation of miRNA transcription","8/61","75/18860",0.106666666666667,32.9792349726776,15.8070190208793,1.05971518783964e-10,4.06930605331319e-08,2.02342861007894e-08,"VEGFA/PPARG/EGFR/HIF1A/ESR1/TERT/PPARA/APP",8
"GO:0030574","collagen catabolic process","7/61","45/18860",0.155555555555556,48.0947176684882,18.0170306369342,1.06984590349554e-10,4.06930605331319e-08,2.02342861007894e-08,"MMP9/MMP1/MMP2/MMP13/MMP14/MMP7/MMP12",7
"GO:0061614","miRNA transcription","8/61","76/18860",0.105263157894737,32.5452976704055,15.6965518896004,1.18142463290937e-10,4.06930605331319e-08,2.02342861007894e-08,"VEGFA/PPARG/EGFR/HIF1A/ESR1/TERT/PPARA/APP",8
"GO:0042060","wound healing","14/61","453/18860",0.0309050772626932,9.55524192089169,10.4989716614173,1.39985141300833e-10,4.06930605331319e-08,2.02342861007894e-08,"VEGFA/PPARG/SERPINE1/MTOR/HIF1A/PIK3CA/KDR/PPARA/F10/PIK3CG/SRC/MMP12/MAPK14/ALOX15",14
"GO:0048732","gland development","14/61","454/18860",0.0308370044052863,9.53419513251968,10.4849812964904,1.44097239848201e-10,4.06930605331319e-08,2.02342861007894e-08,"VEGFA/MMP2/FGFR1/CYP19A1/EGFR/HIF1A/ESR1/PIK3CA/BCL2/ABL1/ABCB1/PPARA/MET/SRC",14
"GO:0097529","myeloid leukocyte migration","11/61","237/18860",0.0464135021097046,14.3501417998202,11.7812698554122,2.3534458652778e-10,5.40197734446605e-08,2.68608833215957e-08,"FLT1/PGF/VEGFA/MMP2/SERPINE1/CYP19A1/APP/MMP14/PIK3CG/PLA2G7/FUT4",11
"GO:1902894","negative regulation of miRNA transcription","6/61","27/18860",0.222222222222222,68.7067395264117,20.0544568057535,2.49686022096726e-10,5.40197734446605e-08,2.68608833215957e-08,"VEGFA/PPARG/HIF1A/ESR1/PPARA/APP",6
"GO:0006935","chemotaxis","14/61","474/18860",0.029535864978903,9.13190841806737,10.2139774738535,2.53465607490298e-10,5.40197734446605e-08,2.68608833215957e-08,"FLT1/PGF/VEGFA/MMP2/SERPINE1/FGFR1/CYP19A1/KDR/APP/MET/PIK3CG/PLA2G7/MAPK14/CNR2",14
"GO:0042330","taxis","14/61","476/18860",0.0294117647058824,9.09353905496625,10.187762481707,2.67803409428203e-10,5.40197734446605e-08,2.68608833215957e-08,"FLT1/PGF/VEGFA/MMP2/SERPINE1/FGFR1/CYP19A1/KDR/APP/MET/PIK3CG/PLA2G7/MAPK14/CNR2",14
"GO:0010562","positive regulation of phosphorus metabolic process","12/61","320/18860",0.0375,11.594262295082,10.8879901466147,3.83816936544337e-10,6.36630024900932e-08,3.16558988078814e-08,"FLT1/MMP9/VEGFA/FGFR1/MTOR/EGFR/HIF1A/KDR/PPARA/APP/PIK3CG/SRC",12
"GO:0045937","positive regulation of phosphate metabolic process","12/61","320/18860",0.0375,11.594262295082,10.8879901466147,3.83816936544337e-10,6.36630024900932e-08,3.16558988078814e-08,"FLT1/MMP9/VEGFA/FGFR1/MTOR/EGFR/HIF1A/KDR/PPARA/APP/PIK3CG/SRC",12
"GO:2000629","negative regulation of miRNA metabolic process","6/61","29/18860",0.206896551724138,63.968343697004,19.3304271546474,3.98680943507227e-10,6.36630024900932e-08,3.16558988078814e-08,"VEGFA/PPARG/HIF1A/ESR1/PPARA/APP",6
"GO:0046209","nitric oxide metabolic process","8/61","89/18860",0.0898876404494382,27.7914901455148,14.4312862803111,4.28327566328531e-10,6.36630024900932e-08,3.16558988078814e-08,"HIF1A/ESR1/STAT1/CYP1B1/NOS1/PPARA/APP/HSP90AA1",8
"GO:2000628","regulation of miRNA metabolic process","8/61","89/18860",0.0898876404494382,27.7914901455148,14.4312862803111,4.28327566328531e-10,6.36630024900932e-08,3.16558988078814e-08,"VEGFA/PPARG/EGFR/HIF1A/ESR1/TERT/PPARA/APP",8
"GO:2001057","reactive nitrogen species metabolic process","8/61","91/18860",0.0879120879120879,27.1806881642947,14.2606086133117,5.12851783532505e-10,7.24146718347897e-08,3.60075936438085e-08,"HIF1A/ESR1/STAT1/CYP1B1/NOS1/PPARA/APP/HSP90AA1",8
"GO:0048010","vascular endothelial growth factor receptor signaling pathway","7/61","63/18860",0.111111111111111,34.3533697632058,15.1050649148871,1.24673835340521e-09,1.67656624286492e-07,8.33658628292007e-08,"FLT1/PGF/VEGFA/HIF1A/KDR/SRC/MAPK14",7
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","10/61","217/18860",0.0460829493087558,14.2479413764448,11.1809122383167,1.78604251372718e-09,2.2926291176207e-07,1.13999077191964e-07,"FLT1/VEGFA/FGFR1/MTOR/EGFR/PIK3CA/KDR/APP/PIK3CG/SRC",10
"GO:0010586","miRNA metabolic process","8/61","108/18860",0.0740740740740741,22.9022465088039,13.0027022290214,2.03570383734456e-09,2.43116502327217e-07,1.20887659946514e-07,"VEGFA/PPARG/EGFR/HIF1A/ESR1/TERT/PPARA/APP",8
"GO:0050727","regulation of inflammatory response","13/61","460/18860",0.0282608695652174,8.73770491803279,9.57059727541148,2.06614591212932e-09,2.43116502327217e-07,1.20887659946514e-07,"MMP9/PPARG/SERPINE1/CYP19A1/ESR1/PPARA/APP/PIK3CG/SRC/PLA2G7/MAPK14/PLA2G2A/ALOX15",13
"GO:0022617","extracellular matrix disassembly","7/61","72/18860",0.0972222222222222,30.0591985428051,14.0723451517345,3.24534304090968e-09,3.66593949901158e-07,1.82285794382043e-07,"MMP9/MMP1/MMP2/MMP13/MMP14/MMP7/MMP12",7
"GO:0032963","collagen metabolic process","8/61","116/18860",0.0689655172413793,21.3227812323347,12.5065600526595,3.60090611445246e-09,3.91113802585145e-07,1.94478087314963e-07,"MMP9/MMP1/MMP2/HIF1A/MMP13/MMP14/MMP7/MMP12",8
"GO:0071674","mononuclear cell migration","10/61","235/18860",0.0425531914893617,13.1566096965469,10.6820630638365,3.85218573241345e-09,4.02910092901318e-07,2.00343694621425e-07,"FLT1/MMP2/SERPINE1/CYP19A1/ABL1/APP/MMP14/PIK3CG/PLA2G7/FUT4",10
"GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","11/61","311/18860",0.0353697749196141,10.9356386062938,10.0640457891031,4.12646683594975e-09,4.06956359297762e-07,2.02355666953636e-07,"FLT1/VEGFA/FGFR1/MTOR/EGFR/PIK3CA/KDR/PPARA/APP/PIK3CG/SRC",11
"GO:0030595","leukocyte chemotaxis","10/61","237/18860",0.0421940928270042,13.045583454382,10.6300196185088,4.17908442621639e-09,4.06956359297762e-07,2.02355666953636e-07,"FLT1/PGF/VEGFA/MMP2/SERPINE1/CYP19A1/APP/PIK3CG/PLA2G7/CNR2",10
"GO:0030198","extracellular matrix organization","11/61","331/18860",0.0332326283987915,10.2748749442821,9.69734714346422,7.88346168988584e-09,7.40486976716077e-07,3.68200994087985e-07,"MMP9/MMP1/PPARG/MMP2/CYP1B1/ABL1/MMP13/APP/MMP14/MMP7/MMP12",11
"GO:0043062","extracellular structure organization","11/61","332/18860",0.0331325301204819,10.2439265257752,9.67983890130848,8.13358850370793e-09,7.40486976716077e-07,3.68200994087985e-07,"MMP9/MMP1/PPARG/MMP2/CYP1B1/ABL1/MMP13/APP/MMP14/MMP7/MMP12",11
"GO:0045229","external encapsulating structure organization","11/61","333/18860",0.033033033033033,10.2131639836558,9.66240508877571,8.39078727157028e-09,7.40486976716077e-07,3.68200994087985e-07,"MMP9/MMP1/PPARG/MMP2/CYP1B1/ABL1/MMP13/APP/MMP14/MMP7/MMP12",11
"GO:0001952","regulation of cell-matrix adhesion","8/61","131/18860",0.0610687022900763,18.8812413965711,11.6985730964184,9.4428667142518e-09,8.08080472759002e-07,4.0181129814392e-07,"VEGFA/SERPINE1/KDR/BCL2/ABL1/MMP14/SRC/MMP12",8
