"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004713","protein tyrosine kinase activity","9/63","141/18662",0.0638297872340425,18.9078014184397,12.4226012235335,1.03845646077332e-09,3.48921370819836e-07,2.24087973114243e-07,"FLT1/FGFR1/MTOR/EGFR/KDR/DYRK1A/ABL1/MET/SRC",9
"GO:0017171","serine hydrolase activity","9/63","202/18662",0.0445544554455446,13.1980198019802,10.1447676436256,2.43724453260573e-08,4.09457081477762e-06,2.62965857465355e-06,"MMP9/MMP1/MMP2/MMP13/ACHE/F10/MMP14/MMP7/MMP12",9
"GO:0004222","metalloendopeptidase activity","7/63","109/18662",0.0642201834862385,19.0234454638124,10.9834032148865,8.06828791346685e-08,9.03648246308287e-06,5.80350534126563e-06,"MMP9/MMP1/MMP2/MMP13/MMP14/MMP7/MMP12",7
"GO:0004252","serine-type endopeptidase activity","8/63","178/18662",0.0449438202247191,13.3133583021223,9.60686023034867,1.44910748732733e-07,1.21725028935496e-05,7.81755355005533e-06,"MMP9/MMP1/MMP2/MMP13/F10/MMP14/MMP7/MMP12",8
"GO:0001221","transcription coregulator binding","7/63","127/18662",0.0551181102362205,16.3272090988626,10.0869897955938,2.30763754523104e-07,1.55073243039526e-05,9.9592778267866e-06,"PPARG/HIF1A/ESR1/STAT1/TERT/PPARA/RXRA",7
"GO:0008236","serine-type peptidase activity","8/63","196/18662",0.0408163265306122,12.0907029478458,9.08434516997129,3.03159636985308e-07,1.69769396711772e-05,1.0903109751226e-05,"MMP9/MMP1/MMP2/MMP13/F10/MMP14/MMP7/MMP12",8
"GO:0001223","transcription coactivator binding","5/63","51/18662",0.0980392156862745,29.041394335512,11.6705889278198,7.7734471810556e-07,3.73125464690669e-05,2.39632582273143e-05,"HIF1A/ESR1/STAT1/TERT/PPARA",5
"GO:0004879","nuclear receptor activity","5/63","59/18662",0.0847457627118644,25.1035781544256,10.7921746451892,1.62272393755347e-06,5.96293425667028e-05,3.82957870494175e-05,"PPARG/ESR1/PPARA/ESR2/RXRA",5
"GO:0098531","ligand-modulated transcription factor activity","5/63","60/18662",0.0833333333333333,24.6851851851852,10.6946240853242,1.76566560452126e-06,5.96293425667028e-05,3.82957870494175e-05,"PPARG/ESR1/PPARA/ESR2/RXRA",5
"GO:0004714","transmembrane receptor protein tyrosine kinase activity","5/63","61/18662",0.0819672131147541,24.2805100182149,10.5994222976942,1.9183398718188e-06,5.96293425667028e-05,3.82957870494175e-05,"FLT1/FGFR1/EGFR/KDR/MET",5
"GO:0003707","nuclear steroid receptor activity","4/63","27/18662",0.148148148148148,43.8847736625514,12.9781634596315,1.95215109593372e-06,5.96293425667028e-05,3.82957870494175e-05,"ESR1/PPARA/ESR2/RXRA",4
"GO:0046875","ephrin receptor binding","4/63","28/18662",0.142857142857143,42.3174603174603,12.7336386860965,2.27175629291348e-06,6.36091762015775e-05,4.08517578988828e-05,"ABL1/APP/PIK3CG/SRC",4
"GO:0008237","metallopeptidase activity","7/63","185/18662",0.0378378378378378,11.2084084084084,8.12121681799433,2.90830176068125e-06,7.51684147376078e-05,4.82754543270977e-05,"MMP9/MMP1/MMP2/MMP13/MMP14/MMP7/MMP12",7
"GO:0019902","phosphatase binding","7/63","197/18662",0.0355329949238579,10.5256627185561,7.82251835992511,4.40614095356596e-06,0.000105747382885583,6.7914202667746e-05,"EGFR/STAT1/BCL2/PPARA/MET/MAPK14/HSP90AA1",7
"GO:0019199","transmembrane receptor protein kinase activity","5/63","79/18662",0.0632911392405063,18.7482419127989,9.20034060821091,6.93646430299668e-06,0.000155376800387126,9.97877320781978e-05,"FLT1/FGFR1/EGFR/KDR/MET",5
