"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","13/53","204/9564",0.0637254901960784,11.4994450610433,11.3152831642244,5.1317607103711e-11,1.10846031344016e-08,5.02372364278434e-09,"MMP9/VEGFA/MMP2/FGFR1/MTOR/EGFR/HIF1A/ESR1/PIK3CA/KDR/MET/SRC/MAPK14",13
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","10/53","99/9564",0.101010101010101,18.2275586049171,12.8618353585745,1.19970258648267e-10,1.29567879340128e-08,5.87222844962569e-09,"MMP9/MMP2/MTOR/EGFR/ESR1/PIK3CA/BCL2/ESR2/SRC/MAPK14",10
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","12/53","212/9564",0.0566037735849057,10.2143111427554,10.1274585968034,1.23723647112104e-09,7.79828632297927e-08,3.53431105281224e-08,"FLT1/PGF/VEGFA/FGFR1/EGFR/PIK3CA/KDR/MET/GRIN1/SRC/MAPK14/CNR1",12
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","12/53","217/9564",0.0552995391705069,9.9789583514477,9.98715119149657,1.61593080241642e-09,7.79828632297927e-08,3.53431105281224e-08,"VEGFA/MTOR/EGFR/ESR1/PIK3CA/CYP1B1/BCL2/PPARA/ESR2/RXRA/SRC/HSP90AA1",12
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","10/53","130/9564",0.0769230769230769,13.8809869375907,11.0381121392318,1.80515887106002e-09,7.79828632297927e-08,3.53431105281224e-08,"MMP9/VEGFA/MMP1/MMP2/EGFR/PIK3CA/NOS1/MMP13/SRC/MAPK14",10
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","8/53","80/9564",0.1,18.0452830188679,11.4281349283788,1.09679854062291e-08,3.94847474624248e-07,1.78951340838475e-07,"VEGFA/MTOR/EGFR/PIK3CA/KDR/BCL2/MET/SRC",8
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","11/53","238/9564",0.046218487394958,8.34025685745997,8.56000369728812,5.45606044818261e-08,1.3793788257613e-06,6.25157070154977e-07,"FLT1/PGF/VEGFA/FGFR1/EGFR/PIK3CA/KDR/ABL1/MET/GRIN1/PLA2G2A",11
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","13/53","362/9564",0.0359116022099447,6.48035025539456,7.93493563488855,5.62614020948893e-08,1.3793788257613e-06,6.25157070154977e-07,"FLT1/PGF/VEGFA/FGFR1/MTOR/EGFR/PIK3CA/KDR/BCL2/RXRA/MET/PIK3CG/HSP90AA1",13
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","9/53","139/9564",0.0647482014388489,11.683996199267,9.47157859519011,5.74741177400544e-08,1.3793788257613e-06,6.25157070154977e-07,"MMP9/MMP2/EGFR/ESR1/PIK3CA/BCL2/ESR2/SRC/HSP90AA1",9
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","9/53","142/9564",0.0633802816901408,11.4371512091416,9.35355101977616,6.91773291681392e-08,1.49423031003181e-06,6.77209643435468e-07,"MMP9/VEGFA/MMP2/PIK3CA/KDR/BCL2/SRC/MAPK14/HSP90AA1",9
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","6/53","41/9564",0.146341463414634,26.4077312471238,12.1700635212826,8.38994666084954e-08,1.64748043522136e-06,7.46665109530151e-07,"MMP9/VEGFA/MMP1/MMP2/EGFR/SRC",6
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","8/53","106/9564",0.0754716981132075,13.6190815236739,9.75220777857597,1.02280784830501e-07,1.84105412694901e-06,8.34395876248821e-07,"MMP9/FGFR1/MTOR/EGFR/PIK3CA/BCL2/GRM5/HSP90AA1",8
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","8/53","110/9564",0.0727272727272727,13.1238421955403,9.54664427729175,1.36630808747549e-07,2.15034286008624e-06,9.74570594483531e-07,"FLT1/VEGFA/SERPINE1/MTOR/EGFR/HIF1A/PIK3CA/BCL2",8
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","9/53","154/9564",0.0584415584415584,10.5459446214163,8.9146927823058,1.39374074264849e-07,2.15034286008624e-06,9.74570594483531e-07,"FLT1/PGF/VEGFA/MTOR/EGFR/PIK3CA/KDR/MET/SRC",9
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","7/53","101/9564",0.0693069306930693,12.506631795255,8.67793524068995,1.22988432386856e-06,1.77103342637072e-05,8.02661348208952e-06,"VEGFA/MMP2/SERPINE1/PIK3CA/STAT1/BCL2/MAPK14",7
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","9/53","203/9564",0.0443349753694581,8.00037178176411,7.52540579833651,1.44596279942685e-06,1.88202349451951e-05,8.52963864475217e-06,"FLT1/PGF/VEGFA/EGFR/PIK3CA/KDR/BCL2/MET/SRC",9
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","8/53","150/9564",0.0533333333333333,9.62415094339623,7.94688271542813,1.48122219476073e-06,1.88202349451951e-05,8.52963864475217e-06,"MTOR/EGFR/PIK3CA/TERT/BCL2/ABCB1/RXRA/MET",8
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","6/53","71/9564",0.0845070422535211,15.2495349455222,8.9960124232371,2.35430534028818e-06,2.61386925176302e-05,1.18464834509727e-05,"ESR1/PIK3CA/STAT1/ESR2/SRC/MAPK14",6
