"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9009391","Extra-nuclear estrogen signaling","10/57","77/11230",0.12987012987013,25.5866940077466,15.4622509359091,4.18815014867484e-12,2.48776118831285e-09,1.75902306244343e-09,"MMP9/MMP2/EGFR/ESR1/PIK3CA/BCL2/ESR2/SRC/MMP7/HSP90AA1",10
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","9/57","106/11230",0.0849056603773585,16.7279046673287,11.6202743042257,2.60241735082466e-09,5.60425641228804e-07,3.96260554404205e-07,"MMP9/VEGFA/MMP1/MMP2/HIF1A/STAT1/BCL2/HSP90AA1/ALOX15",9
"R-HSA-194138","Signaling by VEGF","9/57","107/11230",0.0841121495327103,16.5715691096901,11.5594286107968,2.8304325314586e-09,5.60425641228804e-07,3.96260554404205e-07,"FLT1/PGF/VEGFA/MTOR/PIK3CA/KDR/SRC/MAPK14/HSP90AA1",9
"R-HSA-2219528","PI3K/AKT Signaling in Cancer","9/57","112/11230",0.0803571428571429,15.8317669172932,11.267086739167,4.25434390086926e-09,6.31770069279085e-07,4.46706109591273e-07,"FGFR1/MTOR/EGFR/ESR1/PIK3CA/ESR2/MET/PIK3CG/SRC",9
"R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer","8/57","86/11230",0.0930232558139535,18.3272133822929,11.5207424248914,1.03410727937422e-08,1.22851944789658e-06,8.68650114674349e-07,"FGFR1/EGFR/ESR1/PIK3CA/ESR2/MET/PIK3CG/SRC",8
"R-HSA-1592389","Activation of Matrix Metalloproteinases","6/57","33/11230",0.181818181818182,35.8213716108453,14.3078729192898,1.30021358467108e-08,1.28721144882437e-06,9.10149509269759e-07,"MMP9/MMP1/MMP2/MMP13/MMP14/MMP7",6
"R-HSA-1442490","Collagen degradation","7/57","64/11230",0.109375,21.5487938596491,11.7747197704712,2.94668192880329e-08,2.50047009387022e-06,1.76800915728197e-06,"MMP9/MMP1/MMP2/MMP13/MMP14/MMP7/MMP12",7
"R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","8/57","114/11230",0.0701754385964912,13.8257925515543,9.83072250281214,9.61631037631012e-08,7.14011045441026e-06,5.04856294756281e-06,"FGFR1/EGFR/ESR1/PIK3CA/ESR2/MET/PIK3CG/SRC",8
"R-HSA-8939211","ESR-mediated signaling","10/57","222/11230",0.045045045045045,8.87466413782203,8.46403374011255,1.42687103589983e-07,9.08711425205313e-06,6.42523229943151e-06,"MMP9/MMP2/EGFR/ESR1/PIK3CA/BCL2/ESR2/SRC/MMP7/HSP90AA1",10
"R-HSA-199418","Negative regulation of the PI3K/AKT network","8/57","121/11230",0.0661157024793388,13.0259533130347,9.49943520162068,1.52981721415036e-07,9.08711425205313e-06,6.42523229943151e-06,"FGFR1/EGFR/ESR1/PIK3CA/ESR2/MET/PIK3CG/SRC",8
"R-HSA-9006931","Signaling by Nuclear Receptors","11/57","296/11230",0.0371621621621622,7.32159791370318,7.87238380291199,2.22230860465208e-07,1.20004664651212e-05,8.48517830867157e-06,"MMP9/MMP2/EGFR/ESR1/PIK3CA/BCL2/ESR2/RXRA/SRC/MMP7/HSP90AA1",11
"R-HSA-4420097","VEGFA-VEGFR2 Pathway","7/57","98/11230",0.0714285714285714,14.0726817042607,9.28355245000619,5.7453145113602e-07,2.8439306831233e-05,2.01086007897607e-05,"VEGFA/MTOR/PIK3CA/KDR/SRC/MAPK14/HSP90AA1",7
"R-HSA-1257604","PIP3 activates AKT signaling","10/57","262/11230",0.0381679389312977,7.51975358242936,7.6267792406384,6.61702190297738e-07,3.02347000797582e-05,2.13780707634654e-05,"PPARG/FGFR1/MTOR/EGFR/ESR1/PIK3CA/ESR2/MET/PIK3CG/SRC",10
