"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0120254","olefinic compound metabolic process","12/59","169/18860",0.0710059171597633,22.6978236886972,15.8722363131753,1.40451854335269e-13,2.99443353442793e-10,1.94119247097061e-10,"EPHX1/CYP19A1/CYP17A1/ADH1B/ADH1C/SRD5A2/EPHX2/CACNA1H/AKR1C3/SRD5A1/ALOX5/AKR1B1",12
"GO:0042445","hormone metabolic process","13/59","246/18860",0.0528455284552846,16.8926553672316,14.0552646007054,5.47502164974358e-13,5.83637307862666e-10,3.78352811900701e-10,"ACE/NR3C1/CYP19A1/CYP17A1/ADH1B/ADH1C/SRD5A2/CACNA1H/AKR1C3/DPP4/SRD5A1/CTSL/AKR1B1",13
"GO:0120178","steroid hormone biosynthetic process","8/59","47/18860",0.170212765957447,54.4103858636855,20.5371643282544,1.60125234762631e-12,1.13795666837976e-09,7.37699765766084e-10,"NR3C1/CYP19A1/CYP17A1/SRD5A2/SERPINA6/CACNA1H/SRD5A1/AKR1B1",8
"GO:0042446","hormone biosynthetic process","7/59","65/18860",0.107692307692308,34.4250325945241,15.1217555808073,1.2272008429529e-09,6.54098049293897e-07,4.24030185999253e-07,"NR3C1/CYP19A1/CYP17A1/SRD5A2/CACNA1H/SRD5A1/AKR1B1",7
"GO:0006694","steroid biosynthetic process","9/59","177/18860",0.0508474576271186,16.2539500143637,11.4219566241981,3.867226850695e-09,1.64898552913635e-06,1.06898291683422e-06,"NR3C1/CYP19A1/CYP17A1/SRD5A2/SERPINA6/CACNA1H/AKR1C3/SRD5A1/AKR1B1",9
"GO:0048545","response to steroid hormone","11/59","343/18860",0.032069970845481,10.2515194939961,9.68656230799762,7.87735179681889e-09,2.79908567180298e-06,1.81455489635495e-06,"NR3C1/PGR/AR/SRD5A2/ABCB1/ESR2/NR3C2/AKR1C3/PARP1/SRD5A1/AREG",11
"GO:0071383","cellular response to steroid hormone stimulus","9/59","222/18860",0.0405405405405405,12.9592304168575,10.0409528642855,2.78190081022999e-08,8.47287503915762e-06,5.49268535914582e-06,"NR3C1/PGR/AR/ABCB1/ESR2/NR3C2/AKR1C3/PARP1/SRD5A1",9
"GO:0034308","primary alcohol metabolic process","7/59","105/18860",0.0666666666666667,21.3107344632768,11.6911331044301,3.6422689399863e-08,9.70664672506349e-06,6.29249883973949e-06,"CYP17A1/ADH1B/ADH1C/ALDH2/CACNA1H/AKR1C3/AKR1B1",7
"GO:0032355","response to estradiol","7/59","113/18860",0.0619469026548673,19.802009899505,11.2298116041748,6.06177586298566e-08,1.39435868437008e-05,9.03916733770075e-06,"CYP19A1/EGFR/STAT3/ABCB1/ESR2/SRD5A1/AREG",7
"GO:0120255","olefinic compound biosynthetic process","5/59","34/18860",0.147058823529412,47.0089730807577,15.0417315185193,6.54014392293657e-08,1.39435868437008e-05,9.03916733770075e-06,"CYP19A1/CYP17A1/SRD5A2/CACNA1H/AKR1C3",5
"GO:0008202","steroid metabolic process","10/59","345/18860",0.0289855072463768,9.26553672316384,8.6798777897458,1.04462221241544e-07,1.9164265397183e-05,1.24235610084434e-05,"NR3C1/CYP19A1/CYP17A1/SRD5A2/EPHX2/SERPINA6/CACNA1H/AKR1C3/SRD5A1/AKR1B1",10
"GO:0070141","response to UV-A","4/59","15/18860",0.266666666666667,85.2429378531073,18.2841983461038,1.14891884286934e-07,1.9164265397183e-05,1.24235610084434e-05,"MMP9/MMP1/EGFR/MMP3",4
"GO:0008207","C21-steroid hormone metabolic process","5/59","38/18860",0.131578947368421,42.0606601248885,14.1931797290912,1.16855276812091e-07,1.9164265397183e-05,1.24235610084434e-05,"CYP17A1/CACNA1H/AKR1C3/SRD5A1/AKR1B1",5
"GO:0006704","glucocorticoid biosynthetic process","4/59","18/18860",0.222222222222222,71.0357815442561,16.6528125531769,2.55762159980168e-07,3.89185279652911e-05,2.52295977181925e-05,"NR3C1/CYP17A1/SERPINA6/CACNA1H",4
"GO:0030879","mammary gland development","7/59","142/18860",0.0492957746478873,15.7579374552399,9.88860382018143,2.90859263783209e-07,3.89185279652911e-05,2.52295977181925e-05,"NR3C1/PGR/CYP19A1/AR/GLI2/ABCB1/AREG",7
"GO:0141193","nuclear receptor-mediated signaling pathway","8/59","211/18860",0.037914691943128,12.1198489838541,9.09928365757516,2.92071504429952e-07,3.89185279652911e-05,2.52295977181925e-05,"PPARG/NR3C1/PGR/AR/ESR2/NR3C2/AKR1C3/PARP1",8
"GO:0007548","sex differentiation","9/59","297/18860",0.0303030303030303,9.68669748330765,8.45286048619898,3.32564281249411e-07,4.1707473389632e-05,2.70375790266549e-05,"ACE/PGR/CYP19A1/AR/CYP17A1/SRD5A2/ABCB1/AKR1C3/SRD5A1",9
"GO:0001666","response to hypoxia","9/59","317/18860",0.028391167192429,9.07554937710528,8.12281515170128,5.74231751714018e-07,6.8014560814127e-05,4.40915959064623e-05,"PPARG/STAT3/NOS2/SCN2A/ABCB1/KCNA5/FABP1/DPP4/ROCK2",9
"GO:0009755","hormone-mediated signaling pathway","8/59","237/18860",0.0337552742616034,10.7902452978617,8.49645547898615,7.05350483334961e-07,7.16098681176256e-05,4.64223150184864e-05,"PPARG/NR3C1/PGR/AR/ESR2/NR3C2/AKR1C3/PARP1",8
"GO:0042180","ketone metabolic process","8/59","237/18860",0.0337552742616034,10.7902452978617,8.49645547898615,7.05350483334961e-07,7.16098681176256e-05,4.64223150184864e-05,"PPARG/CYP19A1/CYP17A1/SRD5A2/CACNA1H/AKR1C3/SRD5A1/AKR1B1",8
"GO:0072593","reactive oxygen species metabolic process","8/59","237/18860",0.0337552742616034,10.7902452978617,8.49645547898615,7.05350483334961e-07,7.16098681176256e-05,4.64223150184864e-05,"STAT3/NOS2/MMP3/MPO/AKR1C3/P2RX7/ALOX5/MAOB",8
"GO:0036293","response to decreased oxygen levels","9/59","330/18860",0.0272727272727273,8.71802773497689,7.92356192719622,8.02728971136081e-07,7.18151948581659e-05,4.65554215704413e-05,"PPARG/STAT3/NOS2/SCN2A/ABCB1/KCNA5/FABP1/DPP4/ROCK2",9
