"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034056","estrogen response element binding","5/60","11/18662",0.454545454545455,141.378787878788,26.4490471769605,1.31876993278313e-10,4.31237768020085e-08,2.59589449926785e-08,"NR3C1/PGR/AR/ESR2/NR3C2",5
"GO:0004879","nuclear receptor activity","7/60","59/18662",0.11864406779661,36.9022598870057,15.6862654743337,7.40892624409594e-10,9.11959935038141e-08,5.48966708038411e-08,"PPARG/NR3C1/PGR/AR/STAT3/ESR2/NR3C2",7
"GO:0098531","ligand-modulated transcription factor activity","7/60","60/18662",0.116666666666667,36.2872222222222,15.5480718614475,8.3666049086068e-10,9.11959935038141e-08,5.48966708038411e-08,"PPARG/NR3C1/PGR/AR/STAT3/ESR2/NR3C2",7
"GO:0005496","steroid binding","8/60","111/18662",0.0720720720720721,22.4168168168168,12.8527485273477,2.40102946135684e-09,1.96284158465922e-07,1.18155923493087e-07,"NR3C1/EPHX1/PGR/AR/SHBG/SERPINA6/ESR2/NR3C2",8
"GO:0003707","nuclear steroid receptor activity","5/60","27/18662",0.185185185185185,57.5987654320988,16.7142696117028,2.2155233215719e-08,1.44895225230802e-06,8.72216549755675e-07,"NR3C1/PGR/AR/ESR2/NR3C2",5
"GO:0042562","hormone binding","5/60","95/18662",0.0526315789473684,16.3701754385965,8.52968553376091,1.34551909257115e-05,0.000733307905451276,0.000441424684755798,"NR3C1/EGFR/AR/SHBG/MTNR1A",5
"GO:0018455","alcohol dehydrogenase [NAD(P)+] activity","4/60","52/18662",0.0769230769230769,23.925641025641,9.40184819614646,2.32859584962341e-05,0.00108778691832408,0.000654808156209892,"ADH1B/ADH1C/AKR1C3/AKR1B1",4
"GO:0004745","all-trans-retinol dehydrogenase (NAD+) activity","3/60","20/18662",0.15,46.655,11.601665901639,3.46426924580365e-05,0.00133942773903575,0.000806286776757394,"ADH1B/ADH1C/AKR1C3",3
"GO:0009055","electron transfer activity","5/60","117/18662",0.0427350427350427,13.2920227920228,7.5747120948765,3.68649836431857e-05,0.00133942773903575,0.000806286776757394,"CYP19A1/ALDH2/SRD5A1/MAOB/AKR1B1",5
"GO:0017171","serine hydrolase activity","6/60","202/18662",0.0297029702970297,9.23861386138614,6.68616740760782,4.59602740565563e-05,0.00134445802744484,0.000809314827401207,"ACE/MMP9/MMP1/MMP3/ACHE/DPP4",6
"GO:0004029","aldehyde dehydrogenase (NAD+) activity","3/60","22/18662",0.136363636363636,42.4136363636364,11.0381175264076,4.65842451605994e-05,0.00134445802744484,0.000809314827401207,"ALDH2/AKR1C3/AKR1B1",3
"GO:0004022","alcohol dehydrogenase (NAD+) activity","3/60","23/18662",0.130434782608696,40.5695652173913,10.7839323258616,5.34494017027e-05,0.00134445802744484,0.000809314827401207,"ADH1B/ADH1C/AKR1C3",3
"GO:0004030","aldehyde dehydrogenase [NAD(P)+] activity","3/60","23/18662",0.130434782608696,40.5695652173913,10.7839323258616,5.34494017027e-05,0.00134445802744484,0.000809314827401207,"ALDH2/AKR1C3/AKR1B1",3
"GO:0097110","scaffold protein binding","4/60","72/18662",0.0555555555555556,17.2796296296296,7.8602133663578,8.43491942553138e-05,0.00197015618010626,0.00118596235531907,"KCNH2/KCNA5/CACNA1H/HSP90AA1",4
"GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","3/60","30/18662",0.1,31.1033333333333,9.37149199958446,0.000120585497185516,0.00262876383864426,0.00158242020868011,"ALDH2/AKR1C3/AKR1B1",3
"GO:0016628","oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor","3/60","34/18662",0.0882352941176471,27.4441176470588,8.76493472496442,0.000176111892230885,0.00359928679746871,0.00216663972678786,"SRD5A2/AKR1C3/SRD5A1",3
