"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","7/51","106/9370",0.0660377358490566,12.1328153903071,8.52718565389725,1.49383973415996e-06,0.000297274107097832,0.00024215928322172,"MMP9/EGFR/AR/MMP3/SRD5A2/GRM5/HSP90AA1",7
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","8/51","217/9370",0.0368663594470046,6.77328996114575,6.3652953202407,1.96513415738674e-05,0.00180382279579528,0.00146939280905831,"EPHX1/PGR/EGFR/AR/STAT3/EPHX2/ESR2/HSP90AA1",8
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","5/51","66/9370",0.0757575757575758,13.9185977421272,7.79111373060167,2.71933084793258e-05,0.00180382279579528,0.00146939280905831,"CYP19A1/CYP17A1/SRD5A2/AKR1C3/SRD5A1",5
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","7/51","216/9370",0.0324074074074074,5.95406681190995,5.44916969274592,0.000153451369371657,0.00691855537369643,0.00563585044987702,"MMP9/MMP1/PPARG/STAT3/MMP3/ROCK2/HSP90AA1",7
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","4/51","52/9370",0.0769230769230769,14.132730015083,7.02493623415517,0.000173833049590363,0.00691855537369643,0.00563585044987702,"CYP19A1/CYP17A1/AKR1C3/ALOX5",4
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","7/51","254/9370",0.0275590551181102,5.06330091091555,4.85669395518567,0.000413745914188757,0.0137225728205938,0.0111783983833454,"EGFR/NOS2/CACNA1H/P2RX7/GRM5/CHRM2/HRH1",7
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","5/51","139/9370",0.0359712230215827,6.60883058259275,4.92835970926984,0.000907739636082612,0.0235263969815463,0.0191645868032697,"MMP9/PGR/EGFR/ESR2/HSP90AA1",5
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","3/51","37/9370",0.0810810810810811,14.8966613672496,6.26538489280143,0.00103605563643177,0.0235263969815463,0.0191645868032697,"ADH1B/ADH1C/MAOB",3
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","5/51","144/9370",0.0347222222222222,6.37935729847495,4.81229191367243,0.00106400790368802,0.0235263969815463,0.0191645868032697,"ADH1B/ADH1C/ALDH2/FABP1/C5AR1",5
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","3/51","41/9370",0.0731707317073171,13.4433285509326,5.90687800939617,0.0013998198368718,0.0267102304162214,0.0217581353297968,"MMP9/MMP1/EGFR",3
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","3/51","43/9370",0.0697674418604651,12.8180574555404,5.7458778354794,0.00160821302703642,0.0267102304162214,0.0217581353297968,"ADH1B/ADH1C/ALDH2",3
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","4/51","94/9370",0.0425531914893617,7.81810596579057,4.91466992190449,0.00165536640045088,0.0267102304162214,0.0217581353297968,"MMP9/MMP1/MMP3/HSP90AA1",4
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","6/51","238/9370",0.0252100840336134,4.63173504695996,4.19823491200099,0.00174488942417527,0.0267102304162214,0.0217581353297968,"ACE/MMP1/EGFR/STAT3/MMP3/C5AR1",6
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","3/51","47/9370",0.0638297872340425,11.7271589486859,5.45384579502494,0.00208099221709204,0.0295798179429511,0.0240956993558026,"ADH1B/ADH1C/ALDH2",3
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","3/51","50/9370",0.06,11.0235294117647,5.25708218763878,0.00248675527444607,0.0329909533076512,0.0268744078782242,"NOS2/ALDH2/MAOB",3
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","4/51","112/9370",0.0357142857142857,6.56162464985994,4.38025253924689,0.00313795013368094,0.0390282547876567,0.0317923895122937,"STAT3/NOS2/CCR5/ALOX5",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","7/51","370/9370",0.0189189189189189,3.47588765235824,3.59465812841805,0.00365589422970806,0.042795467747759,0.0348611585990737,"NR3C1/P2RX7/GRM5/C5AR1/MTNR1A/CHRM2/HRH1",7
