"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-196071","Metabolism of steroid hormones","6/56","36/11230",0.166666666666667,33.422619047619,13.7932597113073,2.02673129086544e-08,1.03565968963224e-05,8.68294353033929e-06,"CYP19A1/CYP17A1/SRD5A2/SERPINA6/SRD5A1/AKR1B1",6
"R-HSA-383280","Nuclear Receptor transcription pathway","6/56","53/11230",0.113207547169811,22.7021563342318,11.2108468016859,2.23839454443455e-07,5.67119827834857e-05,4.75471768315557e-05,"PPARG/NR3C1/PGR/AR/ESR2/NR3C2",6
"R-HSA-4090294","SUMOylation of intracellular receptors","5/56","30/11230",0.166666666666667,33.422619047619,12.5880926431372,3.32947061351188e-07,5.67119827834857e-05,4.75471768315557e-05,"PPARG/NR3C1/PGR/AR/NR3C2",5
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","7/56","106/11230",0.0660377358490566,13.2429245283019,8.96536211766274,8.67107825359361e-07,0.000110773024689658,9.28718118213842e-05,"MMP9/MMP1/STAT3/NOS2/MMP3/ALOX5/HSP90AA1",7
"R-HSA-9009391","Extra-nuclear estrogen signaling","6/56","77/11230",0.0779220779220779,15.626159554731,9.11674986248733,2.1089556438086e-06,0.000215535266797239,0.000180704199374758,"MMP9/EGFR/MMP3/ESR2/HSP90AA1/AREG",6
"R-HSA-3371497","HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand","5/56","57/11230",0.087719298245614,17.5908521303258,8.889584079876,8.83147990588787e-06,0.000752147705318117,0.000630598652929186,"NR3C1/PGR/AR/NR3C2/HSP90AA1",5
"R-HSA-8957322","Metabolism of steroids","7/56","154/11230",0.0454545454545455,9.11525974025974,7.1784640932337,1.05056256402999e-05,0.000766910671741896,0.000642975885052944,"CYP19A1/CYP17A1/SRD5A2/SERPINA6/AKR1C3/SRD5A1/AKR1B1",7
"R-HSA-211945","Phase I - Functionalization of compounds","6/56","106/11230",0.0566037735849057,11.3510781671159,7.57998334972163,1.35813077610999e-05,0.000787814544613385,0.000660501636950556,"EPHX1/CYP19A1/ADH1B/ADH1C/ALDH2/MAOB",6
"R-HSA-9006931","Signaling by Nuclear Receptors","9/56","296/11230",0.0304054054054054,6.09736969111969,6.29162274758744,1.38754029383962e-05,0.000787814544613385,0.000660501636950556,"MMP9/PGR/EGFR/MMP3/ADH1C/ESR2/AKR1C3/HSP90AA1/AREG",9
"R-HSA-193048","Androgen biosynthesis","3/56","11/11230",0.272727272727273,54.6915584415584,12.6120446435928,1.88403655823339e-05,0.000962742681257263,0.000807160925474727,"CYP17A1/SRD5A2/SRD5A1",3
"R-HSA-71384","Ethanol oxidation","3/56","12/11230",0.25,50.1339285714286,12.0552054507239,2.50316651012566e-05,0.00116283462424928,0.000974917482891046,"ADH1B/ADH1C/ALDH2",3
"R-HSA-8939211","ESR-mediated signaling","7/56","222/11230",0.0315315315315315,6.3231981981982,5.67094106876595,0.000109276920187244,0.00465337551797349,0.00390137776457969,"MMP9/PGR/EGFR/MMP3/ESR2/HSP90AA1/AREG",7
"R-HSA-1643713","Signaling by EGFR in Cancer","3/56","25/11230",0.12,24.0642857142857,8.17267641752327,0.00024993116314513,0.00961155470802423,0.00805830212414432,"EGFR/HSP90AA1/AREG",3
"R-HSA-3108232","SUMO E3 ligases SUMOylate target proteins","6/56","182/11230",0.032967032967033,6.61106750392465,5.40255971187364,0.000276557649628441,0.00961155470802423,0.00805830212414432,"PPARG/NR3C1/PGR/AR/NR3C2/PARP1",6
"R-HSA-1442490","Collagen degradation","4/56","64/11230",0.0625,12.5334821428571,6.55030984600018,0.000282139570685643,0.00961155470802423,0.00805830212414432,"MMP9/MMP1/MMP3/CTSL",4
"R-HSA-2990846","SUMOylation","6/56","188/11230",0.0319148936170213,6.40007598784194,5.28585377936353,0.000329243948386446,0.0105152286015921,0.00881593993376865,"PPARG/NR3C1/PGR/AR/NR3C2/PARP1",6
"R-HSA-449147","Signaling by Interleukins","9/56","454/11230",0.0198237885462555,3.97537759597231,4.58143410547497,0.000371631499086774,0.0111708056490201,0.00936557400175337,"MMP9/MMP1/STAT3/NOS2/MMP3/CCR5/PSMB5/ALOX5/HSP90AA1",9
"R-HSA-9734779","Developmental Cell Lineages of the Integumentary System","4/56","71/11230",0.0563380281690141,11.2977867203219,6.16198517745459,0.00042044707876175,0.0119360254026252,0.010007132225499,"PGR/EGFR/ABCG2/AREG",4
"R-HSA-397014","Muscle contraction","6/56","205/11230",0.0292682926829268,5.86933797909408,4.98101411236086,0.000522192132262236,0.0140442199782107,0.0117746369989324,"SCN2A/KCNH2/ALDH2/KCNA5/CACNA1H/SCN10A",6
"R-HSA-1592389","Activation of Matrix Metalloproteinases","3/56","33/11230",0.0909090909090909,18.2305194805195,7.01721402759938,0.000576364309499051,0.0147261081077007,0.0123463302087428,"MMP9/MMP1/MMP3",3
