"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016763","pentosyltransferase activity","2/7","49/18662",0.0408163265306122,108.816326530612,14.6383872423979,0.000140642124738329,0.00461110199735873,0.00156014729233942,"TYMP/PARP1",2
"GO:0051287","NAD binding","2/7","53/18662",0.0377358490566038,100.603773584906,14.066014443087,0.000164682214191383,0.00461110199735873,0.00156014729233942,"PARP1/SORD",2
"GO:0016757","glycosyltransferase activity","2/7","267/18662",0.00749063670411985,19.9700374531835,6.04773527456883,0.00408423209440565,0.0314370450061744,0.0106365941750214,"TYMP/PARP1",2
"GO:0140537","transcription regulator activator activity","1/7","11/18662",0.0909090909090909,242.363636363636,15.5108633429883,0.00411940370199737,0.0314370450061744,0.0106365941750214,"PARP1",1
"GO:0016725","oxidoreductase activity, acting on CH or CH2 groups","1/7","12/18662",0.0833333333333333,222.166666666667,14.8453255946982,0.00449317262452609,0.0314370450061744,0.0106365941750214,"XDH",1
"GO:0140807","NAD+-protein-glutamate ADP-ribosyltransferase activity","1/7","12/18662",0.0833333333333333,222.166666666667,14.8453255946982,0.00449317262452609,0.0314370450061744,0.0106365941750214,"PARP1",1
"GO:0005542","folic acid binding","1/7","13/18662",0.0769230769230769,205.076923076923,14.2579356111967,0.00486682129968041,0.0314370450061744,0.0106365941750214,"TYMS",1
"GO:0140806","NAD+-protein-aspartate ADP-ribosyltransferase activity","1/7","13/18662",0.0769230769230769,205.076923076923,14.2579356111967,0.00486682129968041,0.0314370450061744,0.0106365941750214,"PARP1",1
"GO:0004089","carbonate dehydratase activity","1/7","15/18662",0.0666666666666667,177.733333333333,13.2641206193812,0.00561375803681685,0.0314370450061744,0.0106365941750214,"CA9",1
"GO:0016530","metallochaperone activity","1/7","15/18662",0.0666666666666667,177.733333333333,13.2641206193812,0.00561375803681685,0.0314370450061744,0.0106365941750214,"SCO2",1
"GO:0000900","mRNA regulatory element binding translation repressor activity","1/7","18/18662",0.0555555555555556,148.111111111111,12.0957006687344,0.00673326209297909,0.0342784252006208,0.0115979634137439,"TYMS",1
"GO:0003950","NAD+ poly-ADP-ribosyltransferase activity","1/7","23/18662",0.0434782608695652,115.913043478261,10.6817101886987,0.00859670153492043,0.0343868061396817,0.0116346336562833,"PARP1",1
"GO:0004022","alcohol dehydrogenase (NAD+) activity","1/7","23/18662",0.0434782608695652,115.913043478261,10.6817101886987,0.00859670153492043,0.0343868061396817,0.0116346336562833,"SORD",1
"GO:1990404","NAD+-protein mono-ADP-ribosyltransferase activity","1/7","23/18662",0.0434782608695652,115.913043478261,10.6817101886987,0.00859670153492043,0.0343868061396817,0.0116346336562833,"PARP1",1
"GO:0070412","R-SMAD binding","1/7","27/18662",0.037037037037037,98.7407407407407,9.84490793904936,0.0100852948191263,0.0366000027699164,0.0123834595838063,"PARP1",1
"GO:0051537","2 iron, 2 sulfur cluster binding","1/7","28/18662",0.0357142857142857,95.2142857142857,9.66410366105358,0.0104571436485476,0.0366000027699164,0.0123834595838063,"XDH",1
"GO:0030371","translation repressor activity","1/7","32/18662",0.03125,83.3125,9.0272028954457,0.011943341963793,0.0393427735277887,0.0133114647274473,"TYMS",1
"GO:0015035","protein-disulfide reductase activity","1/7","35/18662",0.0285714285714286,76.1714285714286,8.6225201587128,0.0130567347468939,0.0406209525458923,0.01374393131252,"SCO2",1
"GO:0030331","nuclear estrogen receptor binding","1/7","39/18662",0.0256410256410256,68.3589743589744,8.1568372556334,0.0145395855007758,0.0407474519292824,0.0137867318557722,"PARP1",1
"GO:0015036","disulfide oxidoreductase activity","1/7","41/18662",0.024390243902439,65.0243902439024,7.94977302225928,0.0152802944734809,0.0407474519292824,0.0137867318557722,"SCO2",1
"GO:0071949","FAD binding","1/7","41/18662",0.024390243902439,65.0243902439024,7.94977302225928,0.0152802944734809,0.0407474519292824,0.0137867318557722,"XDH",1
"GO:0018455","alcohol dehydrogenase [NAD(P)+] activity","1/7","52/18662",0.0192307692307692,51.2692307692308,7.0315258001249,0.019345669653531,0.0492435227544426,0.0166613422853377,"SORD",1
"GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","1/7","55/18662",0.0181818181818182,48.4727272727273,6.82977187821124,0.0204519083210554,0.0496008649514885,0.0167822475399773,"SCO2",1
"GO:0045182","translation regulator activity","1/7","60/18662",0.0166666666666667,44.4333333333333,6.52736375975611,0.0222932625133192,0.0496008649514885,0.0167822475399773,"TYMS",1
"GO:0005507","copper ion binding","1/7","62/18662",0.0161290322580645,43,6.41663761435233,0.0230289730131911,0.0496008649514885,0.0167822475399773,"SCO2",1
"GO:0016836","hydro-lyase activity","1/7","62/18662",0.0161290322580645,43,6.41663761435233,0.0230289730131911,0.0496008649514885,0.0167822475399773,"CA9",1
