"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","8/52","63/9370",0.126984126984127,22.8815628815629,13.0175931511713,1.57526311257341e-09,3.26079464302696e-07,2.35460381037289e-07,"PTGS2/PTGS1/PTGES/PLA2G4A/EPHX2/AKR1C3/ALOX5/PLA2G2A",8
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","8/52","157/9370",0.0509554140127389,9.18177364037237,7.72295828180342,2.09246160362057e-06,0.000216569775974729,0.000156383972481116,"PPARG/PTGS2/SLC2A1/MAPK1/PTGER2/PTGER4/PPARD/ALOX5",8
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","8/52","227/9370",0.0352422907488987,6.35038969840732,6.09594334666681,3.14796034928191e-05,0.00199418224362391,0.00143998921227864,"CXCL8/PTGS2/MAPK1/EGFR/PTGER2/PTGER4/PTGER1/RHOA",8
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","6/52","115/9370",0.0521739130434783,9.40133779264214,6.77167480067285,3.85349225821045e-05,0.00199418224362391,0.00143998921227864,"PTGS2/SLC6A4/MAPK1/PTGS1/PLA2G4A/ALOX5",6
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","5/52","76/9370",0.0657894736842105,11.8547570850202,7.09761616536856,5.93256036548879e-05,0.00245607999131236,0.00177352330926191,"PPARG/PPARA/PPARD/FABP1/FABP5",5
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","4/52","41/9370",0.0975609756097561,17.5797373358349,7.94765425848993,7.33879424402359e-05,0.00253188401418814,0.00182826102219535,"CXCL8/MMP9/MAPK1/EGFR",4
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","5/52","94/9370",0.0531914893617021,9.58469721767594,6.24878348867068,0.000163489513787556,0.00448559390620754,0.00323902534798612,"CXCL8/MMP9/PTGS2/MAPK1/MMP13",5
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","4/52","52/9370",0.0769230769230769,13.8609467455621,6.94704635731414,0.000187550220691969,0.00448559390620754,0.00323902534798612,"PTGS2/PLA2G4A/AKR1C3/ALOX5",4
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","6/52","154/9370",0.038961038961039,7.02047952047952,5.62739174331192,0.000195025822009023,0.00448559390620754,0.00323902534798612,"PTGS2/MAPK1/EGFR/PLA2G4A/RHOA/CD38",6
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","5/52","110/9370",0.0454545454545455,8.19055944055944,5.66683370328895,0.000340971463505444,0.0070581092945627,0.00509662608608138,"SLC2A1/MAPK1/EGFR/NOS2/MKNK1",5
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","5/52","115/9370",0.0434782608695652,7.83444816053512,5.5087251015824,0.000418738041397414,0.00787988859720588,0.0056900288878883,"MAPK1/EGFR/MMP13/MMP14/RHOA",5
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","5/52","119/9370",0.0420168067226891,7.57110536522301,5.38895440907983,0.000490049871941846,0.00845336029099684,0.00610412998383703,"MMP9/PTGS2/MAPK1/MMP14/MAP3K8",5
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","5/52","130/9370",0.0384615384615385,6.93047337278107,5.08641731623578,0.000733591905959383,0.0116810403487379,0.00843482191467469,"MMP9/MAPK1/EGFR/NOS2/MMP13",5
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","4/52","78/9370",0.0512820512820513,9.24063116370809,5.45933965973816,0.000888584801351585,0.0124072914402737,0.0089592442640166,"CXCL8/MAPK1/NOS2/RHOA",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","8/52","370/9370",0.0216216216216216,3.8960498960499,4.24592761111877,0.000899079089874905,0.0124072914402737,0.0089592442640166,"PTGER2/MC4R/PTGER4/PTGER1/PTGDR/CNR1/CNR2/CTSG",8
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","6/52","216/9370",0.0277777777777778,5.00534188034188,4.44885192972332,0.00117638664435782,0.0147515069601068,0.0106519907873642,"CXCL8/MMP9/PPARG/MAPK1/HSPA1A/RHOA",6
