"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-391903","Eicosanoid ligand-binding receptors","5/58","15/11230",0.333333333333333,64.5402298850575,17.7424604782139,8.89552824806572e-09,4.20758486133508e-06,3.4177555900463e-06,"PTGER2/PTGER4/PTGER1/PTGDR/PTGDR2",5
"R-HSA-2142753","Arachidonate metabolism","7/58","59/11230",0.11864406779661,22.9719462302747,12.1917930368805,1.86902945882054e-08,4.42025467011057e-06,3.59050396036577e-06,"PTGS2/PTGS1/PTGES/PLA2G4A/EPHX2/AKR1C3/ALOX5",7
"R-HSA-2162123","Synthesis of Prostaglandins (PG) and Thromboxanes (TX)","4/58","15/11230",0.266666666666667,51.632183908046,14.1381219982873,8.38084929035475e-07,0.000132138057144593,0.000107333683894017,"PTGS2/PTGS1/PTGES/AKR1C3",4
"R-HSA-8978868","Fatty acid metabolism","8/58","175/11230",0.0457142857142857,8.8512315270936,7.54217334301068,2.92373850313954e-06,0.00034573207799625,0.000280832777275245,"PTGS2/PTGS1/PTGES/PLA2G4A/EPHX2/PPARD/AKR1C3/ALOX5",8
"R-HSA-1474228","Degradation of the extracellular matrix","7/58","138/11230",0.0507246376811594,9.82133933033483,7.5125645279846,6.47723954235474e-06,0.000576991505676692,0.00046868120523421,"MMP9/BMP1/MMP13/MMP14/MMP12/ADAMTS5/CTSG",7
"R-HSA-383280","Nuclear Receptor transcription pathway","5/58","53/11230",0.0943396226415094,18.2661027976578,9.07796921776803,7.31913115023288e-06,0.000576991505676692,0.00046868120523421,"PPARG/AR/HNF4A/PPARA/PPARD",5
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","6/58","106/11230",0.0566037735849057,10.9596616785947,7.42311353029109,1.66741067481143e-05,0.00112669321312258,0.000915195332791235,"CXCL8/MMP9/PTGS2/NOS2/ALOX5/PIM1",6
"R-HSA-1592389","Activation of Matrix Metalloproteinases","4/58","33/11230",0.121212121212121,23.4691745036573,9.31348720280903,2.34424259913702e-05,0.00138603343673976,0.00112585335353291,"MMP9/MMP13/MMP14/CTSG",4
"R-HSA-193775","Synthesis of bile acids and bile salts via 24-hydroxycholesterol","3/58","13/11230",0.230769230769231,44.6816976127321,11.3540786565648,3.60462565906601e-05,0.00189443104082025,0.0015388168018235,"AKR1C3/AKR1C2/AKR1C1",3
"R-HSA-193807","Synthesis of bile acids and bile salts via 27-hydroxycholesterol","3/58","14/11230",0.214285714285714,41.4901477832512,10.922283717655,4.57087899093423e-05,0.00216202576271189,0.00175617982283262,"AKR1C3/AKR1C2/AKR1C1",3
"R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","9/58","337/11230",0.0267062314540059,5.17087895221529,5.60128742516356,5.16116000265586e-05,0.00221929880114202,0.00180270181910946,"CXCL8/PTGER2/MC4R/PTGER4/PTGER1/PTGDR/CNR1/CNR2/PTGDR2",9
"R-HSA-975634","Retinoid metabolism and transport","4/58","44/11230",0.0909090909090909,17.6018808777429,7.9499664944861,7.45499024379606e-05,0.00293850865442961,0.00238690477103997,"TTR/RBP4/AKR1C3/AKR1C1",4
"R-HSA-9018677","Biosynthesis of DHA-derived SPMs","3/58","17/11230",0.176470588235294,34.1683569979716,9.86067359087149,8.44542619391141e-05,0.00307283583824623,0.00249601664840297,"PTGS2/EPHX2/ALOX5",3
"R-HSA-6806667","Metabolism of fat-soluble vitamins","4/58","48/11230",0.0833333333333333,16.1350574712644,7.57118787878073,0.000105227569703165,0.00355518860497123,0.00288782428132747,"TTR/RBP4/AKR1C3/AKR1C1",4
"R-HSA-9018678","Biosynthesis of specialized proresolving mediators (SPMs)","3/58","19/11230",0.157894736842105,30.5716878402904,9.2950089332209,0.000119466848571285,0.00376718795828119,0.00306002805112414,"PTGS2/EPHX2/ALOX5",3
"R-HSA-9006931","Signaling by Nuclear Receptors","8/58","296/11230",0.027027027027027,5.23299161230196,5.31768738883277,0.000129211718129999,0.00381982141721809,0.00310278138930589,"MMP9/MAPK1/EGFR/PPARD/AKR1C3/FABP5/POLR2D/AREG",8
"R-HSA-1474244","Extracellular matrix organization","8/58","318/11230",0.0251572327044025,4.87096074604207,5.04544205516572,0.000211393340859749,0.00535642609517711,0.00435094141479836,"MMP9/TTR/BMP1/MMP13/MMP14/MMP12/ADAMTS5/CTSG",8
"R-HSA-193368","Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol","3/58","23/11230",0.130434782608696,25.2548725637181,8.38952366412962,0.000215162993252357,0.00535642609517711,0.00435094141479836,"AKR1C3/AKR1C2/AKR1C1",3
"R-HSA-9637690","Response of Mtb to phagocytosis","3/58","23/11230",0.130434782608696,25.2548725637181,8.38952366412962,0.000215162993252357,0.00535642609517711,0.00435094141479836,"MAPK1/NOS2/CTSG",3
"R-HSA-9634638","Estrogen-dependent nuclear events downstream of ESR-membrane signaling","3/58","24/11230",0.125,24.2025862068966,8.19852604934174,0.00024500028540187,0.00579425674975422,0.00470658443008855,"MAPK1/EGFR/AREG",3
"R-HSA-1442490","Collagen degradation","4/58","64/11230",0.0625,12.1012931034483,6.4170262927012,0.000323144676664206,0.0072784491458176,0.00591217077606192,"MMP9/MMP13/MMP14/MMP12",4
"R-HSA-9635486","Infection with Mycobacterium tuberculosis","3/58","27/11230",0.111111111111111,21.5134099616858,7.68903163612733,0.000350190922553926,0.00752910483490942,0.00611577448479345,"MAPK1/NOS2/CTSG",3
"R-HSA-4090294","SUMOylation of intracellular receptors","3/58","30/11230",0.1,19.3620689655172,7.25591697007214,0.00048076250554026,0.00958502997991206,0.00778577042988294,"PPARG/AR/PPARA",3
"R-HSA-449147","Signaling by Interleukins","9/58","454/11230",0.0198237885462555,3.8382956099043,4.44811323735861,0.000486344015894058,0.00958502997991206,0.00778577042988294,"CXCL8/MMP9/PTGS2/MAPK1/NOS2/ALOX5/MAP3K8/CTSG/PIM1",9
"R-HSA-196854","Metabolism of vitamins and cofactors","6/58","198/11230",0.0303030303030303,5.86729362591432,4.97865564917662,0.000525809884676093,0.00994832301807168,0.00808086770133785,"TTR/SLC2A1/RBP4/AKR1C3/AKR1C1/CD38",6
"R-HSA-500792","GPCR ligand binding","9/58","470/11230",0.0191489361702128,3.70763022743947,4.32067123230575,0.00062478719276595,0.0110616736832543,0.00898522509043692,"CXCL8/PTGER2/MC4R/PTGER4/PTGER1/PTGDR/CNR1/CNR2/PTGDR2",9
"R-HSA-192105","Synthesis of bile acids and bile salts","3/58","33/11230",0.0909090909090909,17.6018808777429,6.88149024220945,0.000639009159006164,0.0110616736832543,0.00898522509043692,"AKR1C3/AKR1C2/AKR1C1",3
"R-HSA-9009391","Extra-nuclear estrogen signaling","4/58","77/11230",0.051948051948052,10.0582176444245,5.7466048765518,0.000654813664124992,0.0110616736832543,0.00898522509043692,"MMP9/MAPK1/EGFR/AREG",4
"R-HSA-112311","Neurotransmitter clearance","2/58","10/11230",0.2,38.7241379310345,8.59888161453231,0.00114878092413409,0.0176959150392366,0.0143741159214896,"SLC6A4/SLC6A3",2
"R-HSA-9757110","Prednisone ADME","2/58","10/11230",0.2,38.7241379310345,8.59888161453231,0.00114878092413409,0.0176959150392366,0.0143741159214896,"ABCB1/AKR1C1",2
"R-HSA-8957322","Metabolism of steroids","5/58","154/11230",0.0324675324675325,6.28638602776534,4.75934113162297,0.0011597745585969,0.0176959150392366,0.0143741159214896,"PPARA/AKR1C3/AKR1C2/AKR1B1/AKR1C1",5
"R-HSA-5362517","Signaling by Retinoic Acid","3/58","41/11230",0.0731707317073171,14.1673675357443,6.08575302530605,0.00121248939249767,0.0179221088328562,0.01455784961387,"PPARD/AKR1C3/FABP5",3
"R-HSA-194068","Bile acid and bile salt metabolism","3/58","44/11230",0.0681818181818182,13.2014106583072,5.84276002420006,0.00148997095135856,0.0213562503028061,0.0173473491944458,"AKR1C3/AKR1C2/AKR1C1",3
"R-HSA-2187338","Visual phototransduction","4/58","102/11230",0.0392156862745098,7.59296822177147,4.81938458279055,0.00186875764499979,0.0259977166495558,0.021117539951236,"TTR/RBP4/AKR1C3/AKR1C1",4
"R-HSA-179812","GRB2 events in EGFR signaling","2/58","13/11230",0.153846153846154,29.7877984084881,7.48274323899061,0.00197148618937027,0.0266432276449182,0.0216418784697789,"EGFR/AREG",2
"R-HSA-180336","SHC1 events in EGFR signaling","2/58","14/11230",0.142857142857143,27.6600985221675,7.19160526552085,0.00229244908928042,0.0278032928007599,0.0225841813113995,"EGFR/AREG",2
"R-HSA-2453864","Retinoid cycle disease events","2/58","14/11230",0.142857142857143,27.6600985221675,7.19160526552085,0.00229244908928042,0.0278032928007599,0.0225841813113995,"TTR/RBP4",2
"R-HSA-2474795","Diseases associated with visual transduction","2/58","14/11230",0.142857142857143,27.6600985221675,7.19160526552085,0.00229244908928042,0.0278032928007599,0.0225841813113995,"TTR/RBP4",2
"R-HSA-9675143","Diseases of the neuronal system","2/58","14/11230",0.142857142857143,27.6600985221675,7.19160526552085,0.00229244908928042,0.0278032928007599,0.0225841813113995,"TTR/RBP4",2
"R-HSA-6785631","ERBB2 Regulates Cell Motility","2/58","15/11230",0.133333333333333,25.816091954023,6.92944503843414,0.00263637564668442,0.0307081653890692,0.0249437640302888,"EGFR/RHOA",2
"R-HSA-6798695","Neutrophil degranulation","8/58","469/11230",0.0170575692963753,3.30269833100507,3.67042391596031,0.00266180714788972,0.0307081653890692,0.0249437640302888,"MMP9/TTR/MAPK1/HSPA1A/RHOA/FABP5/ALOX5/CTSG",8
"R-HSA-1295596","Spry regulation of FGF signaling","2/58","16/11230",0.125,24.2025862068966,6.691680307877,0.00300302838734469,0.0338198196955723,0.0274713123153085,"MAPK1/MKNK1",2
"R-HSA-1482922","Acyl chain remodelling of PI","2/58","17/11230",0.117647058823529,22.7789046653144,6.47468519723503,0.00339217160406543,0.0356554926382877,0.0289624008300323,"PLA2G4A/PLA2G2A",2
"R-HSA-180292","GAB1 signalosome","2/58","17/11230",0.117647058823529,22.7789046653144,6.47468519723503,0.00339217160406543,0.0356554926382877,0.0289624008300323,"EGFR/AREG",2
"R-HSA-2022377","Metabolism of Angiotensinogen to Angiotensins","2/58","17/11230",0.117647058823529,22.7789046653144,6.47468519723503,0.00339217160406543,0.0356554926382877,0.0289624008300323,"CTSG/CPB2",2
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","3/58","60/11230",0.05,9.68103448275862,4.85779959287508,0.00363150171529225,0.035981784926369,0.0292274429690101,"MMP9/BMP1/MMP13",3
"R-HSA-1482925","Acyl chain remodelling of PG","2/58","18/11230",0.111111111111111,21.5134099616858,6.27554779735161,0.00380357134528213,0.035981784926369,0.0292274429690101,"PLA2G4A/PLA2G2A",2
"R-HSA-881907","Gastrin-CREB signalling pathway via PKC and MAPK","2/58","18/11230",0.111111111111111,21.5134099616858,6.27554779735161,0.00380357134528213,0.035981784926369,0.0292274429690101,"MAPK1/EGFR",2
"R-HSA-9841251","Mitochondrial unfolded protein response (UPRmt)","2/58","18/11230",0.111111111111111,21.5134099616858,6.27554779735161,0.00380357134528213,0.035981784926369,0.0292274429690101,"HSPA1A/LONP1",2
"R-HSA-9927432","Developmental Lineage of Mammary Gland Myoepithelial Cells","2/58","18/11230",0.111111111111111,21.5134099616858,6.27554779735161,0.00380357134528213,0.035981784926369,0.0292274429690101,"EGFR/AREG",2
"R-HSA-210745","Regulation of gene expression in beta cells","2/58","21/11230",0.0952380952380952,18.440065681445,5.76359429987798,0.00516899629700251,0.046130853744947,0.0374713733546359,"HNF4A/HNF1A",2
"R-HSA-442660","SLC-mediated transport of neurotransmitters","2/58","21/11230",0.0952380952380952,18.440065681445,5.76359429987798,0.00516899629700251,0.046130853744947,0.0374713733546359,"SLC6A4/SLC6A3",2
"R-HSA-445144","Signal transduction by L1","2/58","21/11230",0.0952380952380952,18.440065681445,5.76359429987798,0.00516899629700251,0.046130853744947,0.0374713733546359,"MAPK1/EGFR",2
"R-HSA-8939211","ESR-mediated signaling","5/58","222/11230",0.0225225225225225,4.36082634358496,3.64407598113461,0.00564839211373226,0.0478067334522957,0.0388326643153175,"MMP9/MAPK1/EGFR/POLR2D/AREG",5
"R-HSA-1482801","Acyl chain remodelling of PS","2/58","22/11230",0.0909090909090909,17.6018808777429,5.61595535750489,0.00566711733759349,0.0478067334522957,0.0388326643153175,"PLA2G4A/PLA2G2A",2
"R-HSA-2453902","The canonical retinoid cycle in rods (twilight vision)","2/58","22/11230",0.0909090909090909,17.6018808777429,5.61595535750489,0.00566711733759349,0.0478067334522957,0.0388326643153175,"TTR/RBP4",2
"R-HSA-9734779","Developmental Cell Lineages of the Integumentary System","3/58","71/11230",0.0422535211267606,8.18115590092278,4.37350840004185,0.00582741442322048,0.0478067334522957,0.0388326643153175,"EGFR/FABP5/AREG",3
"R-HSA-418594","G alpha (i) signalling events","6/58","319/11230",0.0188087774294671,3.64176845746406,3.44887050553186,0.00586213644869588,0.0478067334522957,0.0388326643153175,"CXCL8/MAPK1/PLA2G4A/CNR1/CNR2/PTGDR2",6
