"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006693","prostaglandin metabolic process","9/61","50/18860",0.18,55.6524590163934,22.0423140350236,4.72511077760695e-14,7.49784539088108e-11,5.00001708726004e-11,"PTGS2/PTGS1/PTGES/PLA2G4A/AKR1C3/AKR1C2/AKR1B1/FABP5/AKR1C1",9
"GO:0006692","prostanoid metabolic process","9/61","52/18860",0.173076923076923,53.5119798234552,21.5995960958031,6.90409336176895e-14,7.49784539088108e-11,5.00001708726004e-11,"PTGS2/PTGS1/PTGES/PLA2G4A/AKR1C3/AKR1C2/AKR1B1/FABP5/AKR1C1",9
"GO:0015908","fatty acid transport","11/61","119/18860",0.092436974789916,28.5796941727511,17.1918819445146,1.26273403002055e-13,9.14219437734878e-11,6.0965685098536e-11,"PPARG/PTGS2/SLC2A1/NOS2/PTGES/PLA2G4A/PPARA/PPARD/FABP1/FABP5/PLA2G2A",11
"GO:0015718","monocarboxylic acid transport","12/61","180/18860",0.0666666666666667,20.6120218579235,15.0600723766361,4.5792852233789e-13,2.48655187629474e-10,1.65818328088668e-10,"PPARG/PTGS2/SLC2A1/NOS2/PTGES/PLA2G4A/PPARA/PPARD/FABP1/FABP5/AKR1C1/PLA2G2A",12
"GO:0033559","unsaturated fatty acid metabolic process","10/61","121/18860",0.0826446280991736,25.5520932123019,15.4335160389738,5.54315997096248e-12,2.4079486913861e-09,1.60576592000934e-09,"PTGS2/PTGS1/PTGES/PLA2G4A/AKR1C3/AKR1C2/AKR1B1/FABP5/AKR1C1/ALOX5",10
"GO:1901654","response to ketone","12/61","232/18860",0.0517241379310345,15.992085924251,13.0881967288719,9.24404972452467e-12,3.03085304489331e-09,2.02115624201473e-09,"AR/PTGER2/ABCB1/PTGER4/PTGER1/MMP14/PTGDR/AKR1C3/AKR1C2/CD38/PTGDR2/CA9",12
"GO:0006690","icosanoid metabolic process","10/61","128/18860",0.078125,24.1547131147541,14.9730125491622,9.76794259403921e-12,3.03085304489331e-09,2.02115624201473e-09,"PTGS2/PTGS1/PTGES/PLA2G4A/AKR1C3/AKR1C2/AKR1B1/FABP5/AKR1C1/ALOX5",10
"GO:0001666","response to hypoxia","13/61","317/18860",0.0410094637223975,12.6793194394167,11.9457670837015,2.12905489040939e-11,5.78038402746149e-09,3.85470990684647e-09,"PPARG/PTGS2/SLC6A4/SLC2A1/NOS2/ABCB1/PPARA/MMP14/PPARD/FABP1/CD38/CA9/LONP1",13
"GO:0036293","response to decreased oxygen levels","13/61","330/18860",0.0393939393939394,12.1798310978639,11.6710888823964,3.51477686938385e-11,7.99545886162304e-09,5.33185586584923e-09,"PPARG/PTGS2/SLC6A4/SLC2A1/NOS2/ABCB1/PPARA/MMP14/PPARD/FABP1/CD38/CA9/LONP1",13
"GO:0034694","response to prostaglandin","7/61","39/18860",0.179487179487179,55.4939050021017,19.4050944225521,3.68115048877672e-11,7.99545886162304e-09,5.33185586584923e-09,"PTGER2/PTGER4/PTGER1/PTGDR/AKR1C3/AKR1C2/PTGDR2",7
"GO:0046942","carboxylic acid transport","13/61","356/18860",0.0365168539325843,11.2902928716154,11.1654645828062,9.00926441532204e-11,1.55838310452964e-08,1.03922416973577e-08,"PPARG/PTGS2/SLC2A1/NOS2/PTGES/PLA2G4A/ABCB1/PPARA/PPARD/FABP1/FABP5/AKR1C1/PLA2G2A",13
"GO:0015849","organic acid transport","13/61","357/18860",0.0364145658263305,11.2586674013868,11.147073305462,9.32733902342784e-11,1.55838310452964e-08,1.03922416973577e-08,"PPARG/PTGS2/SLC2A1/NOS2/PTGES/PLA2G4A/ABCB1/PPARA/PPARD/FABP1/FABP5/AKR1C1/PLA2G2A",13
"GO:0070482","response to oxygen levels","13/61","357/18860",0.0364145658263305,11.2586674013868,11.147073305462,9.32733902342784e-11,1.55838310452964e-08,1.03922416973577e-08,"PPARG/PTGS2/SLC6A4/SLC2A1/NOS2/ABCB1/PPARA/MMP14/PPARD/FABP1/CD38/CA9/LONP1",13
"GO:0120254","olefinic compound metabolic process","10/61","169/18860",0.0591715976331361,18.2946939567368,12.8646163339431,1.55341981088403e-10,2.39093424016049e-08,1.59441965419251e-08,"PTGS2/RBP4/PTGS1/PLA2G4A/EPHX2/AKR1C3/AKR1C2/AKR1B1/AKR1C1/ALOX5",10
"GO:1901655","cellular response to ketone","9/61","120/18860",0.075,23.1885245901639,13.8896444482678,1.65661986643282e-10,2.39093424016049e-08,1.59441965419251e-08,"AR/PTGER2/ABCB1/PTGER4/MMP14/PTGDR/AKR1C3/AKR1C2/PTGDR2",9
"GO:0006869","lipid transport","14/61","461/18860",0.0303687635574837,9.38942427367448,10.3882498190489,1.7612775249801e-10,2.39093424016049e-08,1.59441965419251e-08,"PPARG/PTGS2/SLC2A1/RBP4/NOS2/PTGES/PLA2G4A/ABCB1/PPARA/PPARD/FABP1/FABP5/AKR1C1/PLA2G2A",14
"GO:0071379","cellular response to prostaglandin stimulus","6/61","27/18860",0.222222222222222,68.7067395264117,20.0544568057535,2.49686022096726e-10,3.19010611761228e-08,2.12735582913371e-08,"PTGER2/PTGER4/PTGDR/AKR1C3/AKR1C2/PTGDR2",6
"GO:0010876","lipid localization","14/61","483/18860",0.0289855072463768,8.96174863387978,10.0972147624048,3.24034778245534e-10,3.91001965749612e-08,2.60743774775354e-08,"PPARG/PTGS2/SLC2A1/RBP4/NOS2/PTGES/PLA2G4A/ABCB1/PPARA/PPARD/FABP1/FABP5/AKR1C1/PLA2G2A",14
"GO:0006631","fatty acid metabolic process","13/61","421/18860",0.0308788598574822,9.54713601495269,10.1029884093551,7.05923547795771e-10,8.06982076743376e-08,5.38144488513563e-08,"PPARG/PTGS2/PTGS1/PTGES/PLA2G4A/PPARA/PPARD/AKR1C3/AKR1C2/AKR1B1/FABP5/AKR1C1/ALOX5",13
"GO:0046457","prostanoid biosynthetic process","6/61","33/18860",0.181818181818182,56.2146050670641,18.0832819015,9.20312957602337e-10,9.99459871956138e-08,6.66500331400429e-08,"PTGS2/PTGS1/PTGES/PLA2G4A/AKR1C3/FABP5",6
"GO:0046456","icosanoid biosynthetic process","7/61","63/18860",0.111111111111111,34.3533697632058,15.1050649148871,1.24673835340521e-09,1.28948366837911e-07,8.59905751521591e-08,"PTGS2/PTGS1/PTGES/PLA2G4A/AKR1C3/FABP5/ALOX5",7
