"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004955","prostaglandin receptor activity","6/61","10/18662",0.6,183.560655737705,33.0680595607177,1.96901026372435e-13,6.0251714069965e-11,3.7514827129906e-11,"PPARG/PTGER2/PTGER4/PTGER1/PTGDR/PTGDR2",6
"GO:0004954","prostanoid receptor activity","6/61","11/18662",0.545454545454545,166.873323397914,31.5127319454239,4.32087652328703e-13,6.61094108062915e-11,4.11620342481554e-11,"PPARG/PTGER2/PTGER4/PTGER1/PTGDR/PTGDR2",6
"GO:0004953","icosanoid receptor activity","6/61","15/18662",0.4,122.373770491803,26.9296193834949,4.63381625385744e-12,4.72649257893459e-10,2.94287979630946e-10,"PPARG/PTGER2/PTGER4/PTGER1/PTGDR/PTGDR2",6
"GO:0033293","monocarboxylic acid binding","8/61","79/18662",0.10126582278481,30.9807013903299,15.291907016401,1.76198986241816e-10,1.3479222447499e-08,8.39263592362336e-09,"PPARG/HNF4A/PPARD/FABP1/AKR1C3/AKR1C2/FABP5/AKR1C1",8
"GO:0031406","carboxylic acid binding","9/61","186/18662",0.0483870967741935,14.8032786885246,10.8342531601645,8.87286198510076e-09,4.96786385260034e-07,3.09316600385504e-07,"PPARG/NOS2/HNF4A/PPARD/FABP1/AKR1C3/AKR1C2/FABP5/AKR1C1",9
"GO:0043177","organic acid binding","9/61","188/18662",0.0478723404255319,14.6457970003488,10.768658107455,9.74090951490263e-09,4.96786385260034e-07,3.09316600385504e-07,"PPARG/NOS2/HNF4A/PPARD/FABP1/AKR1C3/AKR1C2/FABP5/AKR1C1",9
"GO:0004032","aldose reductase (NADPH) activity","4/61","12/18662",0.333333333333333,101.978142076503,20.0374664525096,5.01387165287722e-08,2.19177817968633e-06,1.36467784837711e-06,"AKR1C3/AKR1C2/AKR1B1/AKR1C1",4
"GO:0005504","fatty acid binding","5/61","47/18662",0.106382978723404,32.5462155563307,12.4002060800049,4.35741452348239e-07,1.66671105523201e-05,1.0377526694083e-05,"PPARG/HNF4A/PPARD/FABP1/FABP5",5
"GO:0004879","nuclear receptor activity","5/61","59/18662",0.0847457627118644,25.9266462906363,10.9815234028929,1.38009787773305e-06,4.17773723101776e-05,2.6012054998769e-05,"PPARG/AR/HNF4A/PPARA/PPARD",5
"GO:0004222","metalloendopeptidase activity","6/61","109/18662",0.055045871559633,16.8404271318995,9.49811212834666,1.47813840703085e-06,4.17773723101776e-05,2.6012054998769e-05,"MMP9/BMP1/MMP13/MMP14/MMP12/ADAMTS5",6
"GO:0098531","ligand-modulated transcription factor activity","5/61","60/18662",0.0833333333333333,25.4945355191257,10.8825141680264,1.50180096539854e-06,4.17773723101776e-05,2.6012054998769e-05,"PPARG/AR/HNF4A/PPARA/PPARD",5
"GO:0004252","serine-type endopeptidase activity","7/61","178/18662",0.0393258426966292,12.0311291213852,8.46829964651475,1.80373135059818e-06,4.59951494402535e-05,2.86381907419535e-05,"MMP9/BMP1/MMP13/MMP14/MMP12/CTSG/LONP1",7
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","7/61","183/18662",0.0382513661202186,11.7024097464839,8.33167102998801,2.16926188142352e-06,5.09679138764409e-05,3.1734408020763e-05,"PTGS2/NOS2/PTGS1/AKR1C3/AKR1C2/AKR1C1/KDM5A",7
"GO:0008237","metallopeptidase activity","7/61","185/18662",0.0378378378378378,11.5758972086841,8.27849867182369,2.3318653407522e-06,5.09679138764409e-05,3.1734408020763e-05,"MMP9/BMP1/MMP13/MMP14/MMP12/ADAMTS5/CPB2",7
"GO:0008236","serine-type peptidase activity","7/61","196/18662",0.0357142857142857,10.9262295081967,8.00000318875174,3.41978357732246e-06,6.97635849773783e-05,4.34372510523064e-05,"MMP9/BMP1/MMP13/MMP14/MMP12/CTSG/LONP1",7
"GO:0017171","serine hydrolase activity","7/61","202/18662",0.0346534653465347,10.6016880376562,7.85726960780258,4.17315023156832e-06,7.98114981787442e-05,4.96934336785438e-05,"MMP9/BMP1/MMP13/MMP14/MMP12/CTSG/LONP1",7
"GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","4/61","35/18662",0.114285714285714,34.9639344262295,11.5171437157471,5.01363076299762e-06,8.85174545271517e-05,5.51140669742499e-05,"NOS2/AKR1C3/AKR1C2/AKR1C1",4
"GO:0016209","antioxidant activity","5/61","77/18662",0.0649350649350649,19.8658718330849,9.49959711947798,5.20690908983245e-06,8.85174545271517e-05,5.51140669742499e-05,"PTGS2/PTGS1/PTGES/GSR/FABP1",5
"GO:0008106","alcohol dehydrogenase (NADP+) activity","4/61","36/18662",0.111111111111111,33.9927140255009,11.3468083946632,5.62657469429831e-06,9.06174661292254e-05,5.6421607737839e-05,"AKR1C3/AKR1C2/AKR1B1/AKR1C1",4
"GO:0018455","alcohol dehydrogenase [NAD(P)+] activity","4/61","52/18662",0.0769230769230769,23.5334174022699,9.31793709743841,2.48688957691678e-05,0.000380494105268267,0.000236908954432598,"AKR1C3/AKR1C2/AKR1B1/AKR1C1",4
"GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","3/61","18/18662",0.166666666666667,50.9890710382514,12.1508315224673,2.61833805193449e-05,0.000381529258996169,0.000237553477393556,"AKR1C3/AKR1C2/AKR1C1",3
"GO:0004303","estradiol 17-beta-dehydrogenase [NAD(P)+] activity","3/61","19/18662",0.157894736842105,48.3054357204487,11.8139240710102,3.10204009920503e-05,0.000431465577434882,0.000268645577969431,"AKR1C3/AKR1C2/AKR1C1",3
"GO:0004175","endopeptidase activity","8/61","406/18662",0.0197044334975369,6.02826455624647,5.8660066411355,5.0326083281814e-05,0.000669555716705874,0.000416888836339054,"MMP9/BMP1/MMP13/MMP14/MMP12/ADAMTS5/CTSG/LONP1",8
"GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","3/61","23/18662",0.130434782608696,39.9044903777619,10.6909567379968,5.61688643799633e-05,0.000716153020844532,0.000445901949683042,"PTGS2/PTGS1/ALOX5",3
"GO:0016701","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","3/61","24/18662",0.125,38.2418032786885,10.4544429361377,6.40436749956459e-05,0.000783894581946705,0.000488080217861554,"PTGS2/PTGS1/ALOX5",3
"GO:0003707","nuclear steroid receptor activity","3/61","27/18662",0.111111111111111,33.9927140255009,9.82425109118006,9.19090490056018e-05,0.00108169880752747,0.000673503557490442,"AR/PPARA/PPARD",3
"GO:0033764","steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","3/61","32/18662",0.09375,28.6813524590164,8.974703186419,0.000154049703278278,0.00174589663715381,0.00108705638570637,"AKR1C3/AKR1C2/AKR1C1",3
"GO:0016628","oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor","3/61","34/18662",0.0882352941176471,26.9942140790743,8.68754891256563,0.000184990877790982,0.00202168602157288,0.00125877251429202,"AKR1C3/AKR1C2/AKR1C1",3
"GO:0016229","steroid dehydrogenase activity","3/61","36/18662",0.0833333333333333,25.4945355191257,8.42412664314215,0.000219703487427634,0.0023182505914778,0.00144342400088573,"AKR1C3/AKR1C2/AKR1C1",3
"GO:0051213","dioxygenase activity","4/61","93/18662",0.043010752688172,13.1584699453552,6.73116705884012,0.000242704812331899,0.00247558908578537,0.00154138845726574,"PTGS2/PTGS1/KDM5A/ALOX5",4
"GO:0004497","monooxygenase activity","4/61","109/18662",0.036697247706422,11.2269514212664,6.13220404484723,0.000444795551713056,0.00439056254271597,0.00273371799185274,"NOS2/AKR1C3/AKR1C2/AKR1C1",4
"GO:0008353","RNA polymerase II CTD heptapeptide repeat kinase activity","2/61","10/18662",0.2,61.1868852459016,10.9019300902659,0.000465023554169218,0.00444678773674315,0.00276872576659962,"MAPK1/BRD4",2
"GO:0004601","peroxidase activity","3/61","50/18662",0.06,18.3560655737705,7.03726637197727,0.000583805491713792,0.00541346910498243,0.00337061543860275,"PTGS2/PTGS1/PTGES",3
"GO:0001223","transcription coactivator binding","3/61","51/18662",0.0588235294117647,17.9961427193828,6.96008959735068,0.000618855085659429,0.00556969577093486,0.00346788763171383,"AR/PPARA/PPARD",3
"GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","3/61","52/18662",0.0576923076923077,17.6500630517024,6.88507372914142,0.000655221587081281,0.00562720706329807,0.0035036961763225,"PTGS2/PTGS1/PTGES",3
"GO:0008504","monoamine transmembrane transporter activity","2/61","12/18662",0.166666666666667,50.9890710382514,9.91951637575397,0.000679167736185332,0.00562720706329807,0.0035036961763225,"SLC6A4/SLC6A3",2
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","4/61","122/18662",0.0327868852459016,10.0306369255576,5.7306998156477,0.000680413925954342,0.00562720706329807,0.0035036961763225,"AKR1C3/AKR1C2/AKR1B1/AKR1C1",4
"GO:0001221","transcription coregulator binding","4/61","127/18662",0.031496062992126,9.63572995998451,5.59202167779963,0.000790918436888205,0.00622901912381263,0.00387840544000718,"PPARG/AR/PPARA/PPARD",4
"GO:0052650","all-trans-retinol dehydrogenase (NADP+) activity","2/61","13/18662",0.153846153846154,47.0668348045397,9.51473074227038,0.000800964670913438,0.00622901912381263,0.00387840544000718,"AKR1C3/AKR1B1",2
"GO:0170055","lipid transmembrane transporter activity","3/61","56/18662",0.0535714285714286,16.3893442622951,6.60468102014559,0.00081425086585786,0.00622901912381263,0.00387840544000718,"SLC2A1/RBP4/FABP5",3
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","4/61","132/18662",0.0303030303030303,9.27074018877298,5.46082000509398,0.000913548791641331,0.00674838200781803,0.00420177895911615,"AKR1C3/AKR1C2/AKR1B1/AKR1C1",4
"GO:0043176","amine binding","2/61","14/18662",0.142857142857143,43.7049180327869,9.15355947652379,0.000932493909370106,0.00674838200781803,0.00420177895911615,"SLC6A4/SLC6A3",2
"GO:0016651","oxidoreductase activity, acting on NAD(P)H","3/61","59/18662",0.0508474576271186,15.5559877743818,6.41269260745447,0.000948302046850246,0.00674838200781803,0.00420177895911615,"AKR1C3/AKR1C2/AKR1C1",3
