"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043410","positive regulation of MAPK cascade","13/56","474/18860",0.0274261603375527,9.23673899939723,9.91126458613292,9.5685100426283e-10,2.00800475795387e-06,1.1177613780405e-06,"EGFR/ELANE/KDR/NAMPT/MIF/JAK2/SRC/ROCK1/P2RX7/GRM5/ADRA2C/ADRA1A/ADRA1D",13
"GO:0050900","leukocyte migration","12/56","397/18860",0.0302267002518892,10.1799208348327,10.0881440977538,1.55358201775928e-09,2.00800475795387e-06,1.1177613780405e-06,"MMP2/CYP19A1/ELANE/HMOX1/PLG/MIF/SRC/ROCK1/CNR2/PTK2/S100A8/S100A9",12
"GO:0006935","chemotaxis","12/56","474/18860",0.0253164556962025,8.52622061482821,9.05629811174413,1.13212612218815e-08,7.6664120603834e-06,4.26752938472732e-06,"MMP2/CYP19A1/ELANE/KDR/MIF/PLAU/MET/MAPK14/CNR2/PTK2/S100A8/S100A9",12
"GO:0042330","taxis","12/56","476/18860",0.0252100840336134,8.49039615846339,9.03267700589755,1.18629200160672e-08,7.6664120603834e-06,4.26752938472732e-06,"MMP2/CYP19A1/ELANE/KDR/MIF/PLAU/MET/MAPK14/CNR2/PTK2/S100A8/S100A9",12
"GO:1900182","positive regulation of protein localization to nucleus","7/56","100/18860",0.07,23.575,12.352064888763,1.78558207789593e-08,8.73232013850002e-06,4.86087005164595e-06,"F2/SHH/JAK2/SRC/JAK1/MAPK14/CDK1",7
"GO:1900180","regulation of protein localization to nucleus","8/56","158/18860",0.0506329113924051,17.0524412296564,11.0574205671105,2.05109727435455e-08,8.73232013850002e-06,4.86087005164595e-06,"F2/SHH/JAK2/SRC/JAK1/MAPK14/GSK3B/CDK1",8
"GO:0018193","peptidyl-amino acid modification","11/56","404/18860",0.0272277227722772,9.16990806223479,9.05872933593077,2.3845450681129e-08,8.73232013850002e-06,4.86087005164595e-06,"EGFR/KDR/CDK2/JAK2/SRC/ROCK1/GSK3B/CDK1/PTK2/S100A8/S100A9",11
"GO:0010562","positive regulation of phosphorus metabolic process","10/56","320/18860",0.03125,10.5245535714286,9.3776274569187,3.0661989899493e-08,8.73232013850002e-06,4.86087005164595e-06,"MMP9/EGFR/ELANE/KDR/MIF/JAK2/SRC/ROCK1/P2RX7/PTK2",10
"GO:0045937","positive regulation of phosphate metabolic process","10/56","320/18860",0.03125,10.5245535714286,9.3776274569187,3.0661989899493e-08,8.73232013850002e-06,4.86087005164595e-06,"MMP9/EGFR/ELANE/KDR/MIF/JAK2/SRC/ROCK1/P2RX7/PTK2",10
"GO:0006979","response to oxidative stress","11/56","418/18860",0.0263157894736842,8.86278195488722,8.87132698067755,3.37807355454546e-08,8.73232013850002e-06,4.86087005164595e-06,"MMP2/PTGS2/CASP3/PTGS1/HMOX1/CHUK/MET/JAK2/SRC/CD38/CDK1",11
"GO:0009410","response to xenobiotic stimulus","11/56","443/18860",0.0248306997742664,8.36262495969042,8.55762635577224,6.10008761582161e-08,1.43352058971808e-05,7.97973183811306e-06,"MMP2/CASP3/CHUK/ALDH2/BCHE/P2RX7/CD38/TSPO/ADRA1A/CA9/AMH",11
"GO:0032496","response to lipopolysaccharide","10/56","350/18860",0.0285714285714286,9.62244897959184,8.88565953216919,7.11062934739856e-08,1.52072662497479e-05,8.46516663479808e-06,"MMP9/ELANE/CASP3/MIF/JAK2/MAPK14/P2RX7/CNR2/TSPO/S100A8",10
"GO:0042060","wound healing","11/56","453/18860",0.0242825607064018,8.17801955219174,8.43898965149701,7.64775478710726e-08,1.52072662497479e-05,8.46516663479808e-06,"F2/SHH/KDR/HMOX1/PLG/PLAU/JAK2/SRC/MAPK14/PTK2/ADRA2C",11
"GO:1903829","positive regulation of protein localization","11/56","459/18860",0.0239651416122004,8.07111733582322,8.36954591924637,8.73577687575699e-08,1.60009248385549e-05,8.90695887378788e-06,"F2/SHH/EGFR/JAK2/SRC/JAK1/MAPK14/P2RX7/GSK3B/CD38/CDK1",11
"GO:0070141","response to UV-A","4/56","15/18860",0.266666666666667,89.8095238095238,18.7773941520697,9.28486934538971e-08,1.60009248385549e-05,8.90695887378788e-06,"MMP9/MMP1/MMP2/EGFR",4
"GO:0002237","response to molecule of bacterial origin","10/56","375/18860",0.0266666666666667,8.98095238095238,8.51900451605465,1.35197886079468e-07,2.18429084697141e-05,1.21589151493838e-05,"MMP9/ELANE/CASP3/MIF/JAK2/MAPK14/P2RX7/CNR2/TSPO/S100A8",10
"GO:0009895","negative regulation of catabolic process","10/56","394/18860",0.0253807106598985,8.54786076867295,8.26254424639289,2.13624284615389e-07,3.08129436806386e-05,1.71521099507006e-05,"SHH/EGFR/HMOX1/MET/JAK2/ROCK1/MAPK14/GSK3B/TSPO/ADRA1A",10
"GO:0034405","response to fluid shear stress","5/56","45/18860",0.111111111111111,37.4206349206349,13.3484205417365,2.14558215184331e-07,3.08129436806386e-05,1.71521099507006e-05,"MMP2/PTGS2/SRC/P2RX7/PTK2",5
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","8/56","217/18860",0.0368663594470046,12.4160631994733,9.2303156738187,2.38603600303625e-07,3.24626477255196e-05,1.80704222501416e-05,"F2/EGFR/KDR/JAK2/SRC/GSK3B/PTK2/ADRA2C",8
"GO:2001233","regulation of apoptotic signaling pathway","10/56","406/18860",0.0246305418719212,8.29521463757917,8.10931284657904,2.81665747599463e-07,3.64052978772306e-05,2.02651093141298e-05,"MMP9/MMP2/PTGS2/HMOX1/MIF/JAK2/SRC/GSK3B/S100A8/S100A9",10
"GO:0010810","regulation of cell-substrate adhesion","8/56","230/18860",0.0347826086956522,11.7142857142857,8.9217271336395,3.71723714025104e-07,4.57574190835664e-05,2.54709933369583e-05,"KDR/PLG/PLAU/JAK2/SRC/ROCK1/GSK3B/PTK2",8
"GO:0009411","response to UV","7/56","159/18860",0.0440251572327044,14.8270440251572,9.55484651636205,4.34748962570371e-07,4.74854114244667e-05,2.64328850319642e-05,"MMP9/MMP1/MMP2/EGFR/ELANE/CASP3/MAPK14",7
"GO:0140353","lipid export from cell","5/56","52/18860",0.0961538461538462,32.3832417582418,12.3667729866345,4.49267419371235e-07,4.74854114244667e-05,2.64328850319642e-05,"PTGS2/CYP19A1/MIF/P2RX7/TSPO",5
"GO:0051900","regulation of mitochondrial depolarization","4/56","22/18860",0.181818181818182,61.2337662337662,15.4263146625954,4.89945362480862e-07,4.74854114244667e-05,2.64328850319642e-05,"KDR/SRC/P2RX7/TSPO",4
"GO:0035296","regulation of tube diameter","7/56","162/18860",0.0432098765432099,14.5524691358025,9.45380367025952,4.93383837360335e-07,4.74854114244667e-05,2.64328850319642e-05,"MMP2/SRC/ROCK1/CD38/ADRA2C/ADRA1A/ADRA1D",7
"GO:0097746","blood vessel diameter maintenance","7/56","162/18860",0.0432098765432099,14.5524691358025,9.45380367025952,4.93383837360335e-07,4.74854114244667e-05,2.64328850319642e-05,"MMP2/SRC/ROCK1/CD38/ADRA2C/ADRA1A/ADRA1D",7
