"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045121","membrane raft","8/57","291/19944",0.0274914089347079,9.61909929462832,7.92943031746323,1.65874753234753e-06,0.000134415688372465,9.9226892305032e-05,"SHH/EGFR/KDR/ABCG2/JAK2/SRC/CNR1/ADRA1A",8
"GO:0098857","membrane microdomain","8/57","293/19944",0.0273037542662116,9.55343991377762,7.89642158229014,1.74565829055149e-06,0.000134415688372465,9.9226892305032e-05,"SHH/EGFR/KDR/ABCG2/JAK2/SRC/CNR1/ADRA1A",8
"GO:0031983","vesicle lumen","8/57","333/19944",0.024024024024024,8.4058795637743,7.29620331824585,4.50257928592775e-06,0.000231132403344291,0.000170624057150946,"EGFR/ELANE/PLG/MIF/ROCK1/MAPK14/S100A8/S100A9",8
"GO:0031012","extracellular matrix","9/57","496/19944",0.0181451612903226,6.34889643463497,6.45826096658213,1.054080298758e-05,0.000329920287842656,0.000243550178311735,"MMP9/F2/MMP1/MMP2/SHH/ELANE/PLG/S100A8/S100A9",9
"GO:0030312","external encapsulating structure","9/57","497/19944",0.0181086519114688,6.33612199512867,6.44949444130236,1.07116976572291e-05,0.000329920287842656,0.000243550178311735,"MMP9/F2/MMP1/MMP2/SHH/ELANE/PLG/S100A8/S100A9",9
"GO:0034774","secretory granule lumen","7/57","327/19944",0.0214067278287462,7.49010140028971,6.33515285573657,3.90921689859162e-05,0.00094686896203486,0.000698987340394838,"ELANE/PLG/MIF/ROCK1/MAPK14/S100A8/S100A9",7
"GO:0060205","cytoplasmic vesicle lumen","7/57","332/19944",0.0210843373493976,7.37729866835764,6.27325428546597,4.30394982743118e-05,0.00094686896203486,0.000698987340394838,"ELANE/PLG/MIF/ROCK1/MAPK14/S100A8/S100A9",7
"GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","3/57","49/19944",0.0612244897959184,21.422126745435,7.66258087071323,0.000371459208793552,0.00715058976927588,0.00527863086180311,"JAK2/JAK1/CNR2",3
"GO:0009897","external side of plasma membrane","6/57","393/19944",0.0152671755725191,5.34190437926878,4.654146802176,0.000875790702325399,0.0130816938199191,0.00965702619652268,"F2/KDR/PLG/PLAU/ABCG2/P2RX7",6
"GO:0031968","organelle outer membrane","5/57","262/19944",0.0190839694656489,6.67738047408598,4.95235840516999,0.00090317862431728,0.0130816938199191,0.00965702619652268,"PTGS2/HMOX1/CNR1/TSPO/MAOB",5
"GO:0019867","outer membrane","5/57","264/19944",0.0189393939393939,6.62679425837321,4.92718067364891,0.000934406701422796,0.0130816938199191,0.00965702619652268,"PTGS2/HMOX1/CNR1/TSPO/MAOB",5
"GO:0009898","cytoplasmic side of plasma membrane","4/57","162/19944",0.0246913580246914,8.63937621832359,5.22670925622974,0.00118537869806647,0.0151474547613171,0.0111819898443079,"CHUK/JAK2/JAK1/CNR2",4
"GO:0005925","focal adhesion","6/57","423/19944",0.0141843971631206,4.96304591265398,4.41058597662427,0.00127868124608521,0.0151474547613171,0.0111819898443079,"EGFR/PLAU/JAK2/SRC/JAK1/PTK2",6
"GO:0030055","cell-substrate junction","6/57","433/19944",0.0138568129330254,4.84842591467121,4.33446349604843,0.0014404729691192,0.0158452026603112,0.011697073734201,"EGFR/PLAU/JAK2/SRC/JAK1/PTK2",6
"GO:0005901","caveola","3/57","81/19944",0.037037037037037,12.9590643274854,5.77384772149052,0.001612481239829,0.0165548073955778,0.0122209104492304,"JAK2/SRC/ADRA1A",3
"GO:0098685","Schaffer collateral - CA1 synapse","3/57","100/19944",0.03,10.4968421052632,5.09697664834454,0.00294118909343216,0.0281135265184062,0.0207536627750367,"PLG/ROCK1/GRM5",3
"GO:0098562","cytoplasmic side of membrane","4/57","211/19944",0.018957345971564,6.63307557994512,4.40390846472211,0.00310344123904485,0.0281135265184062,0.0207536627750367,"CHUK/JAK2/JAK1/CNR2",4
"GO:0019897","extrinsic component of plasma membrane","3/57","106/19944",0.0283018867924528,9.90268123138034,4.92008775123911,0.00346693084341653,0.0296615194381192,0.0218964053268412,"JAK2/JAK1/CNR2",3
"GO:0005741","mitochondrial outer membrane","4/57","232/19944",0.0172413793103448,6.03266787658802,4.12785994424528,0.00435117550550172,0.0335526840144882,0.0247688986573119,"HMOX1/CNR1/TSPO/MAOB",4
"GO:0044853","plasma membrane raft","3/57","115/19944",0.0260869565217391,9.12768878718535,4.67965261563555,0.00435749143045302,0.0335526840144882,0.0247688986573119,"JAK2/SRC/ADRA1A",3
"GO:1904813","ficolin-1-rich granule lumen","3/57","125/19944",0.024,8.39747368421053,4.44166297626781,0.00549624784400019,0.0403058175226681,0.029754123666768,"MMP9/MIF/MAPK14",3
