"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004713","protein tyrosine kinase activity","7/57","141/18662",0.049645390070922,16.254074903571,10.0635975835557,2.33414081186784e-07,3.36793260503898e-05,2.14000693755587e-05,"EGFR/KDR/MET/JAK2/SRC/JAK1/PTK2",7
"GO:0020037","heme binding","7/57","142/18662",0.0492957746478873,16.1396095873487,10.0237079374154,2.44940553093744e-07,3.36793260503898e-05,2.14000693755587e-05,"PTGS2/CYP19A1/PTGS1/HMOX1/CYP11B1/JAK2/SRC",7
"GO:0046906","tetrapyrrole binding","7/57","152/18662",0.0460526315789474,15.0777931671283,9.64591014255276,3.89127614361847e-07,3.56700313165026e-05,2.26649768365146e-05,"PTGS2/CYP19A1/PTGS1/HMOX1/CYP11B1/JAK2/SRC",7
"GO:0004252","serine-type endopeptidase activity","7/57","178/18662",0.0393258426966292,12.8754188842894,8.81152354160476,1.12870664479257e-06,7.7598581829489e-05,4.93066586935701e-05,"MMP9/F2/MMP1/MMP2/ELANE/PLG/PLAU",7
"GO:0008236","serine-type peptidase activity","7/57","196/18662",0.0357142857142857,11.6929824561404,8.32972227118983,2.14718053395875e-06,0.000118094929367731,7.5038309186769e-05,"MMP9/F2/MMP1/MMP2/ELANE/PLG/PLAU",7
"GO:0017171","serine hydrolase activity","7/57","202/18662",0.0346534653465347,11.3456661455619,8.18292071155522,2.62313480287373e-06,0.000120227011798379,7.63930486450945e-05,"MMP9/F2/MMP1/MMP2/ELANE/PLG/PLAU",7
"GO:0004935","adrenergic receptor activity","3/57","10/18662",0.3,98.2210526315789,17.0211015454541,3.19299605427318e-06,0.000122691699910718,7.79591279815471e-05,"ADRA2C/ADRA1A/ADRA1D",3
"GO:0004175","endopeptidase activity","9/57","406/18662",0.0221674876847291,7.25771324863884,7.05611919780147,3.5692130883118e-06,0.000122691699910718,7.79591279815471e-05,"MMP9/F2/MMP1/MMP2/SHH/ELANE/CASP3/PLG/PLAU",9
"GO:0004715","non-membrane spanning protein tyrosine kinase activity","4/57","45/18662",0.0888888888888889,29.1025341130604,10.4468879896476,1.06127837108085e-05,0.000324279502274703,0.000206049367952538,"JAK2/SRC/JAK1/PTK2",4
"GO:0004674","protein serine/threonine kinase activity","8/57","433/18662",0.0184757505773672,6.04902556622503,5.883830356574,4.80558027619744e-05,0.00130609436600826,0.000829901109119121,"EGFR/CHUK/CDK2/MAPK10/ROCK1/MAPK14/GSK3B/CDK1",8
