"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","10/54","94/9370",0.106382978723404,18.4594168636722,12.9521555255213,1.05439551386243e-10,2.23531848938834e-08,1.08769221430019e-08,"MMP9/MMP1/PTGS2/CASP3/CHUK/MAPK10/MAPK14/GSK3B/S100A8/S100A9",10
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","12/54","204/9370",0.0588235294117647,10.2069716775599,10.1221023386619,1.2624229681194e-09,1.33816834620657e-07,6.51144478293166e-08,"MMP9/MMP2/SHH/EGFR/KDR/CASP3/PLAU/MET/SRC/ROCK1/MAPK14/PTK2",12
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","9/54","142/9370",0.0633802816901408,10.9976525821596,9.13938935960773,9.74279874637854e-08,6.88491111410751e-06,3.35015535840385e-06,"MMP9/MMP2/KDR/HMOX1/CHUK/SRC/MAPK10/MAPK14/PTK2",9
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","7/54","71/9370",0.0985915492957746,17.1074595722483,10.3721039333229,1.41520939531228e-07,7.50060979515511e-06,3.64975054580537e-06,"EGFR/CASP3/CHUK/MET/SRC/MAPK10/MAPK14",7
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","9/54","163/9370",0.0552147239263804,9.58077709611452,8.41375982064919,3.18188240802142e-07,1.02815334433608e-05,5.00293087114874e-06,"MMP9/CASP3/CHUK/CDK2/JAK2/SRC/MAPK10/JAK1/MAPK14",9
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","7/54","80/9370",0.0875,15.1828703703704,9.69906856498299,3.24901103037454e-07,1.02815334433608e-05,5.00293087114874e-06,"EGFR/KDR/MET/JAK2/SRC/JAK1/GSK3B",7
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","10/54","216/9370",0.0462962962962963,8.03326474622771,7.96172451525029,3.3948459482795e-07,1.02815334433608e-05,5.00293087114874e-06,"MMP9/MMP1/CASP3/CHUK/JAK2/SRC/MAPK10/MAPK14/GSK3B/PTK2",10
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","10/54","227/9370",0.0440528634361234,7.64398759993474,7.71482610580493,5.37450096634298e-07,1.42424275608089e-05,6.93027756186332e-06,"PTGS2/EGFR/CASP3/CHUK/SRC/JAK1/ROCK1/MAPK14/GSK3B/PTK2",10
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","7/54","99/9370",0.0707070707070707,12.268986157875,8.58159296610484,1.40020736141773e-06,3.18895274191255e-05,1.55172477014612e-05,"MMP9/MMP2/EGFR/SRC/MAPK10/MAPK14/PTK2",7
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","9/54","196/9370",0.0459183673469388,7.96768707482993,7.50526558679946,1.50422299146818e-06,3.18895274191255e-05,1.55172477014612e-05,"PTGS2/CASP3/CHUK/JAK2/SRC/MAPK10/JAK1/MAPK14/GSK3B",9
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","7/54","106/9370",0.0660377358490566,11.4587700908456,8.24447556443222,2.22244748362654e-06,4.28326242298934e-05,2.08420912340097e-05,"MMP9/EGFR/PLAU/CHUK/CDK2/GSK3B/GRM5",7
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","5/54","41/9370",0.121951219512195,21.1607949412827,9.84942309727588,3.3683296796996e-06,5.95071576746929e-05,2.8955816544786e-05,"MMP9/MMP1/MMP2/EGFR/SRC",5
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","7/54","130/9370",0.0538461538461538,9.34330484330484,7.29293867872586,8.66574282461393e-06,0.000141318267601396,6.87645989321592e-05,"MMP9/MMP1/MMP2/EGFR/SRC/MAPK10/MAPK14",7
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","7/54","138/9370",0.0507246376811594,8.8016639828234,7.0292282553083,1.28299943091001e-05,0.000194282770966373,9.45368001723164e-05,"CHUK/SRC/MAPK10/ROCK1/MAPK14/GSK3B/PTK2",7
