"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1592389","Activation of Matrix Metalloproteinases","5/52","33/11230",0.151515151515152,32.7214452214452,12.4465576889199,3.76133863147468e-07,0.000155547369688491,0.000109699113824126,"MMP9/MMP1/MMP2/ELANE/PLG",5
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","7/52","106/11230",0.0660377358490566,14.261611030479,9.35640232795511,5.15911673925344e-07,0.000155547369688491,0.000109699113824126,"MMP9/MMP1/MMP2/PTGS2/HMOX1/JAK2/JAK1",7
"R-HSA-449147","Signaling by Interleukins","11/52","454/11230",0.0242290748898678,5.23254828871569,6.27901060834769,5.62100312804044e-06,0.00112982162873613,0.000796801846922223,"MMP9/MMP1/MMP2/PTGS2/HMOX1/MIF/CHUK/JAK2/MAPK10/JAK1/MAPK14",11
"R-HSA-110056","MAPK3 (ERK1) activation","3/52","10/11230",0.3,64.7884615384615,13.7637209659616,1.09834412284038e-05,0.00165575376518188,0.00116771322533556,"JAK2/JAK1/CDK1",3
"R-HSA-9009391","Extra-nuclear estrogen signaling","5/52","77/11230",0.0649350649350649,14.0234765234765,7.82107774662196,2.68542272134201e-05,0.00299735813548735,0.0021138739403629,"MMP9/MMP2/EGFR/SRC/PTK2",5
"R-HSA-76009","Platelet Aggregation (Plug Formation)","4/52","39/11230",0.102564102564103,22.1499013806706,9.0239433943512,2.98244590595756e-05,0.00299735813548735,0.0021138739403629,"F2/SRC/PTK2/ADRA2C",4
"R-HSA-5633007","Regulation of TP53 Activity","6/52","156/11230",0.0384615384615385,8.30621301775148,6.26747383977799,7.83920333875095e-05,0.006669145665825,0.00470338631228646,"CDK2/BRPF1/MAPK14/CDK1/PIP4K2C/BRD1",6
"R-HSA-211945","Phase I - Functionalization of compounds","5/52","106/11230",0.0471698113207547,10.1868650217707,6.48156585793032,0.00012449236266864,0.006669145665825,0.00470338631228646,"CYP19A1/PTGS1/CYP11B1/ALDH2/MAOB",5
"R-HSA-168643","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","4/52","56/11230",0.0714285714285714,15.4258241758242,7.38108955593897,0.000125666975169214,0.006669145665825,0.00470338631228646,"HMOX1/CHUK/MAPK14/P2RX7",4
"R-HSA-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","5/52","111/11230",0.045045045045045,9.72799722799723,6.30279793452752,0.000154724513875356,0.006669145665825,0.00470338631228646,"CHUK/MAPK10/MAPK14/S100A8/S100A9",5
"R-HSA-168188","Toll Like Receptor TLR6:TLR2 Cascade","5/52","111/11230",0.045045045045045,9.72799722799723,6.30279793452752,0.000154724513875356,0.006669145665825,0.00470338631228646,"CHUK/MAPK10/MAPK14/S100A8/S100A9",5
"R-HSA-112409","RAF-independent MAPK1/3 activation","3/52","23/11230",0.130434782608696,28.1688963210702,8.89572581590889,0.00015534618196203,0.006669145665825,0.00470338631228646,"JAK2/JAK1/CDK1",3
"R-HSA-2219528","PI3K/AKT Signaling in Cancer","5/52","112/11230",0.0446428571428571,9.64114010989011,6.26840262119261,0.000161391275418766,0.006669145665825,0.00470338631228646,"EGFR/CHUK/MET/SRC/GSK3B",5
"R-HSA-168179","Toll Like Receptor TLR1:TLR2 Cascade","5/52","114/11230",0.043859649122807,9.47199730094467,6.20089140143744,0.000175382645742073,0.006669145665825,0.00470338631228646,"CHUK/MAPK10/MAPK14/S100A8/S100A9",5
"R-HSA-181438","Toll Like Receptor 2 (TLR2) Cascade","5/52","114/11230",0.043859649122807,9.47199730094467,6.20089140143744,0.000175382645742073,0.006669145665825,0.00470338631228646,"CHUK/MAPK10/MAPK14/S100A8/S100A9",5
"R-HSA-5668599","RHO GTPases Activate NADPH Oxidases","3/52","24/11230",0.125,26.9951923076923,8.69487827648604,0.000176959088977114,0.006669145665825,0.00470338631228646,"MAPK14/S100A8/S100A9",3
"R-HSA-1442490","Collagen degradation","4/52","64/11230",0.0625,13.4975961538462,6.83845230292698,0.000211536974965943,0.00750334093555669,0.00529169894032452,"MMP9/MMP1/MMP2/ELANE",4
"R-HSA-5684996","MAPK1/MAPK3 signaling","7/52","272/11230",0.0257352941176471,5.55783371040724,5.190000984667,0.000238362505732952,0.00798514394205389,0.00563148843953874,"EGFR/MET/JAK2/SRC/JAK1/CDK1/PTK2",7
"R-HSA-6804758","Regulation of TP53 Activity through Acetylation","3/52","30/11230",0.1,21.5961538461538,7.70420629448137,0.000348076762545973,0.0104945143907611,0.00740121116150384,"BRPF1/PIP4K2C/BRD1",3
"R-HSA-8874081","MET activates PTK2 signaling","3/52","30/11230",0.1,21.5961538461538,7.70420629448137,0.000348076762545973,0.0104945143907611,0.00740121116150384,"MET/SRC/PTK2",3
"R-HSA-5260271","Diseases of Immune System","3/52","32/11230",0.09375,20.2463942307692,7.43608413695458,0.000422468793704007,0.0111669732562881,0.00787545988572991,"CHUK/S100A8/S100A9",3
"R-HSA-5602358","Diseases associated with the TLR signaling cascade","3/52","32/11230",0.09375,20.2463942307692,7.43608413695458,0.000422468793704007,0.0111669732562881,0.00787545988572991,"CHUK/S100A8/S100A9",3
"R-HSA-1474228","Degradation of the extracellular matrix","5/52","138/11230",0.036231884057971,7.82469342251951,5.5018395346134,0.000425937620057422,0.0111669732562881,0.00787545988572991,"MMP9/MMP1/MMP2/ELANE/PLG",5
"R-HSA-166016","Toll Like Receptor 4 (TLR4) Cascade","5/52","145/11230",0.0344827586206897,7.44694960212202,5.32918243381771,0.000534270554503347,0.0129247697772248,0.00911513832591222,"CHUK/MAPK10/MAPK14/S100A8/S100A9",5
"R-HSA-5683057","MAPK family signaling cascades","7/52","311/11230",0.022508038585209,4.86087064061341,4.70938474143804,0.000535852810001028,0.0129247697772248,0.00911513832591222,"EGFR/MET/JAK2/SRC/JAK1/CDK1/PTK2",7
