"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1904645","response to amyloid-beta","7/52","61/18860",0.114754098360656,41.6204287515763,16.7082798481823,3.09909991025465e-10,6.79012790336793e-07,4.27675787615141e-07,"MMP9/MMP2/MMP13/APP/MMP12/PARP1/GRM5",7
"GO:0071214","cellular response to abiotic stimulus","11/52","355/18860",0.0309859154929577,11.2383531960997,10.2397518789802,2.72877616120458e-09,1.99291618973308e-06,1.25523703415411e-06,"MMP9/MMP1/MMP2/PIK3CA/TEK/MYLK/TRPV1/PARP1/MAPK8/TSPO/BDKRB2",11
"GO:0104004","cellular response to environmental stimulus","11/52","355/18860",0.0309859154929577,11.2383531960997,10.2397518789802,2.72877616120458e-09,1.99291618973308e-06,1.25523703415411e-06,"MMP9/MMP1/MMP2/PIK3CA/TEK/MYLK/TRPV1/PARP1/MAPK8/TSPO/BDKRB2",11
"GO:0043410","positive regulation of MAPK cascade","11/52","474/18860",0.0232067510548523,8.41691009412528,8.59920399416808,5.36570128330477e-08,2.93003476201939e-05,1.84548058949647e-05,"TEK/RAF1/NAMPT/PDGFRA/APP/MAP3K7/PIK3CG/ROCK1/P2RX7/GRM5/MAP4K2",11
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","9/52","281/18860",0.0320284697508897,11.6164796058035,9.42784028041819,6.6865238749872e-08,2.93003476201939e-05,1.84548058949647e-05,"PTGER2/APP/CCR3/GRM5/PDE3B/PDE4A/MTNR1A/C3AR1/S1PR3",9
"GO:0030574","collagen catabolic process","5/52","45/18860",0.111111111111111,40.2991452991453,13.8780019686825,1.47019612695453e-07,5.36866619026229e-05,3.38145109199542e-05,"MMP9/MMP1/MMP2/MMP13/MMP12",5
"GO:0010562","positive regulation of phosphorus metabolic process","9/52","320/18860",0.028125,10.2007211538462,8.72834063878678,2.01851233961173e-07,5.52820067011162e-05,3.48193378583023e-05,"MMP9/RAF1/APP/MAP3K7/PIK3CG/ROCK1/P2RX7/PIM1/MAP4K2",9
"GO:0045937","positive regulation of phosphate metabolic process","9/52","320/18860",0.028125,10.2007211538462,8.72834063878678,2.01851233961173e-07,5.52820067011162e-05,3.48193378583023e-05,"MMP9/RAF1/APP/MAP3K7/PIK3CG/ROCK1/P2RX7/PIM1/MAP4K2",9
"GO:0062197","cellular response to chemical stress","9/52","335/18860",0.026865671641791,9.74397244546498,8.49066624121778,2.97038042781285e-07,7.23122613037551e-05,4.55458332264637e-05,"MMP2/PIK3CA/MYLK/PDGFRA/PARP1/MAPK8/TSPO/BDKRB2/LONP1",9
"GO:0007204","positive regulation of cytosolic calcium ion concentration","7/52","166/18860",0.0421686746987952,15.2942539388323,9.72644447684677,3.45671477058725e-07,7.57366206235667e-05,4.77026638341041e-05,"PTGER2/PIK3CG/CCR3/P2RX7/BDKRB2/C3AR1/S1PR3",7
