"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004674","protein serine/threonine kinase activity","12/52","433/18662",0.0277136258660508,9.94599395985077,9.95604997725826,1.86445256283194e-09,5.35097885532768e-07,3.90553747372165e-07,"PIK3CA/RAF1/BRD4/MYLK/MAP3K7/CDK2/PIK3CG/ROCK1/MAPK8/PIM1/MKNK1/MAP4K2",12
"GO:0106310","protein serine kinase activity","10/52","362/18662",0.0276243093922652,9.91393965150871,9.05303858999555,5.10861761181753e-08,7.33086627295815e-06,5.35060476185099e-06,"PIK3CA/RAF1/MAP3K7/CDK2/PIK3CG/ROCK1/MAPK8/PIM1/MKNK1/MAP4K2",10
"GO:0004222","metalloendopeptidase activity","6/52","109/18662",0.055045871559633,19.7551164431898,10.380586297279,5.65535180590728e-07,4.26566714421639e-05,3.11339725545227e-05,"MMP9/MMP1/MMP2/MMP13/ADAM17/MMP12",6
"GO:0004252","serine-type endopeptidase activity","7/52","178/18662",0.0393258426966292,14.1134399308557,9.29232934854445,5.94518068880334e-07,4.26566714421639e-05,3.11339725545227e-05,"MMP9/MMP1/MMP2/MMP13/F10/MMP12/LONP1",7
"GO:0008236","serine-type peptidase activity","7/52","196/18662",0.0357142857142857,12.8173076923077,8.79136082735296,1.13574433416956e-06,6.51917247813326e-05,4.75817099999456e-05,"MMP9/MMP1/MMP2/MMP13/F10/MMP12/LONP1",7
"GO:0017171","serine hydrolase activity","7/52","202/18662",0.0346534653465347,12.4365955826352,8.63878254414002,1.38944616149256e-06,6.64618413913943e-05,4.85087344100035e-05,"MMP9/MMP1/MMP2/MMP13/F10/MMP12/LONP1",7
"GO:0008237","metallopeptidase activity","6/52","185/18662",0.0324324324324324,11.639501039501,7.68753910255603,1.21988571384074e-05,0.000500153142674704,0.000365048506848583,"MMP9/MMP1/MMP2/MMP13/ADAM17/MMP12",6
"GO:0004175","endopeptidase activity","8/52","406/18662",0.0197044334975369,7.07161803713528,6.53823592270235,1.52520430319266e-05,0.000547167043770366,0.000399362705704393,"MMP9/MMP1/MMP2/MMP13/F10/ADAM17/MMP12/LONP1",8
"GO:0120283","protein serine/threonine kinase binding","3/52","24/18662",0.125,44.8605769230769,11.3651781770948,3.96264258850479e-05,0.00126364269211208,0.000922299269137372,"APP/MAP3K7/MAPK8",3
"GO:0042562","hormone binding","4/52","95/18662",0.0421052631578947,15.1109311740891,7.28857369368521,0.000141479437579306,0.00406045985852609,0.00296362190297705,"TTR/APP/TSPO/MTNR1A",4
"GO:0004955","prostaglandin receptor activity","2/52","10/18662",0.2,71.7769230769231,11.8338188446743,0.000337819691665925,0.00807952095901005,0.00589702795101045,"HPGD/PTGER2",2
"GO:0016303","1-phosphatidylinositol-3-kinase activity","2/52","10/18662",0.2,71.7769230769231,11.8338188446743,0.000337819691665925,0.00807952095901005,0.00589702795101045,"PIK3CA/PIK3CG",2
