"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","7/47","106/9370",0.0660377358490566,13.1653954235247,8.94329580527263,8.4214639682672e-07,0.000176008596936785,9.48522783794306e-05,"MMP9/PIK3CA/RAF1/PDGFRA/CDK2/GRM5/HSP90AA1",7
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","7/47","130/9370",0.0538461538461538,10.7348608837971,7.93566171948149,3.33559732657454e-06,0.00034856992062704,0.000187846796812356,"MMP9/MMP1/MMP2/PIK3CA/RAF1/MMP13/MAPK8",7
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","6/47","94/9370",0.0638297872340425,12.7252150294251,8.11189049150952,6.69046768866106e-06,0.000466102582310054,0.000251185979890082,"MMP9/MMP1/MMP13/MAP3K7/MAPK8/HSP90AA1",6
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","10/47","370/9370",0.027027027027027,5.38815411155837,6.11475675098485,1.1429992235152e-05,0.00059721709428669,0.000321844518200332,"PTGER2/TRHR/TRPV1/P2RX7/GRM5/TSPO/BDKRB2/MTNR1A/C3AR1/S1PR3",10
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","6/47","110/9370",0.0545454545454545,10.8742746615087,7.39628706891406,1.65710696495354e-05,0.00069267071135058,0.000373285147894797,"PIK3CA/RAF1/CDK2/MAPK8/PDE3B/HSP90AA1",6
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","6/47","125/9370",0.048,9.56936170212766,6.84806272057638,3.42980046924887e-05,0.00119471383012169,0.000643839737209876,"PIK3CA/RAF1/ROCK1/MAPK8/BDKRB2/S1PR3",6
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","4/47","41/9370",0.0975609756097561,19.4499221587961,8.40594659191917,4.91207737774444e-05,0.00146660595992655,0.000790364329952865,"MMP9/MMP1/MMP2/RAF1",4
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","6/47","138/9370",0.0434782608695652,8.66790009250694,6.44296537336701,5.98245555116036e-05,0.00156291651274064,0.000842266768387051,"GCK/PIK3CA/RAF1/MAPK8/PDE3B/MKNK1",6
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","6/47","142/9370",0.0422535211267606,8.42373389271801,6.32893275911388,7.017145020247e-05,0.00162953701025736,0.000878169025925649,"MMP9/MMP2/PIK3CA/MAP3K7/MAPK8/HSP90AA1",6
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","7/47","226/9370",0.0309734513274336,6.17491997740539,5.59123126120719,0.000119668303276693,0.00223587387400246,0.00120492825242137,"PIK3CA/RAF1/PTGER2/ROCK1/MAPK8/PDE3B/PDE4A",7
