"from","to","interaction","term_type"
"ESR2","KEGG | Prolactin signaling pathway","target-pathway","KEGG"
"JAK2","KEGG | Prolactin signaling pathway","target-pathway","KEGG"
"MAPK10","KEGG | Prolactin signaling pathway","target-pathway","KEGG"
"MAPK14","KEGG | Prolactin signaling pathway","target-pathway","KEGG"
"MAPK8","KEGG | Prolactin signaling pathway","target-pathway","KEGG"
"CREBBP","KEGG | Hepatitis B","target-pathway","KEGG"
"CASP3","KEGG | Hepatitis B","target-pathway","KEGG"
"JAK2","KEGG | Hepatitis B","target-pathway","KEGG"
"TYK2","KEGG | Hepatitis B","target-pathway","KEGG"
"MAPK10","KEGG | Hepatitis B","target-pathway","KEGG"
"JAK1","KEGG | Hepatitis B","target-pathway","KEGG"
"MAPK14","KEGG | Hepatitis B","target-pathway","KEGG"
"MAPK8","KEGG | Hepatitis B","target-pathway","KEGG"
"CREBBP","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"CASP3","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"JAK2","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"TYK2","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"MAPK10","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"JAK1","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"MAPK14","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"MAPK8","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"CASP3","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"MAPK10","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"MAPK14","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"MAPK8","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"JAK2","KEGG | Th17 cell differentiation","target-pathway","KEGG"
"TYK2","KEGG | Th17 cell differentiation","target-pathway","KEGG"
"MAPK10","KEGG | Th17 cell differentiation","target-pathway","KEGG"
"JAK1","KEGG | Th17 cell differentiation","target-pathway","KEGG"
"MAPK14","KEGG | Th17 cell differentiation","target-pathway","KEGG"
"MAPK8","KEGG | Th17 cell differentiation","target-pathway","KEGG"
"CASP3","KEGG | Toxoplasmosis","target-pathway","KEGG"
"JAK2","KEGG | Toxoplasmosis","target-pathway","KEGG"
"TYK2","KEGG | Toxoplasmosis","target-pathway","KEGG"
"MAPK10","KEGG | Toxoplasmosis","target-pathway","KEGG"
"JAK1","KEGG | Toxoplasmosis","target-pathway","KEGG"
"MAPK14","KEGG | Toxoplasmosis","target-pathway","KEGG"
"MAPK8","KEGG | Toxoplasmosis","target-pathway","KEGG"
"JAK2","KEGG | Th1 and Th2 cell differentiation","target-pathway","KEGG"
"TYK2","KEGG | Th1 and Th2 cell differentiation","target-pathway","KEGG"
"MAPK10","KEGG | Th1 and Th2 cell differentiation","target-pathway","KEGG"
"JAK1","KEGG | Th1 and Th2 cell differentiation","target-pathway","KEGG"
"MAPK14","KEGG | Th1 and Th2 cell differentiation","target-pathway","KEGG"
"MAPK8","KEGG | Th1 and Th2 cell differentiation","target-pathway","KEGG"
"CASP3","KEGG | AGE-RAGE signaling pathway in diabetic complications","target-pathway","KEGG"
"JAK2","KEGG | AGE-RAGE signaling pathway in diabetic complications","target-pathway","KEGG"
"MAPK10","KEGG | AGE-RAGE signaling pathway in diabetic complications","target-pathway","KEGG"
"MAPK14","KEGG | AGE-RAGE signaling pathway in diabetic complications","target-pathway","KEGG"
