"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071872","cellular response to epinephrine stimulus","4/53","12/18860",0.333333333333333,118.616352201258,21.6353136271532,2.70499638455422e-08,3.1487365146787e-05,1.96944063191592e-05,"PDE4D/PDE4B/SRD5A1/SIRT2",4
"GO:1904181","positive regulation of membrane depolarization","4/53","13/18860",0.307692307692308,109.492017416546,20.7723603844018,3.89909701473748e-08,3.1487365146787e-05,1.96944063191592e-05,"KDR/PARP1/P2RX7/TSPO",4
"GO:0032496","response to lipopolysaccharide","10/53","350/18860",0.0285714285714286,10.167115902965,9.18969373504009,4.09103921352797e-08,3.1487365146787e-05,1.96944063191592e-05,"CASP3/PDE4B/JAK2/MAPK14/IDO1/P2RX7/MAPK8/CNR2/HDAC2/TSPO",10
"GO:0071871","response to epinephrine","4/53","15/18860",0.266666666666667,94.8930817610063,19.3116176887527,7.41282566127187e-08,3.15722976106918e-05,1.97475290382572e-05,"PDE4D/PDE4B/SRD5A1/SIRT2",4
"GO:0002237","response to molecule of bacterial origin","10/53","375/18860",0.0266666666666667,9.48930817610063,8.81486587727188,7.80682763360496e-08,3.15722976106918e-05,1.97475290382572e-05,"CASP3/PDE4B/JAK2/MAPK14/IDO1/P2RX7/MAPK8/CNR2/HDAC2/TSPO",10
"GO:0010506","regulation of autophagy","10/53","377/18860",0.026525198938992,9.43896701866773,8.78640536336268,8.20414836137508e-08,3.15722976106918e-05,1.97475290382572e-05,"KDR/CASP3/HMOX1/EIF4G2/MET/GSK3B/MAPK8/TSPO/PIP4K2C/SIRT2",10
"GO:2000318","positive regulation of T-helper 17 type immune response","4/53","20/18860",0.2,71.1698113207547,16.6671889979503,2.60392481034236e-07,8.16080796821719e-05,5.10434160716372e-05,"BRD4/JAK2/TYK2/BRD2",4
"GO:1900180","regulation of protein localization to nucleus","7/53","158/18860",0.0443037974683544,15.7654645330786,9.89393686406908,2.82747785819565e-07,8.16080796821719e-05,5.10434160716372e-05,"CREBBP/JAK2/TYK2/JAK1/PARP1/MAPK14/GSK3B",7
"GO:1900182","positive regulation of protein localization to nucleus","6/53","100/18860",0.06,21.3509433962264,10.8319246957236,3.58361304665256e-07,8.21814728861384e-05,5.14020563925062e-05,"CREBBP/JAK2/TYK2/JAK1/PARP1/MAPK14",6
"GO:0009410","response to xenobiotic stimulus","10/53","443/18860",0.0225733634311512,8.03271008134929,7.95156541553748,3.64989663579447e-07,8.21814728861384e-05,5.14020563925062e-05,"EPHX1/CASP3/NAT1/SLC6A2/PDE4B/P2RX7/SRD5A1/HDAC2/TSPO/CA9",10
"GO:0051900","regulation of mitochondrial depolarization","4/53","22/18860",0.181818181818182,64.6998284734134,15.8697362802458,3.91509831852543e-07,8.21814728861384e-05,5.14020563925062e-05,"KDR/PARP1/P2RX7/TSPO",4
"GO:0072538","T-helper 17 type immune response","5/53","55/18860",0.0909090909090909,32.3499142367067,12.3600018490515,4.51714647298237e-07,8.69174267176357e-05,5.43642540432615e-05,"BRD4/JAK2/TYK2/JAK1/BRD2",5
"GO:0071214","cellular response to abiotic stimulus","9/53","355/18860",0.0253521126760563,9.02152537868722,8.09960978661406,5.7248125132467e-07,9.44185149506188e-05,5.9055960662966e-05,"MMP1/CREBBP/CASP3/TRPV1/PARP1/MAPK14/MAPK8/TSPO/BDKRB2",9
"GO:0104004","cellular response to environmental stimulus","9/53","355/18860",0.0253521126760563,9.02152537868722,8.09960978661406,5.7248125132467e-07,9.44185149506188e-05,5.9055960662966e-05,"MMP1/CREBBP/CASP3/TRPV1/PARP1/MAPK14/MAPK8/TSPO/BDKRB2",9
"GO:0042391","regulation of membrane potential","10/53","474/18860",0.0210970464135021,7.50736406337075,7.61707357105418,6.77060158812791e-07,0.000104222127113249,6.51878272204315e-05,"KDR/MET/TRPV1/PARP1/P2RX7/GSK3B/GRM5/CNR2/TSPO/RGS4",10
