"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","7/45","71/9564",0.0985915492957746,20.9539906103286,11.6028551034989,3.33120860364762e-08,5.29993295744368e-06,2.7357953525266e-06,"CYP17A1/ESR2/JAK2/MAPK10/MAPK14/GSK3B/MAPK8",7
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","9/45","163/9564",0.0552147239263804,11.7349693251534,9.50419317830464,5.09608938215738e-08,5.29993295744368e-06,2.7357953525266e-06,"TGFBR1/CREBBP/CASP3/JAK2/TYK2/MAPK10/JAK1/MAPK14/MAPK8",9
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","9/45","196/9564",0.0459183673469388,9.75918367346939,8.51875051192554,2.48522524013421e-07,1.32351818800612e-05,6.83192586926238e-06,"CREBBP/CASP3/JAK2/TYK2/MAPK10/JAK1/MAPK14/GSK3B/MAPK8",9
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","7/45","95/9564",0.0736842105263158,15.660350877193,9.87328743298035,2.54522728462716e-07,1.32351818800612e-05,6.83192586926238e-06,"MMP1/CASP3/MMP13/MAPK10/MAPK14/GSK3B/MAPK8",7
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","7/45","109/9564",0.0642201834862385,13.6489296636086,9.13153801336246,6.5353481579198e-07,2.71870483369464e-05,1.40338002549015e-05,"TGFBR1/JAK2/TYK2/MAPK10/JAK1/MAPK14/MAPK8",7
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","7/45","112/9564",0.0625,13.2833333333333,8.9902354054421,7.86294519667218e-07,2.72582100151302e-05,1.40705335098344e-05,"CASP3/JAK2/TYK2/MAPK10/JAK1/MAPK14/MAPK8",7
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","6/45","93/9564",0.0645161290322581,13.7118279569892,8.46952850068253,4.31215090977123e-06,0.000128132484176059,6.61412620746865e-05,"JAK2/TYK2/MAPK10/JAK1/MAPK14/MAPK8",6
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","6/45","101/9564",0.0594059405940594,12.6257425742574,8.07559704542669,6.97112153323121e-06,0.000181249159864011,9.35597889986294e-05,"TGFBR1/CASP3/JAK2/MAPK10/MAPK14/MAPK8",6
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","5/45","71/9564",0.0704225352112676,14.9671361502347,8.12161637873731,1.89646402331991e-05,0.000390558488749274,0.000201604078200536,"CASP3/MET/MAPK10/MAPK14/MAPK8",5
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","7/45","182/9564",0.0384615384615385,8.17435897435898,6.71859951379433,1.98350731162799e-05,0.000390558488749274,0.000201604078200536,"CREBBP/CASP3/JAK2/MAPK10/JAK1/MAPK14/MAPK8",7
