"from","to","interaction","term_type"
"IL1B","KEGG | AGE-RAGE signaling pathway in diabetic complications","target-pathway","KEGG"
"SERPINE1","KEGG | AGE-RAGE signaling pathway in diabetic complications","target-pathway","KEGG"
"AGTR1","KEGG | AGE-RAGE signaling pathway in diabetic complications","target-pathway","KEGG"
"PIK3CA","KEGG | AGE-RAGE signaling pathway in diabetic complications","target-pathway","KEGG"
"TGFBR1","KEGG | AGE-RAGE signaling pathway in diabetic complications","target-pathway","KEGG"
"CASP3","KEGG | AGE-RAGE signaling pathway in diabetic complications","target-pathway","KEGG"
"PRKCA","KEGG | AGE-RAGE signaling pathway in diabetic complications","target-pathway","KEGG"
"MAPK3","KEGG | AGE-RAGE signaling pathway in diabetic complications","target-pathway","KEGG"
"JAK2","KEGG | AGE-RAGE signaling pathway in diabetic complications","target-pathway","KEGG"
"MAPK10","KEGG | AGE-RAGE signaling pathway in diabetic complications","target-pathway","KEGG"
"JUN","KEGG | AGE-RAGE signaling pathway in diabetic complications","target-pathway","KEGG"
"MAPK14","KEGG | AGE-RAGE signaling pathway in diabetic complications","target-pathway","KEGG"
"PIK3CA","KEGG | Hepatitis B","target-pathway","KEGG"
"TGFBR1","KEGG | Hepatitis B","target-pathway","KEGG"
"CASP3","KEGG | Hepatitis B","target-pathway","KEGG"
"PRKCA","KEGG | Hepatitis B","target-pathway","KEGG"
"MAPK3","KEGG | Hepatitis B","target-pathway","KEGG"
"CDK2","KEGG | Hepatitis B","target-pathway","KEGG"
"JAK2","KEGG | Hepatitis B","target-pathway","KEGG"
"SRC","KEGG | Hepatitis B","target-pathway","KEGG"
"MAPK10","KEGG | Hepatitis B","target-pathway","KEGG"
"JAK1","KEGG | Hepatitis B","target-pathway","KEGG"
"JUN","KEGG | Hepatitis B","target-pathway","KEGG"
"MAPK14","KEGG | Hepatitis B","target-pathway","KEGG"
"GRB2","KEGG | Hepatitis B","target-pathway","KEGG"
"IL1B","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"MMP1","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"CASP3","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"MMP3","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"MAPK3","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"MAPK10","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"JUN","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"MAPK14","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"GSK3B","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"IL1B","KEGG | Lipid and atherosclerosis","target-pathway","KEGG"
"MMP1","KEGG | Lipid and atherosclerosis","target-pathway","KEGG"
"PIK3CA","KEGG | Lipid and atherosclerosis","target-pathway","KEGG"
"CASP3","KEGG | Lipid and atherosclerosis","target-pathway","KEGG"
"MMP3","KEGG | Lipid and atherosclerosis","target-pathway","KEGG"
"PRKCA","KEGG | Lipid and atherosclerosis","target-pathway","KEGG"
"MAPK3","KEGG | Lipid and atherosclerosis","target-pathway","KEGG"
"JAK2","KEGG | Lipid and atherosclerosis","target-pathway","KEGG"
"SRC","KEGG | Lipid and atherosclerosis","target-pathway","KEGG"
"MAPK10","KEGG | Lipid and atherosclerosis","target-pathway","KEGG"
"JUN","KEGG | Lipid and atherosclerosis","target-pathway","KEGG"
"MAPK14","KEGG | Lipid and atherosclerosis","target-pathway","KEGG"
"GSK3B","KEGG | Lipid and atherosclerosis","target-pathway","KEGG"
"MMP1","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"PIK3CA","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"TGFBR1","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"PRKCA","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"MAPK3","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"SRC","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"MAPK10","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"JUN","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"MAPK14","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"GRB2","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"PIK3CA","KEGG | Prolactin signaling pathway","target-pathway","KEGG"
"MAPK3","KEGG | Prolactin signaling pathway","target-pathway","KEGG"
"JAK2","KEGG | Prolactin signaling pathway","target-pathway","KEGG"
"SRC","KEGG | Prolactin signaling pathway","target-pathway","KEGG"
"MAPK10","KEGG | Prolactin signaling pathway","target-pathway","KEGG"
"MAPK14","KEGG | Prolactin signaling pathway","target-pathway","KEGG"
"GSK3B","KEGG | Prolactin signaling pathway","target-pathway","KEGG"
"GRB2","KEGG | Prolactin signaling pathway","target-pathway","KEGG"
"IL1B","KEGG | Human cytomegalovirus infection","target-pathway","KEGG"
"PIK3CA","KEGG | Human cytomegalovirus infection","target-pathway","KEGG"
"CASP3","KEGG | Human cytomegalovirus infection","target-pathway","KEGG"
"PRKCA","KEGG | Human cytomegalovirus infection","target-pathway","KEGG"
"PTGER4","KEGG | Human cytomegalovirus infection","target-pathway","KEGG"
"MAPK3","KEGG | Human cytomegalovirus infection","target-pathway","KEGG"
"SRC","KEGG | Human cytomegalovirus infection","target-pathway","KEGG"
"JAK1","KEGG | Human cytomegalovirus infection","target-pathway","KEGG"
"MAPK14","KEGG | Human cytomegalovirus infection","target-pathway","KEGG"
"GSK3B","KEGG | Human cytomegalovirus infection","target-pathway","KEGG"
"GRB2","KEGG | Human cytomegalovirus infection","target-pathway","KEGG"
"IL1B","KEGG | Inflammatory mediator regulation of TRP channels","target-pathway","KEGG"
"PIK3CA","KEGG | Inflammatory mediator regulation of TRP channels","target-pathway","KEGG"
"PRKCA","KEGG | Inflammatory mediator regulation of TRP channels","target-pathway","KEGG"
"PTGER4","KEGG | Inflammatory mediator regulation of TRP channels","target-pathway","KEGG"
"SRC","KEGG | Inflammatory mediator regulation of TRP channels","target-pathway","KEGG"
"MAPK10","KEGG | Inflammatory mediator regulation of TRP channels","target-pathway","KEGG"
"MAPK14","KEGG | Inflammatory mediator regulation of TRP channels","target-pathway","KEGG"
"PIK3CA","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"PRKCA","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"MAPK3","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"JAK2","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"SRC","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"JAK1","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"GSK3B","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"GRB2","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"PIK3CA","KEGG | ErbB signaling pathway","target-pathway","KEGG"
"PRKCA","KEGG | ErbB signaling pathway","target-pathway","KEGG"
"MAPK3","KEGG | ErbB signaling pathway","target-pathway","KEGG"
"SRC","KEGG | ErbB signaling pathway","target-pathway","KEGG"
"MAPK10","KEGG | ErbB signaling pathway","target-pathway","KEGG"
"JUN","KEGG | ErbB signaling pathway","target-pathway","KEGG"
"GSK3B","KEGG | ErbB signaling pathway","target-pathway","KEGG"
"GRB2","KEGG | ErbB signaling pathway","target-pathway","KEGG"
"PIK3CA","KEGG | Colorectal cancer","target-pathway","KEGG"
"TGFBR1","KEGG | Colorectal cancer","target-pathway","KEGG"
"CASP3","KEGG | Colorectal cancer","target-pathway","KEGG"
"MAPK3","KEGG | Colorectal cancer","target-pathway","KEGG"
"MAPK10","KEGG | Colorectal cancer","target-pathway","KEGG"
"JUN","KEGG | Colorectal cancer","target-pathway","KEGG"
"GSK3B","KEGG | Colorectal cancer","target-pathway","KEGG"
"GRB2","KEGG | Colorectal cancer","target-pathway","KEGG"
"IL1B","KEGG | Tuberculosis","target-pathway","KEGG"
"VDR","KEGG | Tuberculosis","target-pathway","KEGG"
"CASP3","KEGG | Tuberculosis","target-pathway","KEGG"
"MAPK3","KEGG | Tuberculosis","target-pathway","KEGG"
"JAK2","KEGG | Tuberculosis","target-pathway","KEGG"
"SRC","KEGG | Tuberculosis","target-pathway","KEGG"
"MAPK10","KEGG | Tuberculosis","target-pathway","KEGG"
"JAK1","KEGG | Tuberculosis","target-pathway","KEGG"
"MAPK14","KEGG | Tuberculosis","target-pathway","KEGG"
"MMP3","Reactome | Gastrin-CREB signalling pathway via PKC and MAPK","target-pathway","Reactome"
"PRKCA","Reactome | Gastrin-CREB signalling pathway via PKC and MAPK","target-pathway","Reactome"
"MAPK3","Reactome | Gastrin-CREB signalling pathway via PKC and MAPK","target-pathway","Reactome"
"GRB2","Reactome | Gastrin-CREB signalling pathway via PKC and MAPK","target-pathway","Reactome"
"MAPK3","Reactome | MAPK3 (ERK1) activation","target-pathway","Reactome"
"JAK2","Reactome | MAPK3 (ERK1) activation","target-pathway","Reactome"
"JAK1","Reactome | MAPK3 (ERK1) activation","target-pathway","Reactome"
"CDK1","Reactome | MAPK3 (ERK1) activation","target-pathway","Reactome"
"MAPK3","Reactome | Activation of the AP-1 family of transcription factors","target-pathway","Reactome"
"MAPK10","Reactome | Activation of the AP-1 family of transcription factors","target-pathway","Reactome"
"JUN","Reactome | Activation of the AP-1 family of transcription factors","target-pathway","Reactome"
"MAPK14","Reactome | Activation of the AP-1 family of transcription factors","target-pathway","Reactome"
"AGTR1","Reactome | G alpha (q) signalling events","target-pathway","Reactome"
"PIK3CA","Reactome | G alpha (q) signalling events","target-pathway","Reactome"
"MMP3","Reactome | G alpha (q) signalling events","target-pathway","Reactome"
"PRKCA","Reactome | G alpha (q) signalling events","target-pathway","Reactome"
"MAPK3","Reactome | G alpha (q) signalling events","target-pathway","Reactome"
"GRB2","Reactome | G alpha (q) signalling events","target-pathway","Reactome"
"IL1B","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"MMP1","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"PIK3CA","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"MMP3","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"MAPK3","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"JAK2","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"MAPK10","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"JAK1","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"JUN","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"MAPK14","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"GRB2","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"INSR","Reactome | Intracellular signaling by second messengers","target-pathway","Reactome"
"PIK3CA","Reactome | Intracellular signaling by second messengers","target-pathway","Reactome"
"PRKCA","Reactome | Intracellular signaling by second messengers","target-pathway","Reactome"
"MAPK3","Reactome | Intracellular signaling by second messengers","target-pathway","Reactome"
"SRC","Reactome | Intracellular signaling by second messengers","target-pathway","Reactome"
"JUN","Reactome | Intracellular signaling by second messengers","target-pathway","Reactome"
"GSK3B","Reactome | Intracellular signaling by second messengers","target-pathway","Reactome"
