"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032496","response to lipopolysaccharide","14/55","350/18860",0.04,13.7163636363636,12.9866685778981,9.71161347475843e-13,2.57843337754836e-09,1.38927186444176e-09,"IL1B/SERPINE1/ELANE/PTPN22/CASP3/MMP3/PTGER2/PRKCA/MAPK3/JAK2/MAPK14/HDAC2/GSK3A/CYP27B1",14
"GO:0002237","response to molecule of bacterial origin","14/55","375/18860",0.0373333333333333,12.8019393939394,12.4842740230228,2.46669678313551e-12,3.27453997961239e-09,1.7643373306743e-09,"IL1B/SERPINE1/ELANE/PTPN22/CASP3/MMP3/PTGER2/PRKCA/MAPK3/JAK2/MAPK14/HDAC2/GSK3A/CYP27B1",14
"GO:0071375","cellular response to peptide hormone stimulus","13/55","345/18860",0.0376811594202899,12.9212121212121,12.0857083902274,1.48983145762295e-11,1.31850083999631e-08,7.10414368740206e-09,"IL1B/INSR/AGTR1/PIK3CA/PRKCA/MAPK3/JAK2/SRC/JAK1/GSK3B/GRB2/GSK3A/DDR2",13
"GO:0043434","response to peptide hormone","14/55","461/18860",0.0303687635574837,10.4137251035299,11.0667187050775,3.89428449307081e-11,2.58483133227575e-08,1.39271911212717e-08,"IL1B/INSR/AGTR1/PIK3CA/PRKCA/MAPK3/JAK2/SRC/JAK1/MAPK14/GSK3B/GRB2/GSK3A/DDR2",14
"GO:0048545","response to steroid hormone","11/55","343/18860",0.032069970845481,10.997084548105,10.1050651514463,3.59360501170443e-09,1.90820426121505e-06,1.02814930755923e-06,"VDR/PGR/PIK3CA/CASP3/PTGER2/PRKCA/JAK2/SRC/JUN/HDAC2/GSK3A",11
"GO:0048732","gland development","12/55","454/18860",0.026431718061674,9.06367641169403,9.40557423034537,5.62714708952492e-09,2.12197966606221e-06,1.14333248733414e-06,"VDR/PGR/INSR/PIK3CA/TGFBR1/SLC6A3/MAPK3/CPT1A/JAK2/SRC/JUN/CCKBR",12
"GO:0071216","cellular response to biotic stimulus","10/55","274/18860",0.0364963503649635,12.5149303251493,10.3835924885173,5.84771737561978e-09,2.12197966606221e-06,1.14333248733414e-06,"IL1B/SERPINE1/PTPN22/MMP3/PRKCA/MAPK3/JAK2/MAPK14/GSK3B/GSK3A",10
"GO:0050727","regulation of inflammatory response","12/55","460/18860",0.0260869565217391,8.94545454545455,9.33023877051025,6.51580125647922e-09,2.12197966606221e-06,1.14333248733414e-06,"IL1B/SERPINE1/AGTR1/ELANE/CASP3/MMP3/PTGER4/MAPK3/JAK2/SRC/MAPK14/ALOX5",12
"GO:0097305","response to alcohol","10/55","280/18860",0.0357142857142857,12.2467532467532,10.2538588256241,7.19315141038037e-09,2.12197966606221e-06,1.14333248733414e-06,"TGFBR1/PTGER2/SLC6A3/PRKCA/PTGER4/TBXAS1/CPT1A/CDK1/HDAC2/PTGDR2",10
"GO:0022411","cellular component disassembly","12/55","483/18860",0.0248447204968944,8.51948051948052,9.05374174833169,1.12162628358523e-08,2.90385825480287e-06,1.56461229785989e-06,"IL1B/MMP1/INSR/PIK3CA/TGFBR1/ELANE/MMP3/PRKCA/MMP13/DPP4/CDK1/DDR2",12
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","9/55","217/18860",0.0414746543778802,14.2220360284876,10.594349831494,1.20310511498424e-08,2.90385825480287e-06,1.56461229785989e-06,"IL1B/INSR/PIK3CA/TGFBR1/PRKCA/JAK2/SRC/GSK3B/DDR2",9
"GO:0071222","cellular response to lipopolysaccharide","9/55","229/18860",0.0393013100436681,13.4767764986106,10.2732074925565,1.91884693947868e-08,3.98728420447885e-06,2.14836722524998e-06,"IL1B/SERPINE1/PTPN22/MMP3/PRKCA/MAPK3/JAK2/MAPK14/GSK3A",9
"GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","10/55","311/18860",0.0321543408360129,11.0260157848582,9.6416715763716,1.95234254833239e-08,3.98728420447885e-06,2.14836722524998e-06,"IL1B/INSR/PIK3CA/TGFBR1/MMP3/PRKCA/JAK2/SRC/GSK3B/DDR2",10
"GO:0031663","lipopolysaccharide-mediated signaling pathway","6/55","64/18860",0.09375,32.1477272727273,13.4985661246333,3.05780692991721e-08,5.79891242780727e-06,3.12448091560713e-06,"PTPN22/PRKCA/MAPK3/JAK2/MAPK14/GSK3A",6
