"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032496","response to lipopolysaccharide","14/55","350/18860",0.04,13.7163636363636,12.9866685778981,9.71161347475843e-13,2.57843337754836e-09,1.38927186444176e-09,"IL1B/SERPINE1/ELANE/PTPN22/CASP3/MMP3/PTGER2/PRKCA/MAPK3/JAK2/MAPK14/HDAC2/GSK3A/CYP27B1",14
"GO:0071375","cellular response to peptide hormone stimulus","13/55","345/18860",0.0376811594202899,12.9212121212121,12.0857083902274,1.48983145762295e-11,1.31850083999631e-08,7.10414368740206e-09,"IL1B/INSR/AGTR1/PIK3CA/PRKCA/MAPK3/JAK2/SRC/JAK1/GSK3B/GRB2/GSK3A/DDR2",13
"GO:0043434","response to peptide hormone","14/55","461/18860",0.0303687635574837,10.4137251035299,11.0667187050775,3.89428449307081e-11,2.58483133227575e-08,1.39271911212717e-08,"IL1B/INSR/AGTR1/PIK3CA/PRKCA/MAPK3/JAK2/SRC/JAK1/MAPK14/GSK3B/GRB2/GSK3A/DDR2",14
"GO:0048545","response to steroid hormone","11/55","343/18860",0.032069970845481,10.997084548105,10.1050651514463,3.59360501170443e-09,1.90820426121505e-06,1.02814930755923e-06,"VDR/PGR/PIK3CA/CASP3/PTGER2/PRKCA/JAK2/SRC/JUN/HDAC2/GSK3A",11
"GO:0048732","gland development","12/55","454/18860",0.026431718061674,9.06367641169403,9.40557423034537,5.62714708952492e-09,2.12197966606221e-06,1.14333248733414e-06,"VDR/PGR/INSR/PIK3CA/TGFBR1/SLC6A3/MAPK3/CPT1A/JAK2/SRC/JUN/CCKBR",12
"GO:0071216","cellular response to biotic stimulus","10/55","274/18860",0.0364963503649635,12.5149303251493,10.3835924885173,5.84771737561978e-09,2.12197966606221e-06,1.14333248733414e-06,"IL1B/SERPINE1/PTPN22/MMP3/PRKCA/MAPK3/JAK2/MAPK14/GSK3B/GSK3A",10
"GO:0050727","regulation of inflammatory response","12/55","460/18860",0.0260869565217391,8.94545454545455,9.33023877051025,6.51580125647922e-09,2.12197966606221e-06,1.14333248733414e-06,"IL1B/SERPINE1/AGTR1/ELANE/CASP3/MMP3/PTGER4/MAPK3/JAK2/SRC/MAPK14/ALOX5",12
"GO:0097305","response to alcohol","10/55","280/18860",0.0357142857142857,12.2467532467532,10.2538588256241,7.19315141038037e-09,2.12197966606221e-06,1.14333248733414e-06,"TGFBR1/PTGER2/SLC6A3/PRKCA/PTGER4/TBXAS1/CPT1A/CDK1/HDAC2/PTGDR2",10
"GO:0022411","cellular component disassembly","12/55","483/18860",0.0248447204968944,8.51948051948052,9.05374174833169,1.12162628358523e-08,2.90385825480287e-06,1.56461229785989e-06,"IL1B/MMP1/INSR/PIK3CA/TGFBR1/ELANE/MMP3/PRKCA/MMP13/DPP4/CDK1/DDR2",12
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","9/55","217/18860",0.0414746543778802,14.2220360284876,10.594349831494,1.20310511498424e-08,2.90385825480287e-06,1.56461229785989e-06,"IL1B/INSR/PIK3CA/TGFBR1/PRKCA/JAK2/SRC/GSK3B/DDR2",9
"GO:0033002","muscle cell proliferation","9/55","252/18860",0.0357142857142857,12.2467532467532,9.72034310293705,4.37945918701916e-08,6.83968478913874e-06,3.68525389173934e-06,"PIK3CA/TGFBR1/ELANE/PRKCA/JAK2/JUN/MAPK14/CDK1/DDR2",9
"GO:0022617","extracellular matrix disassembly","6/55","72/18860",0.0833333333333333,28.5757575757576,12.6781951100543,6.2594852957407e-08,9.2282539169114e-06,4.97222601767573e-06,"MMP1/ELANE/MMP3/MMP13/DPP4/DDR2",6
"GO:0000302","response to reactive oxygen species","8/55","205/18860",0.0390243902439024,13.3818181818182,9.6397935370903,1.33540536337503e-07,1.75496612856708e-05,9.45583890860406e-06,"DHFR/CASP3/MMP3/PRKCA/SRC/CDK1/HDAC2/DDR2",8
"GO:0009895","negative regulation of catabolic process","10/55","394/18860",0.0253807106598985,8.70327641901246,8.35682260953693,1.78770071845591e-07,2.15742973068202e-05,1.16243314659406e-05,"IL1B/PIK3CA/PTPN22/HMGCR/MAPK3/JAK2/MAPK14/GSK3B/GSK3A/DHX34",10
"GO:1903037","regulation of leukocyte cell-cell adhesion","10/55","401/18860",0.0249376558603491,8.55134890047608,8.26602366474113,2.10366451445668e-07,2.42836055907934e-05,1.30841193370555e-05,"IL1B/ELANE/PTPN22/CASP3/MAPK3/JAK2/SRC/DPP4/ALOX5/GRB2",10
"GO:0009612","response to mechanical stimulus","8/55","228/18860",0.0350877192982456,12.0318979266348,9.06341626418004,3.01259454272725e-07,3.27495811191335e-05,1.76456262229765e-05,"IL1B/PIK3CA/PRKCA/PTGER4/MAPK3/JUN/MAPK14/DDR2",8
"GO:0006979","response to oxidative stress","10/55","418/18860",0.0239234449760766,8.20356676816007,8.05444692507499,3.08376470048338e-07,3.27495811191335e-05,1.76456262229765e-05,"DHFR/CASP3/MMP3/PRKCA/JAK2/SRC/ALOX5/CDK1/HDAC2/DDR2",10
"GO:0048661","positive regulation of smooth muscle cell proliferation","6/55","98/18860",0.0612244897959184,20.9944341372913,10.7321465844201,3.97961305212707e-07,4.0637971743836e-05,2.18959276835655e-05,"PIK3CA/ELANE/PRKCA/JAK2/JUN/DDR2",6
"GO:0007159","leukocyte cell-cell adhesion","10/55","439/18860",0.0227790432801822,7.81114102298613,7.80907398224426,4.83256178322078e-07,4.64514823182729e-05,2.50282741482933e-05,"IL1B/ELANE/PTPN22/CASP3/MAPK3/JAK2/SRC/DPP4/ALOX5/GRB2",10
"GO:0062197","cellular response to chemical stress","9/55","335/18860",0.026865671641791,9.21248303934871,8.20203818749705,4.89883805993085e-07,4.64514823182729e-05,2.50282741482933e-05,"DHFR/PIK3CA/CASP3/MMP3/SRC/ALOX5/CDK1/HDAC2/DDR2",9
"GO:0042060","wound healing","10/55","453/18860",0.022075055187638,7.56973710616095,7.65437247991155,6.43476386486272e-07,5.89113726248638e-05,3.174172084337e-05,"SERPINE1/PIK3CA/TGFBR1/PRKCA/F10/JAK2/SRC/MAPK14/ALOX5/DDR2",10
"GO:0051223","regulation of protein transport","10/55","458/18860",0.0218340611353712,7.48709805478364,7.60071930725653,7.11056593491151e-07,6.21180048582095e-05,3.34694691653511e-05,"IL1B/PRKCA/ACHE/HMGCR/CPT1A/JAK2/MAPK14/GSK3B/ALOX5/CDK1",10
"GO:1903829","positive regulation of protein localization","10/55","459/18860",0.0217864923747277,7.47078629431571,7.59008593795044,7.25294971979094e-07,6.21180048582095e-05,3.34694691653511e-05,"IL1B/PIK3CA/PRKCA/ACHE/JAK2/SRC/JAK1/MAPK14/GSK3B/CDK1",10
"GO:0071214","cellular response to abiotic stimulus","9/55","355/18860",0.0253521126760563,8.69346991037132,7.91399729536467,7.9463011030451e-07,6.39316043290447e-05,3.44466449730089e-05,"IL1B/MMP1/PIK3CA/CASP3/MMP3/PTGER4/MAPK3/MAPK14/GRB2",9
"GO:0046824","positive regulation of nucleocytoplasmic transport","5/55","63/18860",0.0793650793650794,27.2150072150072,11.2714552651336,1.08222033910632e-06,7.98137500090909e-05,4.30040187381721e-05,"IL1B/JAK2/MAPK14/GSK3B/CDK1",5
"GO:0050878","regulation of body fluid levels","9/55","389/18860",0.0231362467866324,7.93362935265249,7.47298696495814,1.69361592300096e-06,0.000118330270409673,6.37568985971831e-05,"VDR/SERPINE1/PIK3CA/SLC6A3/PRKCA/F10/JAK2/SRC/MAPK14",9
"GO:0030278","regulation of ossification","6/55","128/18860",0.046875,16.0738636363636,9.25425577338841,1.91781749504686e-06,0.0001241903768134,6.69143511108776e-05,"VDR/MAPK3/MAPK14/ALOX5/CYP27B1/DDR2",6
"GO:0046777","protein autophosphorylation","6/55","134/18860",0.0447761194029851,15.3541383989145,9.01801648893013,2.504442491225e-06,0.000157927492467813,8.50920655223545e-05,"INSR/MAPK3/JAK2/SRC/GSK3B/DDR2",6
"GO:0035270","endocrine system development","6/55","138/18860",0.0434782608695652,14.9090909090909,8.86882681879171,2.97120016371467e-06,0.000179284918969601,9.65995459925414e-05,"INSR/TGFBR1/SLC6A3/MAPK3/GSK3B/GSK3A",6
"GO:0043467","regulation of generation of precursor metabolites and energy","6/55","141/18860",0.0425531914893617,14.5918762088975,8.76095905738587,3.36588127778034e-06,0.000194269886793626,0.000104673516167128,"INSR/PIK3CA/SRC/GSK3B/CDK1/GSK3A",6
"GO:2000377","regulation of reactive oxygen species metabolic process","6/55","150/18860",0.04,13.7163636363636,8.45620845703281,4.81350412608948e-06,0.000266246946974324,0.000143455090073588,"DHFR/AGTR1/MMP3/MAPK14/ALOX5/GRB2",6
"GO:0048638","regulation of developmental growth","8/55","332/18860",0.0240963855421687,8.26286966046002,7.22049592678352,5.02216481409297e-06,0.00026881886167784,0.000144840849646222,"INSR/PIK3CA/TGFBR1/SLC6A3/MAPK14/GSK3B/CDK1/GSK3A",8
"GO:0050847","progesterone receptor signaling pathway","3/55","12/18860",0.25,85.7272727272727,15.877613274947,5.06768833145435e-06,0.00026881886167784,0.000144840849646222,"PGR/SRC/HDAC2",3
"GO:1904951","positive regulation of establishment of protein localization","8/55","334/18860",0.0239520958083832,8.21339139902014,7.19326247135864,5.2485889671456e-06,0.00026881886167784,0.000144840849646222,"IL1B/PRKCA/ACHE/JAK2/MAPK14/GSK3B/CDK1/GSK3A",8
"GO:0032102","negative regulation of response to external stimulus","9/55","452/18860",0.0199115044247788,6.82783588093323,6.78230371335891,5.76028853744071e-06,0.000275554026667283,0.000148469787785048,"SERPINE1/ELANE/SLC6A3/PTGER4/SRC/DPP4/MAPK14/ALOX5/GRB2",9
"GO:0097191","extrinsic apoptotic signaling pathway","7/55","239/18860",0.0292887029288703,10.0433624952453,7.60906678703054,5.8120623327186e-06,0.000275554026667283,0.000148469787785048,"IL1B/SERPINE1/TGFBR1/JAK2/SRC/GSK3B/GSK3A",7
"GO:0001503","ossification","9/55","455/18860",0.0197802197802198,6.78281718281718,6.75275909244349,6.07626875464101e-06,0.000279715854769929,0.00015071220007229,"VDR/MMP13/ACHE/MAPK3/MAPK14/GSK3B/ALOX5/CYP27B1/DDR2",9
"GO:0009416","response to light stimulus","8/55","341/18860",0.0234604105571848,8.04478805651826,7.09970594638511,6.11055351286475e-06,0.000279715854769929,0.00015071220007229,"MMP1/ELANE/CASP3/MMP3/HMGCR/MAPK10/MAPK14/HRH1",8
"GO:0007596","blood coagulation","7/55","243/18860",0.0288065843621399,9.87803965581743,7.53302439953248,6.47956174612744e-06,0.000282551718179178,0.000152240176431957,"SERPINE1/PIK3CA/PRKCA/F10/JAK2/SRC/MAPK14",7
"GO:0150076","neuroinflammatory response","5/55","91/18860",0.0549450549450549,18.8411588411588,9.22629199110881,6.73071549863999e-06,0.000288226607240148,0.000155297832982203,"IL1B/MMP3/MAPK3/JAK2/JUN",5
"GO:0050817","coagulation","7/55","248/18860",0.0282258064516129,9.67888563049853,7.44041723218743,7.4025270681595e-06,0.000306077327538832,0.000164915883883545,"SERPINE1/PIK3CA/PRKCA/F10/JAK2/SRC/MAPK14",7
"GO:0006935","chemotaxis","9/55","474/18860",0.0189873417721519,6.51093210586881,6.57165279042068,8.44491755674901e-06,0.000329724354605421,0.000177657011758853,"IL1B/SERPINE1/AGTR1/ELANE/MAPK3/DPP4/MAPK14/ALOX5/PTGDR2",9
"GO:0046883","regulation of hormone secretion","7/55","272/18860",0.0257352941176471,8.82486631016043,7.02989846616157,1.34958468722682e-05,0.000459377864690669,0.000247514924418523,"IL1B/AGTR1/PRKCA/CPT1A/JAK2/ALOX5/TACR2",7
"GO:1903522","regulation of blood circulation","7/55","279/18860",0.025089605734767,8.60345389377648,6.91962378608285,1.59039607735479e-05,0.000521296492021849,0.000280876968047455,"AGTR1/PDE4D/KCNH2/TBXAS1/SRC/GSK3A/HRH1",7
"GO:0035592","establishment of protein localization to extracellular region","8/55","391/18860",0.020460358056266,7.01604278074866,6.50102161609841,1.65046343140358e-05,0.000532722340318548,0.000287033268110975,"IL1B/PRKCA/ACHE/HMGCR/CPT1A/JAK2/ALOX5/TACR2",8
"GO:0035265","organ growth","6/55","187/18860",0.0320855614973262,11.0024307243559,7.43401294450247,1.69796347262041e-05,0.000536677740453238,0.000289164456051522,"TGFBR1/MMP13/MAPK14/CDK1/GSK3A/DDR2",6
"GO:0016032","viral process","8/55","396/18860",0.0202020202020202,6.92745638200184,6.44699109291364,1.80842868929647e-05,0.000559365020317311,0.000301388467682119,"INSR/AGTR1/SRC/DPP4/JUN/GSK3B/CDK1/GSK3A",8
"GO:0050900","leukocyte migration","8/55","397/18860",0.0201511335012594,6.9100068697046,6.43629750608255,1.84150250526398e-05,0.000559365020317311,0.000301388467682119,"IL1B/SERPINE1/ELANE/PTGER4/MAPK3/SRC/DPP4/ALOX5",8
"GO:0030162","regulation of proteolysis","8/55","398/18860",0.0201005025125628,6.89264504339881,6.42564088361715,1.87508424889795e-05,0.000559365020317311,0.000301388467682119,"IL1B/SERPINE1/MAPK3/CDK2/SRC/GSK3B/HDAC2/GSK3A",8
"GO:0071692","protein localization to extracellular region","8/55","398/18860",0.0201005025125628,6.89264504339881,6.42564088361715,1.87508424889795e-05,0.000559365020317311,0.000301388467682119,"IL1B/PRKCA/ACHE/HMGCR/CPT1A/JAK2/ALOX5/TACR2",8
"GO:0050863","regulation of T cell activation","8/55","404/18860",0.0198019801980198,6.79027902790279,6.36246476691847,2.08759564129593e-05,0.00060245287256964,0.00032460440234796,"IL1B/PTPN22/CASP3/MAPK3/JAK2/SRC/DPP4/GRB2",8
"GO:0106070","regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway","3/55","20/18860",0.15,51.4363636363636,12.2045654844632,2.58290028748781e-05,0.000730749646058115,0.000393731299035773,"PDE4D/PRKCA/GSK3A",3
"GO:1901655","cellular response to ketone","5/55","120/18860",0.0416666666666667,14.2878787878788,7.8970610183436,2.58721155289879e-05,0.000730749646058115,0.000393731299035773,"PTGER2/PTGER4/JAK2/SRC/PTGDR2",5
"GO:0051338","regulation of transferase activity","7/55","304/18860",0.0230263157894737,7.89593301435407,6.55528608997729,2.75958451592644e-05,0.000763197592685906,0.000411214403195617,"ELANE/PTPN22/JAK2/SRC/GSK3B/GSK3A/DDR2",7
"GO:1904645","response to amyloid-beta","4/55","61/18860",0.0655737704918033,22.4858420268256,9.08979163414262,2.9854261292561e-05,0.000817144986925253,0.000440281509458388,"MMP3/MMP13/GSK3B/HDAC2",4
