"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","12/48","101/9370",0.118811881188119,23.1930693069307,16.0906765214234,6.36620799518672e-14,1.4387630069122e-11,4.62387738597772e-12,"IL1B/SERPINE1/AGTR1/PIK3CA/TGFBR1/CASP3/PRKCA/MAPK3/JAK2/MAPK10/JUN/MAPK14",12
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","13/48","163/9370",0.0797546012269939,15.5687627811861,13.4638756327607,9.40678639950462e-13,1.06296686314402e-10,3.41614874508326e-11,"PIK3CA/TGFBR1/CASP3/PRKCA/MAPK3/CDK2/JAK2/SRC/MAPK10/JAK1/JUN/MAPK14/GRB2",13
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","10/48","94/9370",0.106382978723404,20.7668439716312,13.8208126504412,3.02721533398845e-11,1.5798325088464e-09,5.0772446721193e-10,"IL1B/MMP1/CASP3/MMP3/MMP13/MAPK3/MAPK10/JUN/MAPK14/GSK3B",10
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","13/48","216/9370",0.0601851851851852,11.748649691358,11.468008850492,3.42814307584532e-11,1.5798325088464e-09,5.0772446721193e-10,"IL1B/MMP1/PIK3CA/CASP3/MMP3/PRKCA/MAPK3/JAK2/SRC/MAPK10/JUN/MAPK14/GSK3B",13
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","11/48","130/9370",0.0846153846153846,16.5176282051282,12.7842048664088,3.49520466558937e-11,1.5798325088464e-09,5.0772446721193e-10,"MMP1/PIK3CA/TGFBR1/PRKCA/MMP13/MAPK3/SRC/MAPK10/JUN/MAPK14/GRB2",11
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","9/48","71/9370",0.126760563380282,24.7447183098592,14.4108886060556,6.47152856511927e-11,2.43760909286159e-09,7.83395563146017e-10,"PIK3CA/CYP17A1/MAPK3/JAK2/SRC/MAPK10/MAPK14/GSK3B/GRB2",9
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","12/48","227/9370",0.052863436123348,10.3193832599119,10.1992545297466,9.8659306963056e-10,3.18528619623581e-08,1.02368303465427e-08,"IL1B/PIK3CA/CASP3/PTGER2/PRKCA/PTGER4/MAPK3/SRC/JAK1/MAPK14/GSK3B/GRB2",12
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","9/48","99/9370",0.0909090909090909,17.7462121212121,12.0194220057516,1.35339616771527e-09,3.82334417379563e-08,1.22874125753097e-08,"IL1B/PIK3CA/PTGER2/PRKCA/PTGER4/SRC/MAPK10/MAPK14/HRH1",9
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","8/48","80/9370",0.1,19.5208333333333,11.9374165594987,5.65812983730946e-09,1.42081927025771e-07,4.56621004414448e-08,"PIK3CA/PRKCA/MAPK3/JAK2/SRC/JAK1/GSK3B/GRB2",8
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","8/48","86/9370",0.0930232558139535,18.1589147286822,11.4705479471694,1.01223591301422e-08,2.28155558573875e-07,7.33243294904397e-08,"PIK3CA/PRKCA/MAPK3/SRC/MAPK10/JUN/GSK3B/GRB2",8
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","8/48","87/9370",0.0919540229885057,17.9501915708812,11.397320232805,1.1104916567755e-08,2.28155558573875e-07,7.33243294904397e-08,"PIK3CA/TGFBR1/CASP3/MAPK3/MAPK10/JUN/GSK3B/GRB2",8
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","10/48","181/9370",0.0552486187845304,10.7849907918969,9.53846019837486,1.95452291469874e-08,3.68101815601595e-07,1.18300071152818e-07,"IL1B/VDR/CASP3/MAPK3/JAK2/SRC/MAPK10/JAK1/MAPK14/CYP27B1",10
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","11/48","238/9370",0.046218487394958,9.02223389355742,8.99525617233079,2.22355447673005e-08,3.86556393646916e-07,1.24230978861841e-07,"IL1B/MMP1/AGTR1/PIK3CA/MMP3/PRKCA/MAPK3/MAPK10/JAK1/JUN/MAPK14",11
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","9/48","142/9370",0.0633802816901408,12.3723591549296,9.79836548769573,3.3187918811047e-08,5.35747832235473e-07,1.72177924658815e-07,"IL1B/PIK3CA/TGFBR1/MAPK3/MAPK10/JAK1/JUN/MAPK14/GRB2",9
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","10/48","196/9370",0.0510204081632653,9.95960884353742,9.09599905156337,4.17828675993837e-08,6.0039359030363e-07,1.92953692272708e-07,"PIK3CA/CASP3/MAPK3/JAK2/SRC/MAPK10/JAK1/JUN/MAPK14/GSK3B",10
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","8/48","103/9370",0.0776699029126214,15.1618122977346,10.3700429137133,4.25057409064517e-08,6.0039359030363e-07,1.92953692272708e-07,"IL1B/SERPINE1/PIK3CA/TGFBR1/MAPK3/MAPK10/JUN/MAPK14",8
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","7/48","69/9370",0.101449275362319,19.8037439613527,11.2490731549502,4.98637449529964e-08,6.6289449172807e-07,2.13040148715588e-07,"PIK3CA/PRKCA/MAPK3/MAPK10/MAPK14/ALOX5/GRB2",7
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","10/48","205/9370",0.0487804878048781,9.52235772357723,8.8528507878824,6.39534677841473e-08,7.89548821040109e-07,2.53744148354763e-07,"PIK3CA/CASP3/MAPK3/CDK2/SRC/JAK1/JUN/GRB2/CDK1/HDAC2",10
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","8/48","109/9370",0.073394495412844,14.3272171253823,10.0423757936081,6.63779982290357e-08,7.89548821040109e-07,2.53744148354763e-07,"IL1B/TGFBR1/MAPK3/JAK2/MAPK10/JAK1/JUN/MAPK14",8
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","9/48","157/9370",0.0573248407643312,11.1902866242038,9.23949807148731,7.93870167715493e-08,8.97073289518507e-07,2.88300218801942e-07,"IL1B/INSR/PIK3CA/CASP3/MAPK10/JUN/MAPK14/GSK3B/GSK3A",9
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","8/48","119/9370",0.0672268907563025,13.1232492997199,9.5501647808207,1.31883264393731e-07,1.41931513109444e-06,4.56137606173806e-07,"IL1B/PIK3CA/CASP3/MMP3/MAPK3/MAPK10/JUN/MAPK14",8
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","8/48","122/9370",0.0655737704918033,12.8005464480874,9.41392669774256,1.60077920658082e-07,1.64443682130576e-06,5.28486915091277e-07,"PIK3CA/PRKCA/MAPK3/JAK2/MAPK10/MAPK14/GSK3B/GRB2",8
