"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-881907","Gastrin-CREB signalling pathway via PKC and MAPK","5/51","18/11230",0.277777777777778,61.1655773420479,17.2542842100085,1.29458889853797e-08,8.93266339991198e-06,5.46452787698658e-06,"MMP3/PRKCA/MAPK3/GRB2/CCKBR",5
"R-HSA-110056","MAPK3 (ERK1) activation","4/51","10/11230",0.4,88.078431372549,18.6066556161643,7.76549159181053e-08,1.78606306611642e-05,1.0926182906372e-05,"MAPK3/JAK2/JAK1/CDK1",4
"R-HSA-450341","Activation of the AP-1 family of transcription factors","4/51","10/11230",0.4,88.078431372549,18.6066556161643,7.76549159181053e-08,1.78606306611642e-05,1.0926182906372e-05,"MAPK3/MAPK10/JUN/MAPK14",4
"R-HSA-416476","G alpha (q) signalling events","9/51","216/11230",0.0416666666666667,9.17483660130719,8.19384173274149,4.60401387946126e-07,7.94192394207068e-05,4.85844622543149e-05,"AGTR1/PIK3CA/MMP3/PRKCA/MAPK3/GRB2/CCKBR/TACR2/HRH1",9
"R-HSA-449147","Signaling by Interleukins","12/51","454/11230",0.026431718061674,5.8201606633843,7.08132945457749,6.22470615056725e-07,8.59009448778281e-05,5.25496245553151e-05,"IL1B/MMP1/PIK3CA/MMP3/MAPK3/JAK2/MAPK10/JAK1/JUN/MAPK14/ALOX5/GRB2",12
"R-HSA-9006925","Intracellular signaling by second messengers","10/51","304/11230",0.0328947368421053,7.24329205366357,7.45373581366121,8.71003548128974e-07,0.000100165408034832,6.12758636490734e-05,"INSR/PIK3CA/PRKCA/MAPK3/SRC/JUN/GSK3B/GRB2/HDAC2/GSK3A",10
"R-HSA-1433557","Signaling by SCF-KIT","5/51","42/11230",0.119047619047619,26.2138188608777,11.0570989401126,1.18406847459362e-06,0.000116715321067085,7.14002192950436e-05,"PIK3CA/PRKCA/JAK2/SRC/GRB2",5
"R-HSA-9669938","Signaling by KIT in disease","4/51","20/11230",0.2,44.0392156862745,13.0115996130104,1.73253936742288e-06,0.000132828018169088,8.12571095130498e-05,"PIK3CA/JAK2/SRC/GRB2",4
"R-HSA-9670439","Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants","4/51","20/11230",0.2,44.0392156862745,13.0115996130104,1.73253936742288e-06,0.000132828018169088,8.12571095130498e-05,"PIK3CA/JAK2/SRC/GRB2",4
"R-HSA-1257604","PIP3 activates AKT signaling","9/51","262/11230",0.0343511450381679,7.56398742703188,7.26120697526872,2.30507793805937e-06,0.000159050377726097,9.7298552964401e-05,"INSR/PIK3CA/MAPK3/SRC/JUN/GSK3B/GRB2/HDAC2/GSK3A",9
"R-HSA-112409","RAF-independent MAPK1/3 activation","4/51","23/11230",0.173913043478261,38.2949701619778,12.0927102491602,3.13481360542265e-06,0.000196638307976512,0.000120292847442534,"MAPK3/JAK2/JAK1/CDK1",4
"R-HSA-912526","Interleukin receptor SHC signaling","4/51","27/11230",0.148148148148148,32.6216412490922,11.1110031886283,6.13027721517131e-06,0.00035249093987235,0.000215635189761728,"PIK3CA/JAK2/JAK1/GRB2",4
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","6/51","106/11230",0.0566037735849057,12.4639289678135,8.00958620375904,7.82631672906926e-06,0.000415396811004445,0.000254117652498524,"IL1B/MMP1/MMP3/JAK2/JAK1/ALOX5",6
