"from","to","interaction","term_type"
"MTOR","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"PIK3CA","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"CTNNB1","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"MAP2K1","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"CASP3","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"PIK3CB","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"CDK4","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"PIK3CD","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"JAK2","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"PIK3CG","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"TYK2","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"SRC","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"JAK1","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"MAPK14","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"GSK3B","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"MAPK8","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"MAPK9","KEGG | Kaposi sarcoma-associated herpesvirus infection","target-pathway","KEGG"
"PIK3CA","KEGG | Hepatitis B","target-pathway","KEGG"
"MAP2K1","KEGG | Hepatitis B","target-pathway","KEGG"
"CASP3","KEGG | Hepatitis B","target-pathway","KEGG"
"PIK3CB","KEGG | Hepatitis B","target-pathway","KEGG"
"CDK2","KEGG | Hepatitis B","target-pathway","KEGG"
"PIK3CD","KEGG | Hepatitis B","target-pathway","KEGG"
"JAK2","KEGG | Hepatitis B","target-pathway","KEGG"
"TYK2","KEGG | Hepatitis B","target-pathway","KEGG"
"SRC","KEGG | Hepatitis B","target-pathway","KEGG"
"JAK1","KEGG | Hepatitis B","target-pathway","KEGG"
"MAPK14","KEGG | Hepatitis B","target-pathway","KEGG"
"MAPK8","KEGG | Hepatitis B","target-pathway","KEGG"
"MAPK9","KEGG | Hepatitis B","target-pathway","KEGG"
"MTOR","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"EGFR","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"PIK3CA","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"MAP2K1","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
"KDR","KEGG | EGFR tyrosine kinase inhibitor resistance","target-pathway","KEGG"
