"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043410","positive regulation of MAPK cascade","16/56","474/18860",0.0337552742616034,11.3682941531043,12.4761640092993,3.26031864066445e-13,9.07346677696916e-10,4.57130992564741e-10,"EGFR/CTNNB1/MAP2K1/ELANE/KDR/RET/TLR9/ABL1/JAK2/PIK3CG/SRC/P2RX7/GRM5/FLT3/ALOX15/FPR2",16
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","13/56","354/18860",0.0367231638418079,12.3678369652946,11.7828788139762,2.631849591714e-11,3.18485893367896e-08,1.60456610611812e-08,"MTOR/EGFR/PIK3CA/KDR/RET/PIK3CB/PIK3CD/JAK2/PIK3CG/SRC/GSK3B/FLT3/FPR2",13
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","11/56","217/18860",0.0506912442396313,17.0720868992758,12.994885629593,3.43319324507255e-11,3.18485893367896e-08,1.60456610611812e-08,"MTOR/EGFR/PIK3CA/KDR/RET/JAK2/PIK3CG/SRC/GSK3B/FLT3/FPR2",11
"GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","12/56","311/18860",0.0385852090032154,12.9949471750115,11.6398264790334,9.55254827713591e-11,6.64618546381731e-08,3.34841955398554e-08,"MTOR/EGFR/PIK3CA/KDR/RET/PIK3CB/JAK2/PIK3CG/SRC/GSK3B/FLT3/FPR2",12
"GO:0032496","response to lipopolysaccharide","12/56","350/18860",0.0342857142857143,11.5469387755102,10.8688966774557,3.70996359933687e-10,2.0649657393909e-07,1.04035189775089e-07,"ALPL/ELANE/TLR9/CASP3/ABL1/PDE4B/IRAK4/CDK4/JAK2/MAPK14/P2RX7/MAPK8",12
"GO:0031334","positive regulation of protein-containing complex assembly","10/56","210/18860",0.0476190476190476,16.0374149659864,11.9583603526247,5.38729950375156e-10,2.4988090864901e-07,1.258926831403e-07,"MMP1/MTOR/MET/SRC/P2RX7/GSK3B/MAPK8/MAPK9/HSP90AA1/ALOX15",10
"GO:0002237","response to molecule of bacterial origin","12/56","375/18860",0.032,10.7771428571429,10.4362888259925,8.14309560354482e-10,2.80259511044474e-07,1.41197749006653e-07,"ALPL/ELANE/TLR9/CASP3/ABL1/PDE4B/IRAK4/CDK4/JAK2/MAPK14/P2RX7/MAPK8",12
"GO:1900180","regulation of protein localization to nucleus","9/56","158/18860",0.0569620253164557,19.1839963833635,12.5257020240759,8.74767859332217e-10,2.80259511044474e-07,1.41197749006653e-07,"MTOR/JAK2/TYK2/SRC/JAK1/PARP1/MAPK14/GSK3B/HSP90AA1",9
"GO:0006935","chemotaxis","13/56","474/18860",0.0274261603375527,9.23673899939723,9.91126458613292,9.5685100426283e-10,2.80259511044474e-07,1.41197749006653e-07,"CYP19A1/MAP2K1/ELANE/KDR/PLAU/PDE4B/TYMP/MET/PIK3CB/PIK3CD/PIK3CG/MAPK14/FPR2",13
"GO:0042330","taxis","13/56","476/18860",0.0273109243697479,9.19792917166867,9.88589184848924,1.00704100267508e-09,2.80259511044474e-07,1.41197749006653e-07,"CYP19A1/MAP2K1/ELANE/KDR/PLAU/PDE4B/TYMP/MET/PIK3CB/PIK3CD/PIK3CG/MAPK14/FPR2",13
