"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004674","protein serine/threonine kinase activity","20/56","433/18662",0.046189376443418,15.3926096997691,16.6240576254681,4.82298726966285e-19,1.36490539731459e-16,8.32599907604956e-17,"MTOR/EGFR/PIK3CA/MAP2K1/BRD4/ABL1/IRAK4/CDK2/CDK4/PIK3CG/MAPK10/BRD2/MAPK14/GRK2/GSK3B/MAPK8/GRK5/BRD3/MAPK9/GRK3",20
"GO:0004713","protein tyrosine kinase activity","12/56","141/18662",0.0851063829787234,28.3617021276596,17.8918567655348,9.03903845945576e-15,1.27902394201299e-12,7.80211740710918e-13,"MTOR/EGFR/MAP2K1/KDR/RET/ABL1/MET/JAK2/TYK2/SRC/JAK1/FLT3",12
"GO:0106310","protein serine kinase activity","13/56","362/18662",0.0359116022099447,11.9675414364641,11.5604033168117,3.95613687203224e-11,3.73195578261708e-09,2.27651384916943e-09,"MTOR/PIK3CA/MAP2K1/IRAK4/PIK3CB/CDK2/CDK4/PIK3CG/MAPK10/MAPK14/GSK3B/MAPK8/MAPK9",13
"GO:0016303","1-phosphatidylinositol-3-kinase activity","4/56","10/18662",0.4,133.3,22.9578969642814,1.50636745356203e-08,1.06575497339513e-06,6.50116479958348e-07,"PIK3CA/PIK3CB/PIK3CD/PIK3CG",4
"GO:0004707","MAP kinase activity","4/56","16/18662",0.25,83.3125,18.0704057946135,1.28815791495067e-07,7.29097379862078e-06,4.44753469582967e-06,"MAPK10/MAPK14/MAPK8/MAPK9",4
"GO:0004715","non-membrane spanning protein tyrosine kinase activity","5/56","45/18662",0.111111111111111,37.0277777777778,13.2746733885942,2.25969036595886e-07,1.06582062261059e-05,6.50156526346057e-06,"ABL1/JAK2/TYK2/SRC/JAK1",5
"GO:0019207","kinase regulator activity","9/56","308/18662",0.0292207792207792,9.73782467532467,8.48297686389408,3.10080268014986e-07,1.11109016341675e-05,6.77771198811034e-06,"EGFR/PIK3CA/MAP2K1/CASP3/ABL1/CDK4/SRC/GRM5/FLT3",9
"GO:0019903","protein phosphatase binding","7/56","150/18662",0.0466666666666667,15.5516666666667,9.81672574812523,3.14089092131943e-07,1.11109016341675e-05,6.77771198811034e-06,"EGFR/CTNNB1/MET/JAK1/MAPK14/MAPK8/HSP90AA1",7
"GO:0052742","phosphatidylinositol kinase activity","4/56","26/18662",0.153846153846154,51.2692307692308,14.0717309977153,1.03479157019333e-06,3.00242957998838e-05,1.83149879530628e-05,"PIK3CA/PIK3CB/PIK3CD/PIK3CG",4
"GO:0004714","transmembrane receptor protein tyrosine kinase activity","5/56","61/18662",0.0819672131147541,27.3155737704918,11.2939165992956,1.06092918020791e-06,3.00242957998838e-05,1.83149879530628e-05,"EGFR/KDR/RET/MET/FLT3",5
