"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","18/52","196/9370",0.0918367346938776,16.548273155416,16.4330345302957,6.13830307508174e-18,1.31359685806749e-15,3.55375441188943e-16,"MTOR/PIK3CA/CTNNB1/MAP2K1/CASP3/PIK3CB/CDK4/PIK3CD/JAK2/PIK3CG/TYK2/SRC/MAPK10/JAK1/MAPK14/GSK3B/MAPK8/MAPK9",18
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","15/52","163/9370",0.0920245398773006,16.5821142048136,14.9916022750324,5.42335249469804e-15,5.52736552959902e-13,1.49535220918813e-13,"PIK3CA/MAP2K1/CASP3/IRAK4/PIK3CB/CDK2/PIK3CD/JAK2/TYK2/SRC/MAPK10/JAK1/MAPK14/MAPK8/MAPK9",15
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","12/52","80/9370",0.15,27.0288461538462,17.4654182869572,1.00016797822943e-14,5.52736552959902e-13,1.49535220918813e-13,"MTOR/EGFR/PIK3CA/MAP2K1/KDR/MET/PIK3CB/PIK3CD/JAK2/SRC/JAK1/GSK3B",12
"Human Diseases","Infectious disease: viral","hsa05162","Measles","14/52","136/9370",0.102941176470588,18.5492081447964,15.3999383528797,1.03315243543907e-14,5.52736552959902e-13,1.49535220918813e-13,"PIK3CA/TLR9/CASP3/IRAK4/PIK3CB/CDK2/CDK4/PIK3CD/TYK2/MAPK10/JAK1/GSK3B/MAPK8/MAPK9",14
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","12/52","86/9370",0.13953488372093,25.1431127012522,16.8020340179614,2.47854850262012e-14,1.02138948382608e-12,2.76322782146752e-13,"MTOR/EGFR/PIK3CA/MAP2K1/ABL1/PIK3CB/PIK3CD/SRC/MAPK10/GSK3B/MAPK8/MAPK9",12
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","12/52","87/9370",0.137931034482759,24.8541114058355,16.6980452082257,2.86370883315724e-14,1.02138948382608e-12,2.76322782146752e-13,"MTOR/EGFR/PIK3CA/CTNNB1/MAP2K1/CASP3/PIK3CB/PIK3CD/MAPK10/GSK3B/MAPK8/MAPK9",12
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","11/52","71/9370",0.154929577464789,27.9171180931744,17.006954453728,9.97465413067676e-14,3.0493942628069e-12,8.24971394266499e-13,"PIK3CA/MAP2K1/PIK3CB/PIK3CD/JAK2/SRC/MAPK10/MAPK14/GSK3B/MAPK8/MAPK9",11
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","12/52","99/9370",0.121212121212121,21.8414918414918,15.5729198247313,1.42289980020036e-13,3.80625696553595e-12,1.02973011856605e-12,"MTOR/EGFR/PIK3CA/MAP2K1/PIK3CB/CDK4/PIK3CD/SRC/MAPK10/MAPK14/MAPK8/MAPK9",12
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","11/52","77/9370",0.142857142857143,25.7417582417582,16.28489231942,2.54050469229262e-13,6.04075560167357e-12,1.63424278451572e-12,"MTOR/EGFR/PIK3CA/MAP2K1/PIK3CB/CDK4/PIK3CD/MAPK10/JAK1/MAPK8/MAPK9",11
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","12/52","106/9370",0.113207547169811,20.3991291727141,15.0045450761925,3.29462533380392e-13,7.0504982143404e-12,1.90741466693911e-12,"MTOR/EGFR/PIK3CA/CTNNB1/MAP2K1/PLAU/PIK3CB/CDK2/PIK3CD/GSK3B/GRM5/HSP90AA1",12
