"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","18/53","452/11230",0.0398230088495575,8.43796961095341,11.1147673762628,9.66823368031661e-13,6.29402012588611e-10,4.12172067424024e-10,"MTOR/EGFR/PIK3CA/CTNNB1/MAP2K1/KDR/MET/PIK3CB/PIK3CD/JAK2/PIK3CG/TYK2/SRC/GSK3B/MAPK8/FLT3/MAPK9/HSP90AA1",18
"R-HSA-2219528","PI3K/AKT Signaling in Cancer","10/53","112/11230",0.0892857142857143,18.9184636118598,13.1232770002172,8.82020100177156e-11,2.87097542607664e-08,1.88009547669341e-08,"MTOR/EGFR/PIK3CA/MET/PIK3CB/PIK3CD/PIK3CG/SRC/GSK3B/FLT3",10
"R-HSA-9027276","Erythropoietin activates Phosphoinositide-3-kinase (PI3K)","5/53","12/11230",0.416666666666667,88.2861635220126,20.8316735346957,1.49065442345971e-09,2.47708314147096e-07,1.62215000775445e-07,"PIK3CA/PIK3CB/PIK3CD/JAK2/PIK3CG",5
"R-HSA-449147","Signaling by Interleukins","15/53","454/11230",0.0330396475770925,7.00066494888205,8.98761299784304,1.5220172912264e-09,2.47708314147096e-07,1.62215000775445e-07,"MMP1/PIK3CA/MAP2K1/IRAK4/PIK3CB/PIK3CD/JAK2/TYK2/MAPK10/JAK1/MAPK14/MAPK8/MAPK9/HSP90AA1/ALOX15",15
"R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","9/53","114/11230",0.0789473684210526,16.7279046673287,11.6223747578325,2.53749670551143e-09,3.30382071057588e-07,2.16354982259395e-07,"EGFR/PIK3CA/IRAK4/MET/PIK3CB/PIK3CD/PIK3CG/SRC/FLT3",9
"R-HSA-199418","Negative regulation of the PI3K/AKT network","9/53","121/11230",0.0743801652892562,15.7601746452518,11.2406790609227,4.31390284782338e-09,4.68058458988837e-07,3.06514149713766e-07,"EGFR/PIK3CA/IRAK4/MET/PIK3CB/PIK3CD/PIK3CG/SRC/FLT3",9
"R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer","8/53","86/11230",0.0930232558139535,19.7103992979377,11.9938214706001,5.68598245505975e-09,5.28796368320557e-07,3.46289157037473e-07,"EGFR/PIK3CA/MET/PIK3CB/PIK3CD/PIK3CG/SRC/FLT3",8
"R-HSA-9006925","Intracellular signaling by second messengers","12/53","304/11230",0.0394736842105263,8.36395233366435,8.96319846258372,1.23225724755396e-08,1.00274933519703e-06,6.56663401657044e-07,"MTOR/EGFR/PIK3CA/IRAK4/MET/PIK3CB/PIK3CD/PIK3CG/SRC/GRK2/GSK3B/FLT3",12
"R-HSA-4420097","VEGFA-VEGFR2 Pathway","8/53","98/11230",0.0816326530612245,17.2968810165576,11.1577540500896,1.61541870420819e-08,1.16848619604392e-06,7.65198333572299e-07,"MTOR/PIK3CA/CTNNB1/KDR/PIK3CB/SRC/MAPK14/HSP90AA1",8
"R-HSA-9855142","Cellular responses to mechanical stimuli","8/53","104/11230",0.0769230769230769,16.2989840348331,10.7933331798817,2.58787703987145e-08,1.62956455811372e-06,1.06714147632962e-06,"MTOR/PIK3CA/CTNNB1/KDR/ABL1/PIK3CB/PIK3CD/P2RX7",8
