"from","to","interaction","term_type"
"SLC6A4","KEGG | Neuroactive ligand signaling","target-pathway","KEGG"
"SLC6A3","KEGG | Neuroactive ligand signaling","target-pathway","KEGG"
"ACHE","KEGG | Neuroactive ligand signaling","target-pathway","KEGG"
"HTR1A","KEGG | Neuroactive ligand signaling","target-pathway","KEGG"
"MMP9","KEGG | Transcriptional misregulation in cancer","target-pathway","KEGG"
"ELANE","KEGG | Transcriptional misregulation in cancer","target-pathway","KEGG"
"MMP3","KEGG | Transcriptional misregulation in cancer","target-pathway","KEGG"
"MPO","KEGG | Transcriptional misregulation in cancer","target-pathway","KEGG"
"MET","KEGG | Transcriptional misregulation in cancer","target-pathway","KEGG"
"BIRC2","KEGG | Transcriptional misregulation in cancer","target-pathway","KEGG"
"KDR","KEGG | Calcium signaling pathway","target-pathway","KEGG"
"CACNA1G","KEGG | Calcium signaling pathway","target-pathway","KEGG"
"MET","KEGG | Calcium signaling pathway","target-pathway","KEGG"
"MMP9","KEGG | TNF signaling pathway","target-pathway","KEGG"
"MMP3","KEGG | TNF signaling pathway","target-pathway","KEGG"
"XIAP","KEGG | TNF signaling pathway","target-pathway","KEGG"
"ADAM17","KEGG | TNF signaling pathway","target-pathway","KEGG"
"BIRC2","KEGG | TNF signaling pathway","target-pathway","KEGG"
"MMP9","KEGG | Bladder cancer","target-pathway","KEGG"
"MMP1","KEGG | Bladder cancer","target-pathway","KEGG"
"TYMP","KEGG | Bladder cancer","target-pathway","KEGG"
"MMP9","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"MMP1","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"MMP3","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"GSK3B","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"MMP9","KEGG | Prostate cancer","target-pathway","KEGG"
"MMP3","KEGG | Prostate cancer","target-pathway","KEGG"
"CDK2","KEGG | Prostate cancer","target-pathway","KEGG"
"GSK3B","KEGG | Prostate cancer","target-pathway","KEGG"
"MMP9","Reactome | Collagen degradation","target-pathway","Reactome"
"MMP1","Reactome | Collagen degradation","target-pathway","Reactome"
"ELANE","Reactome | Collagen degradation","target-pathway","Reactome"
"MMP3","Reactome | Collagen degradation","target-pathway","Reactome"
"ADAM17","Reactome | Collagen degradation","target-pathway","Reactome"
"CTSL","Reactome | Collagen degradation","target-pathway","Reactome"
"MMP9","Reactome | Degradation of the extracellular matrix","target-pathway","Reactome"
"MMP1","Reactome | Degradation of the extracellular matrix","target-pathway","Reactome"
"ELANE","Reactome | Degradation of the extracellular matrix","target-pathway","Reactome"
"MMP3","Reactome | Degradation of the extracellular matrix","target-pathway","Reactome"
"ADAM17","Reactome | Degradation of the extracellular matrix","target-pathway","Reactome"
"ADAMTS5","Reactome | Degradation of the extracellular matrix","target-pathway","Reactome"
"CTSL","Reactome | Degradation of the extracellular matrix","target-pathway","Reactome"
"MMP9","Reactome | Extracellular matrix organization","target-pathway","Reactome"
"MMP1","Reactome | Extracellular matrix organization","target-pathway","Reactome"
"ELANE","Reactome | Extracellular matrix organization","target-pathway","Reactome"
"KDR","Reactome | Extracellular matrix organization","target-pathway","Reactome"
"MMP3","Reactome | Extracellular matrix organization","target-pathway","Reactome"
"APP","Reactome | Extracellular matrix organization","target-pathway","Reactome"
"ADAM17","Reactome | Extracellular matrix organization","target-pathway","Reactome"
"ADAMTS5","Reactome | Extracellular matrix organization","target-pathway","Reactome"
"CTSL","Reactome | Extracellular matrix organization","target-pathway","Reactome"
"SLC6A4","Reactome | Neurotransmitter clearance","target-pathway","Reactome"
"SLC6A3","Reactome | Neurotransmitter clearance","target-pathway","Reactome"
"ACHE","Reactome | Neurotransmitter clearance","target-pathway","Reactome"
"MMP9","Reactome | Activation of Matrix Metalloproteinases","target-pathway","Reactome"
"MMP1","Reactome | Activation of Matrix Metalloproteinases","target-pathway","Reactome"
"ELANE","Reactome | Activation of Matrix Metalloproteinases","target-pathway","Reactome"
"MMP3","Reactome | Activation of Matrix Metalloproteinases","target-pathway","Reactome"
"APP","Reactome | Class A/1 (Rhodopsin-like receptors)","target-pathway","Reactome"
"CCR1","Reactome | Class A/1 (Rhodopsin-like receptors)","target-pathway","Reactome"
"CCR5","Reactome | Class A/1 (Rhodopsin-like receptors)","target-pathway","Reactome"
"HTR1A","Reactome | Class A/1 (Rhodopsin-like receptors)","target-pathway","Reactome"
"KDR","Reactome | Diseases of signal transduction by growth factor receptors and second messengers","target-pathway","Reactome"
"ESR2","Reactome | Diseases of signal transduction by growth factor receptors and second messengers","target-pathway","Reactome"
"MET","Reactome | Diseases of signal transduction by growth factor receptors and second messengers","target-pathway","Reactome"
"ADAM17","Reactome | Diseases of signal transduction by growth factor receptors and second messengers","target-pathway","Reactome"
"GSK3B","Reactome | Diseases of signal transduction by growth factor receptors and second messengers","target-pathway","Reactome"
"APP","Reactome | GPCR ligand binding","target-pathway","Reactome"
"CCR1","Reactome | GPCR ligand binding","target-pathway","Reactome"
"CCR5","Reactome | GPCR ligand binding","target-pathway","Reactome"
"HTR1A","Reactome | GPCR ligand binding","target-pathway","Reactome"
"MMP9","Reactome | Interleukin-4 and Interleukin-13 signaling","target-pathway","Reactome"
"MMP1","Reactome | Interleukin-4 and Interleukin-13 signaling","target-pathway","Reactome"
"MMP3","Reactome | Interleukin-4 and Interleukin-13 signaling","target-pathway","Reactome"
"ESR2","Reactome | PI3K/AKT Signaling in Cancer","target-pathway","Reactome"
"MET","Reactome | PI3K/AKT Signaling in Cancer","target-pathway","Reactome"
"GSK3B","Reactome | PI3K/AKT Signaling in Cancer","target-pathway","Reactome"
