"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022617","extracellular matrix disassembly","6/50","72/18860",0.0833333333333333,31.4333333333333,13.3390662620634,3.48303937759677e-08,7.36662828361717e-05,4.74426626801076e-05,"MMP9/MMP1/ELANE/MMP3/DPP4/ADAMTS5",6
"GO:0050920","regulation of chemotaxis","8/50","214/18860",0.0373831775700935,14.1009345794393,9.93725099450358,8.59503748995352e-08,9.08925214562584e-05,5.85367290105255e-05,"ELANE/F7/KDR/APP/CCR1/MET/ADAM17/DPP4",8
"GO:0051899","membrane depolarization","6/50","100/18860",0.06,22.632,11.182275603833,2.51251301474422e-07,0.000104846934122236,6.75236694060834e-05,"SLC6A4/KDR/KCNH2/CACNA1G/PARP1/P2RX7",6
"GO:0032496","response to lipopolysaccharide","9/50","350/18860",0.0257142857142857,9.69942857142857,8.46976721096746,3.01908869759963e-07,0.000104846934122236,6.75236694060834e-05,"MMP9/ELANE/TLR9/MMP3/MPO/CCR5/XIAP/ADAM17/P2RX7",9
"GO:0006935","chemotaxis","10/50","474/18860",0.0210970464135021,7.957805907173,7.90984161256296,3.81571042763599e-07,0.000104846934122236,6.75236694060834e-05,"ELANE/F7/KDR/APP/CCR1/CCR5/TYMP/MET/ADAM17/DPP4",10
"GO:0043410","positive regulation of MAPK cascade","10/50","474/18860",0.0210970464135021,7.957805907173,7.90984161256296,3.81571042763599e-07,0.000104846934122236,6.75236694060834e-05,"ELANE/KDR/RET/TLR9/NAMPT/APP/CCR1/XIAP/P2RX7/FLT3",10
"GO:0042742","defense response to bacterium","9/50","361/18860",0.0249307479224377,9.40387811634349,8.31206928281383,3.91528114765563e-07,0.000104846934122236,6.75236694060834e-05,"ELANE/TLR9/MPO/APP/XIAP/ADAM17/ADAMTS5/P2RX7/PIM1",9
"GO:0042330","taxis","10/50","476/18860",0.0210084033613445,7.92436974789916,7.88884922355276,3.96584147980088e-07,0.000104846934122236,6.75236694060834e-05,"ELANE/F7/KDR/APP/CCR1/CCR5/TYMP/MET/ADAM17/DPP4",10
"GO:0002237","response to molecule of bacterial origin","9/50","375/18860",0.024,9.0528,8.120873661467,5.38384382150217e-07,0.000117589827322057,7.57303653376839e-05,"MMP9/ELANE/TLR9/MMP3/MPO/CCR5/XIAP/ADAM17/P2RX7",9
"GO:1904645","response to amyloid-beta","5/50","61/18860",0.0819672131147541,30.9180327868852,12.0664776273076,5.67332132488231e-07,0.000117589827322057,7.57303653376839e-05,"MMP9/MMP3/APP/PARP1/GSK3B",5
"GO:0071870","cellular response to catecholamine stimulus","5/50","62/18860",0.0806451612903226,30.4193548387097,11.9625316894851,6.15871637081189e-07,0.000117589827322057,7.57303653376839e-05,"ALK/APP/HTR1A/DRD3/GSK3B",5
"GO:0071868","cellular response to monoamine stimulus","5/50","64/18860",0.078125,29.46875,11.7618490687928,7.22774352334155e-07,0.000117589827322057,7.57303653376839e-05,"ALK/APP/HTR1A/DRD3/GSK3B",5
"GO:0071869","response to catecholamine","5/50","64/18860",0.078125,29.46875,11.7618490687928,7.22774352334155e-07,0.000117589827322057,7.57303653376839e-05,"ALK/APP/HTR1A/DRD3/GSK3B",5
"GO:0071867","response to monoamine","5/50","66/18860",0.0757575757575758,28.5757575757576,11.570170094172,8.43822298077631e-07,0.000127477440031014,8.20981995272523e-05,"ALK/APP/HTR1A/DRD3/GSK3B",5
"GO:0007623","circadian rhythm","7/50","212/18860",0.0330188679245283,12.4547169811321,8.64741094466414,1.3613110322504e-06,0.000191944855547307,0.000123616594788212,"SLC6A4/F7/NAMPT/DRD3/PARP1/GSK3B/KDM5A",7
"GO:0010562","positive regulation of phosphorus metabolic process","8/50","320/18860",0.025,9.43,7.84147267697682,1.81790179246199e-06,0.000226168370062183,0.00014565727055392,"MMP9/ELANE/KDR/APP/P2RX7/FLT3/PIM1/DHX34",8
"GO:0045937","positive regulation of phosphate metabolic process","8/50","320/18860",0.025,9.43,7.84147267697682,1.81790179246199e-06,0.000226168370062183,0.00014565727055392,"MMP9/ELANE/KDR/APP/P2RX7/FLT3/PIM1/DHX34",8
"GO:0050921","positive regulation of chemotaxis","6/50","145/18860",0.0413793103448276,15.608275862069,9.10412016875667,2.23890198890333e-06,0.000254414240200027,0.000163848215413132,"F7/KDR/APP/CCR1/MET/ADAM17",6
"GO:0060326","cell chemotaxis","8/50","330/18860",0.0242424242424242,9.14424242424242,7.69519957016521,2.2855179970688e-06,0.000254414240200027,0.000163848215413132,"F7/KDR/APP/CCR1/CCR5/MET/ADAM17/DPP4",8
"GO:0071492","cellular response to UV-A","3/50","11/18860",0.272727272727273,102.872727272727,17.4244890955576,2.84994424095305e-06,0.000293542015738893,0.000189047340234479,"MMP9/MMP1/MMP3",3
"GO:0009416","response to light stimulus","8/50","341/18860",0.0234604105571848,8.84926686217009,7.5413214479463,2.91460157471241e-06,0.000293542015738893,0.000189047340234479,"MMP9/MMP1/ELANE/MMP3/APP/DRD3/PARP1/HRH1",8
"GO:0042391","regulation of membrane potential","9/50","474/18860",0.0189873417721519,7.1620253164557,7.00517446390961,3.71927217203018e-06,0.00035335358782627,0.000227567272687417,"SLC6A4/KDR/KCNH2/CACNA1G/APP/MET/PARP1/P2RX7/GSK3B",9
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","8/50","354/18860",0.0225988700564972,8.52429378531073,7.36819364194579,3.84261584870175e-06,0.00035335358782627,0.000227567272687417,"KDR/RET/MMP3/APP/ADAM17/DRD3/GSK3B/FLT3",8
"GO:0150076","neuroinflammatory response","5/50","91/18860",0.0549450549450549,20.7252747252747,9.72463084750454,4.17793855259345e-06,0.000368180834947298,0.000237116337151576,"MMP9/TLR9/MMP3/APP/CCR1",5
"GO:1904181","positive regulation of membrane depolarization","3/50","13/18860",0.230769230769231,87.0461538461538,16.0004412017845,4.9214649347838e-06,0.000416355933482709,0.000268142131604642,"KDR/PARP1/P2RX7",3
"GO:0031401","positive regulation of protein modification process","8/50","375/18860",0.0213333333333333,8.04693333333333,7.10650398628806,5.86930911769701e-06,0.000470799979675883,0.000303205262511182,"MMP9/ELANE/KDR/XIAP/BIRC2/GSK3B/FLT3/PIM1",8
"GO:0030574","collagen catabolic process","4/50","45/18860",0.0888888888888889,33.5288888888889,11.2634985961738,6.01021250650063e-06,0.000470799979675883,0.000303205262511182,"MMP9/MMP1/MMP3/CTSL",4
"GO:0001504","neurotransmitter uptake","4/50","47/18860",0.0851063829787234,32.1021276595745,11.0067711158561,7.16693799424001e-06,0.000541359780636344,0.00034864728438145,"SLC6A4/SLC6A3/APP/DRD3",4
"GO:0001878","response to yeast","3/50","15/18860",0.2,75.44,14.8697565328838,7.80038380890981e-06,0.000549927058528142,0.000354164794692256,"ELANE/MPO/APP",3
"GO:0070141","response to UV-A","3/50","15/18860",0.2,75.44,14.8697565328838,7.80038380890981e-06,0.000549927058528142,0.000354164794692256,"MMP9/MMP1/MMP3",3
"GO:0050900","leukocyte migration","8/50","397/18860",0.0201511335012594,7.60100755667506,6.8533716403724,8.90004023942187e-06,0.000607212422786363,0.000391057795239793,"ELANE/F7/RET/APP/CCR1/CCR5/ADAM17/DPP4",8
"GO:0003254","regulation of membrane depolarization","4/50","53/18860",0.0754716981132075,28.4679245283019,10.3241416039579,1.1629220132753e-05,0.000768618768149141,0.000495006935913892,"KDR/CACNA1G/PARP1/P2RX7",4
"GO:0032963","collagen metabolic process","5/50","116/18860",0.0431034482758621,16.2586206896552,8.49890683640279,1.3710579640983e-05,0.000867338705579303,0.0005585846883263,"MMP9/MMP1/MMP3/P2RX7/CTSL",5
"GO:0048511","rhythmic process","7/50","302/18860",0.0231788079470199,8.74304635761589,6.99358214430487,1.39430335648682e-05,0.000867338705579303,0.0005585846883263,"SLC6A4/F7/NAMPT/DRD3/PARP1/GSK3B/KDM5A",7
"GO:0062207","regulation of pattern recognition receptor signaling pathway","6/50","203/18860",0.0295566502463054,11.1487684729064,7.49532368838927,1.54690765046549e-05,0.00091447399716079,0.000588940824848109,"TLR9/APP/XIAP/BIRC2/PARP1/P2RX7",6
"GO:1903351","cellular response to dopamine","4/50","57/18860",0.0701754385964912,26.4701754385965,9.92900491909579,1.556551484529e-05,0.00091447399716079,0.000588940824848109,"ALK/HTR1A/DRD3/GSK3B",4
"GO:1903350","response to dopamine","4/50","58/18860",0.0689655172413793,26.0137931034483,9.83651957617741,1.66859542429926e-05,0.000938006377072217,0.000604096181128008,"ALK/HTR1A/DRD3/GSK3B",4
"GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","7/50","311/18860",0.022508038585209,8.49003215434084,6.86678675308813,1.68530696589807e-05,0.000938006377072217,0.000604096181128008,"KDR/RET/MMP3/APP/DRD3/GSK3B/FLT3",7
"GO:0001666","response to hypoxia","7/50","317/18860",0.0220820189274448,8.32933753943218,6.78506932617939,1.90593303498904e-05,0.0010336021458979,0.000665661902098735,"SLC6A4/F7/ADAM17/BIRC2/DPP4/CA9/LONP1",7
"GO:0002688","regulation of leukocyte chemotaxis","5/50","126/18860",0.0396825396825397,14.968253968254,8.11076973527513,2.04660062802931e-05,0.0010821400820705,0.000696921371755245,"F7/APP/CCR1/ADAM17/DPP4",5
"GO:0043269","regulation of monoatomic ion transport","8/50","449/18860",0.0178173719376392,6.72071269487751,6.32534988456842,2.16509720171771e-05,0.00110118128926737,0.000709184316691292,"MMP9/SLC6A4/TLR9/KCNH2/CCR1/HTR1A/DRD3/P2RX7",8
"GO:0055070","copper ion homeostasis","3/50","21/18860",0.142857142857143,53.8857142857143,12.5016988576539,2.25468816213626e-05,0.00110118128926737,0.000709184316691292,"APP/XIAP/SCO2",3
"GO:0046683","response to organophosphorus","5/50","129/18860",0.0387596899224806,14.6201550387597,8.00288099864464,2.29276905411592e-05,0.00110118128926737,0.000709184316691292,"SLC6A4/SLC6A3/APP/BIRC2/P2RX7",5
"GO:0036293","response to decreased oxygen levels","7/50","330/18860",0.0212121212121212,8.00121212121212,6.61519165311419,2.4666887862236e-05,0.00110118128926737,0.000709184316691292,"SLC6A4/F7/ADAM17/BIRC2/DPP4/CA9/LONP1",7
"GO:0033619","membrane protein proteolysis","4/50","64/18860",0.0625,23.575,9.3268493603687,2.46979092949582e-05,0.00110118128926737,0.000709184316691292,"RET/APP/ADAM17/P2RX7",4
"GO:0030198","extracellular matrix organization","7/50","331/18860",0.0211480362537764,7.97703927492447,6.60251062225305,2.51493138735892e-05,0.00110118128926737,0.000709184316691292,"MMP9/MMP1/ELANE/MMP3/APP/DPP4/ADAMTS5",7
"GO:0043062","extracellular structure organization","7/50","332/18860",0.0210843373493976,7.95301204819277,6.58988274847145,2.56395059829869e-05,0.00110118128926737,0.000709184316691292,"MMP9/MMP1/ELANE/MMP3/APP/DPP4/ADAMTS5",7
"GO:0050727","regulation of inflammatory response","8/50","460/18860",0.0173913043478261,6.56,6.22436039342866,2.57434974664301e-05,0.00110118128926737,0.000709184316691292,"MMP9/ELANE/TLR9/MMP3/APP/CCR1/XIAP/BIRC2",8
"GO:0051900","regulation of mitochondrial depolarization","3/50","22/18860",0.136363636363636,51.4363636363636,12.2035910581143,2.60581860508593e-05,0.00110118128926737,0.000709184316691292,"KDR/PARP1/P2RX7",3
"GO:0045229","external encapsulating structure organization","7/50","333/18860",0.021021021021021,7.92912912912913,6.57730763802648,2.61375614512181e-05,0.00110118128926737,0.000709184316691292,"MMP9/MMP1/ELANE/MMP3/APP/DPP4/ADAMTS5",7
"GO:0009314","response to radiation","8/50","462/18860",0.0173160173160173,6.53160173160173,6.2063536525648,2.65533076844614e-05,0.00110118128926737,0.000709184316691292,"MMP9/MMP1/ELANE/MMP3/APP/DRD3/PARP1/HRH1",8
"GO:0046777","protein autophosphorylation","5/50","134/18860",0.0373134328358209,14.0746268656716,7.8308540144913,2.75363072470262e-05,0.00111998634283578,0.00072129517363668,"KDR/ALK/GSK3B/FLT3/PIM1",5
"GO:0050832","defense response to fungus","4/50","68/18860",0.0588235294117647,22.1882352941176,9.02428237594802,3.14104101462862e-05,0.00125345315961123,0.000807250659966124,"ELANE/MPO/APP/GAPDH",4
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","6/50","232/18860",0.0258620689655172,9.7551724137931,6.91791968119896,3.28296332498383e-05,0.00126264179887963,0.000813168340301226,"TLR9/NAMPT/XIAP/BIRC2/GAPDH/PARP1",6
"GO:0039531","regulation of cytoplasmic pattern recognition receptor signaling pathway","5/50","139/18860",0.0359712230215827,13.568345323741,7.66780249406352,3.28346567084537e-05,0.00126264179887963,0.000813168340301226,"TLR9/XIAP/BIRC2/PARP1/P2RX7",5
"GO:0002685","regulation of leukocyte migration","6/50","233/18860",0.0257510729613734,9.71330472103004,6.89984508825532,3.3629938884772e-05,0.00127013072752309,0.000817991370618326,"ELANE/F7/APP/CCR1/ADAM17/DPP4",6
"GO:0010038","response to metal ion","7/50","351/18860",0.0199430199430199,7.52250712250712,6.35955279701965,3.6563215574377e-05,0.00134884584205514,0.000868685588960731,"TLR9/SLC6A3/CACNA1G/APP/PARP1/P2RX7/LONP1",7
"GO:0030595","leukocyte chemotaxis","6/50","237/18860",0.0253164556962025,9.54936708860759,6.82862480066812,3.69896259286988e-05,0.00134884584205514,0.000868685588960731,"F7/APP/CCR1/CCR5/ADAM17/DPP4",6
"GO:0050918","positive chemotaxis","4/50","72/18860",0.0555555555555556,20.9555555555556,8.74660934891048,3.93718281766169e-05,0.00141137994226347,0.000908958887788443,"F7/KDR/APP/MET",4
"GO:0070482","response to oxygen levels","7/50","357/18860",0.0196078431372549,7.39607843137255,6.29037807446591,4.07179371549282e-05,0.00143530728471122,0.000924368608394335,"SLC6A4/F7/ADAM17/BIRC2/DPP4/CA9/LONP1",7
"GO:0007249","canonical NF-kappaB signal transduction","7/50","359/18860",0.0194986072423398,7.35487465181058,6.2676761147886,4.21862173445456e-05,0.00146268606038875,0.0009420011258644,"TLR9/NAMPT/CCR1/XIAP/BIRC2/GAPDH/PARP1",7
"GO:0014074","response to purine-containing compound","5/50","149/18860",0.0335570469798658,12.6577181208054,7.36559981956105,4.57827527975506e-05,0.00155248489481915,0.000999833497024254,"SLC6A4/SLC6A3/APP/BIRC2/P2RX7",5
"GO:0015844","monoamine transport","4/50","75/18860",0.0533333333333333,20.1173333333333,8.55268110623375,4.62442309095066e-05,0.00155248489481915,0.000999833497024254,"SLC6A4/SLC6A3/HTR1A/DRD3",4
"GO:0016485","protein processing","6/50","248/18860",0.0241935483870968,9.1258064516129,6.64118727045798,4.76395634704274e-05,0.00157433869906178,0.00101390781465021,"F7/ADAM17/DPP4/PARP1/P2RX7/CTSL",6
"GO:0042327","positive regulation of phosphorylation","6/50","254/18860",0.0236220472440945,8.91023622047244,6.5437957827766,5.44088668225405e-05,0.00175657589457998,0.00113127246862585,"MMP9/ELANE/KDR/FLT3/PIM1/DHX34",6
"GO:0051882","mitochondrial depolarization","3/50","28/18860",0.107142857142857,40.4142857142857,10.7605479733505,5.48151342989498e-05,0.00175657589457998,0.00113127246862585,"KDR/PARP1/P2RX7",3
"GO:0009620","response to fungus","4/50","79/18860",0.0506329113924051,19.0987341772152,8.31098168765087,5.67219569552671e-05,0.00179055132776701,0.00115315337470724,"ELANE/MPO/APP/GAPDH",4
"GO:0001963","synaptic transmission, dopaminergic","3/50","29/18860",0.103448275862069,39.0206896551724,10.5640933973428,6.10259047511368e-05,0.0018980851257155,0.00122240744191906,"SLC6A4/SLC6A3/DRD3",3
"GO:0009411","response to UV","5/50","159/18860",0.0314465408805031,11.8616352201258,7.09106220155378,6.23731490947546e-05,0.00191187261355661,0.00123128687915503,"MMP9/MMP1/ELANE/MMP3/PARP1",5
"GO:1901136","carbohydrate derivative catabolic process","6/50","263/18860",0.0228136882129278,8.60532319391635,6.40359766825393,6.59875833132413e-05,0.0019937676958215,0.00128402906477194,"APP/TYMP/GAPDH/P2RX7/PDE5A/CTSL",6
"GO:0009166","nucleotide catabolic process","5/50","168/18860",0.0297619047619048,11.2261904761905,6.86421008670784,8.09626996878152e-05,0.00241177619492576,0.00155323548400345,"APP/TYMP/GAPDH/P2RX7/PDE5A",5
"GO:0034644","cellular response to UV","4/50","92/18860",0.0434782608695652,16.4,7.63406004925845,0.00010284725430178,0.0030211380951148,0.00194567758869158,"MMP9/MMP1/MMP3/PARP1",4
"GO:0007005","mitochondrion organization","7/50","417/18860",0.0167865707434053,6.33189448441247,5.67654029908663,0.000108013493722849,0.00308937050483291,0.00198962072079322,"MMP9/KDR/PARP1/P2RX7/GSK3B/SCO2/LONP1",7
"GO:0098810","neurotransmitter reuptake","3/50","35/18860",0.0857142857142857,32.3314285714286,9.565257405473,0.000108091450287298,0.00308937050483291,0.00198962072079322,"SLC6A4/SLC6A3/DRD3",3
"GO:0008306","associative learning","4/50","96/18860",0.0416666666666667,15.7166666666667,7.45302009566103,0.000121326303152937,0.00342140174891284,0.00220345594778808,"SLC6A4/APP/DRD3/HRH1",4
"GO:0002690","positive regulation of leukocyte chemotaxis","4/50","97/18860",0.0412371134020619,15.5546391752577,7.40945228772025,0.00012629856864213,0.00351475621944874,0.00226357822469412,"F7/APP/CCR1/ADAM17",4
"GO:1901292","nucleoside phosphate catabolic process","5/50","191/18860",0.0261780104712042,9.87434554973822,6.35539321097318,0.000147990990851043,0.00406494734610332,0.00261791308491114,"APP/TYMP/GAPDH/P2RX7/PDE5A",5
"GO:0009410","response to xenobiotic stimulus","7/50","443/18860",0.0158013544018059,5.96027088036117,5.44687925015943,0.000157027761244147,0.00425786814142783,0.00274215820580197,"SLC6A4/SLC6A3/KCNH2/ADAM17/DRD3/P2RX7/CA9",7
"GO:0032602","chemokine production","4/50","104/18860",0.0384615384615385,14.5076923076923,7.12160122312559,0.000165340732761942,0.00433337212664903,0.00279078438814674,"ELANE/TLR9/APP/ADAM17",4
"GO:0032642","regulation of chemokine production","4/50","104/18860",0.0384615384615385,14.5076923076923,7.12160122312559,0.000165340732761942,0.00433337212664903,0.00279078438814674,"ELANE/TLR9/APP/ADAM17",4
"GO:0030522","intracellular receptor signaling pathway","7/50","447/18860",0.0156599552572707,5.90693512304251,5.41317086454827,0.000165958932509963,0.00433337212664903,0.00279078438814674,"TLR9/ESR2/XIAP/BIRC2/PARP1/P2RX7/PIM1",7
"GO:0033028","myeloid cell apoptotic process","3/50","41/18860",0.0731707317073171,27.6,8.79073581429761,0.000174091428696898,0.00449028502065779,0.00289183964998441,"CCR5/ADAM17/CTSL",3
"GO:0051402","neuron apoptotic process","6/50","318/18860",0.0188679245283019,7.11698113207547,5.67181879184762,0.000186544619594237,0.00471175987345281,0.00303447419497222,"KDR/APP/XIAP/GAPDH/PARP1/GSK3B",6
"GO:0046717","acid secretion","3/50","42/18860",0.0714285714285714,26.9428571428571,8.67772038126668,0.000187133725470466,0.00471175987345281,0.00303447419497222,"DRD3/P2RX7/CCKBR",3
"GO:0002221","pattern recognition receptor signaling pathway","6/50","325/18860",0.0184615384615385,6.96369230769231,5.59127107570285,0.000209834699592413,0.00522118105456416,0.00336255233774096,"TLR9/APP/XIAP/BIRC2/PARP1/P2RX7",6
"GO:0060079","excitatory postsynaptic potential","4/50","111/18860",0.036036036036036,13.5927927927928,6.86032083701354,0.000212441407250696,0.00522457646901421,0.00336473905731212,"APP/MET/P2RX7/GSK3B",4
"GO:0042417","dopamine metabolic process","3/50","45/18860",0.0666666666666667,25.1466666666667,8.36105859721442,0.000230018602374322,0.00550317999044034,0.00354416568751016,"SLC6A3/HTR1A/DRD3",3
"GO:0031334","positive regulation of protein-containing complex assembly","5/50","210/18860",0.0238095238095238,8.98095238095238,5.9961830650497,0.00023007696729718,0.00550317999044034,0.00354416568751016,"MMP1/MMP3/MET/P2RX7/GSK3B",5
"GO:0055074","calcium ion homeostasis","6/50","331/18860",0.0181268882175227,6.83746223564955,5.52410627189632,0.000231575895578813,0.00550317999044034,0.00354416568751016,"ELANE/KDR/CCR1/CCR5/DRD3/P2RX7",6
"GO:0043122","regulation of canonical NF-kappaB signal transduction","6/50","332/18860",0.0180722891566265,6.81686746987952,5.51307466810261,0.000235366135878123,0.00553110419313589,0.00356214947165253,"TLR9/NAMPT/XIAP/BIRC2/GAPDH/PARP1",6
"GO:0140448","signaling receptor ligand precursor processing","3/50","46/18860",0.0652173913043478,24.6,8.26228713310466,0.000245608054608892,0.00561797567429028,0.00361809656465428,"ADAM17/DPP4/CTSL",3
"GO:0150077","regulation of neuroinflammatory response","3/50","46/18860",0.0652173913043478,24.6,8.26228713310466,0.000245608054608892,0.00561797567429028,0.00361809656465428,"MMP9/MMP3/CCR1",3
"GO:0062197","cellular response to chemical stress","6/50","335/18860",0.017910447761194,6.75582089552239,5.48025164791702,0.000247031554472338,0.00561797567429028,0.00361809656465428,"MMP3/MPO/MET/AKR1B1/PARP1/LONP1",6
"GO:0006836","neurotransmitter transport","5/50","216/18860",0.0231481481481481,8.73148148148148,5.89209829142743,0.000262093677876894,0.00589710775223011,0.0037978635965588,"SLC6A4/SLC6A3/APP/DRD3/P2RX7",5
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","5/50","217/18860",0.0230414746543779,8.69124423963134,5.87514385076225,0.000267743259879788,0.00596081046995527,0.00383888951007696,"KDR/RET/APP/GSK3B/FLT3",5
"GO:0007626","locomotory behavior","5/50","218/18860",0.0229357798165138,8.65137614678899,5.85829830650813,0.000273485044411305,0.00601855693125054,0.0038760794669843,"SLC6A3/ALK/APP/DRD3/DPP4",5
"GO:0002758","innate immune response-activating signaling pathway","6/50","342/18860",0.0175438596491228,6.61754385964912,5.40520810994813,0.000276028379352862,0.00601855693125054,0.0038760794669843,"TLR9/APP/XIAP/BIRC2/PARP1/P2RX7",6
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","5/50","219/18860",0.0228310502283105,8.61187214611872,5.84156043095471,0.000279320032833416,0.00602818234125178,0.00388227843701869,"TLR9/XIAP/BIRC2/PARP1/P2RX7",5
"GO:0099565","chemical synaptic transmission, postsynaptic","4/50","121/18860",0.0330578512396694,12.4694214876033,6.52545692255325,0.000295544332653998,0.00620747502655563,0.00399774676340077,"APP/MET/P2RX7/GSK3B",4
"GO:0006509","membrane protein ectodomain proteolysis","3/50","49/18860",0.0612244897959184,23.0938775510204,7.98387953891243,0.000296432613561285,0.00620747502655563,0.00399774676340077,"APP/ADAM17/P2RX7",3
"GO:0051099","positive regulation of binding","3/50","49/18860",0.0612244897959184,23.0938775510204,7.98387953891243,0.000296432613561285,0.00620747502655563,0.00399774676340077,"MMP9/MET/GSK3B",3
"GO:1904646","cellular response to amyloid-beta","3/50","50/18860",0.06,22.632,7.89654679418041,0.00031476662479653,0.00652677854357511,0.00420338506178235,"APP/PARP1/GSK3B",3
"GO:0002064","epithelial cell development","5/50","226/18860",0.0221238938053097,8.34513274336283,5.72731088214031,0.00032285976677947,0.00659846522479962,0.00424955281865905,"KDR/TLR9/MET/AKR1B1/GSK3B",5
"GO:0071482","cellular response to light stimulus","4/50","124/18860",0.032258064516129,12.1677419354839,6.43261720629746,0.000324463538240738,0.00659846522479962,0.00424955281865905,"MMP9/MMP1/MMP3/PARP1",4
"GO:0042220","response to cocaine","3/50","51/18860",0.0588235294117647,22.1882352941176,7.81172518664745,0.000333816833728332,0.00667499184665958,0.00429883760088466,"SLC6A4/SLC6A3/DRD3",3
"GO:0071887","leukocyte apoptotic process","4/50","125/18860",0.032,12.0704,6.40237938783728,0.000334538598461426,0.00667499184665958,0.00429883760088466,"CCR5/ADAM17/P2RX7/CTSL",4
"GO:0001934","positive regulation of protein phosphorylation","5/50","231/18860",0.0216450216450216,8.16450216450216,5.64868258813376,0.000356980705513481,0.006990872149639,0.00450227127616417,"MMP9/ELANE/KDR/FLT3/PIM1",5
"GO:0044403","biological process involved in symbiotic interaction","5/50","231/18860",0.0216450216450216,8.16450216450216,5.64868258813376,0.000356980705513481,0.006990872149639,0.00450227127616417,"ELANE/CCR5/GAPDH/DPP4/CTSL",5
