"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1442490","Collagen degradation","6/48","64/11230",0.09375,21.93359375,11.0031335092217,2.7447367504641e-07,0.000114455522494353,0.000100832960622313,"MMP9/MMP1/ELANE/MMP3/ADAM17/CTSL",6
"R-HSA-1474228","Degradation of the extracellular matrix","7/48","138/11230",0.0507246376811594,11.8674516908213,8.41576784568934,1.75686562426457e-06,0.000366306482659163,0.000322708475193861,"MMP9/MMP1/ELANE/MMP3/ADAM17/ADAMTS5/CTSL",7
"R-HSA-1474244","Extracellular matrix organization","9/48","318/11230",0.0283018867924528,6.62146226415094,6.66257478176109,6.62605163334518e-06,0.000897804838539992,0.000790947592201079,"MMP9/MMP1/ELANE/KDR/MMP3/APP/ADAM17/ADAMTS5/CTSL",9
"R-HSA-112311","Neurotransmitter clearance","3/48","10/11230",0.3,70.1875,14.3404449083124,8.6120368205275e-06,0.000897804838539992,0.000790947592201079,"SLC6A4/SLC6A3/ACHE",3
"R-HSA-1592389","Activation of Matrix Metalloproteinases","4/48","33/11230",0.121212121212121,28.3585858585859,10.311721898149,1.09758225587046e-05,0.000915383601395964,0.000806434120629033,"MMP9/MMP1/ELANE/MMP3",4
"R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","8/48","337/11230",0.0237388724035608,5.55390702274975,5.56104966383197,8.00306312430637e-05,0.00556212887139293,0.00490012110593495,"MC4R/APP/CCR1/CCR5/HTR1A/DRD3/CCKBR/HRH1",8
"R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","8/48","452/11230",0.0176991150442478,4.14085545722714,4.46559665633532,0.000591562690500008,0.0328453314088288,0.0289360612436735,"KDR/ALK/ESR2/MET/ADAM17/GSK3B/FLT3/PIM1",8
"R-HSA-375280","Amine ligand-binding receptors","3/48","42/11230",0.0714285714285714,16.7113095238095,6.68331939661707,0.000748429091841497,0.0328453314088288,0.0289360612436735,"HTR1A/DRD3/HRH1",3
"R-HSA-500792","GPCR ligand binding","8/48","470/11230",0.0170212765957447,3.9822695035461,4.32734077000378,0.000764771024866726,0.0328453314088288,0.0289360612436735,"MC4R/APP/CCR1/CCR5/HTR1A/DRD3/CCKBR/HRH1",8
"R-HSA-9702518","STAT5 activation downstream of FLT3 ITD mutants","2/48","10/11230",0.2,46.7916666666667,9.4912068378412,0.000787657827549852,0.0328453314088288,0.0289360612436735,"FLT3/PIM1",2
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","4/48","106/11230",0.0377358490566038,8.82861635220126,5.3056533168222,0.00106044817850673,0.0402006264033914,0.0354159248132869,"MMP9/MMP1/MMP3/PIM1",4
"R-HSA-2219528","PI3K/AKT Signaling in Cancer","4/48","112/11230",0.0357142857142857,8.35565476190476,5.12564388700459,0.0013012327971609,0.0434368059472816,0.038266932413483,"ESR2/MET/GSK3B/FLT3",4
"R-HSA-1679131","Trafficking and processing of endosomal TLR","2/48","13/11230",0.153846153846154,35.9935897435897,8.27090871908053,0.00135414502953156,0.0434368059472816,0.038266932413483,"TLR9/CTSL",2
"R-HSA-375276","Peptide ligand-binding receptors","5/48","203/11230",0.0246305418719212,5.76252052545156,4.48629272885648,0.00167347169030121,0.0481785260362342,0.0424442902603704,"MC4R/APP/CCR1/CCR5/CCKBR",5
"R-HSA-168643","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","3/48","56/11230",0.0535714285714286,12.5334821428571,5.66867480053831,0.00173304050490051,0.0481785260362342,0.0424442902603704,"APP/BIRC2/P2RX7",3
"R-HSA-844456","The NLRP3 inflammasome","2/48","16/11230",0.125,29.2447916666667,7.40712215360054,0.0020663329562477,0.0489742208589235,0.0431452810293179,"APP/P2RX7",2
"R-HSA-9703648","Signaling by FLT3 ITD and TKD mutants","2/48","16/11230",0.125,29.2447916666667,7.40712215360054,0.0020663329562477,0.0489742208589235,0.0431452810293179,"FLT3/PIM1",2
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","3/48","60/11230",0.05,11.6979166666667,5.4435180188203,0.0021139951449895,0.0489742208589235,0.0431452810293179,"MMP9/MMP3/CTSL",3
